Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;76.5;130;130;115.6;7.7;20;248.1;996.6;31.5;25.9;20.8;85.5;2;.6;57.7;null;
2012-02-29;36;68.4;118.8;118.8;121.7;8.1;21;252.1;996.4;31.3;25.8;22.3;85.8;2.5;.7;56.6;null;
2012-03-31;0;79.6;142.2;142.2;177.1;7.4;17;149.2;996.9;32.6;26.7;22.9;85;1.6;.7;55.5;null;
2012-04-30;0;92.3;155.3;120.8;181.5;6.7;15;59;996.5;33.7;27.6;23.2;82.8;2;.6;56.4;null;
2012-05-31;0;110.8;156.7;56.9;217;5.6;7;29.4;997.5;34;27.6;22.5;79.4;5.4;.8;61.8;null;
2012-06-30;0;107.1;139.1;63.8;217.5;5.1;6;57.9;998.9;33.9;27;21.4;79.3;2;.6;59.8;null;
2012-07-31;0;166.3;154.1;8.2;249.6;3.4;2;4.5;998.1;35.6;27.7;20.7;72.4;1.6;.6;61.4;null;
2012-08-31;36;213.4;null;null;276.6;2.3;1;.2;998.6;37.4;28.7;20.5;60;1.8;.7;60.8;null;
2012-09-30;36;216.1;212.1;26.4;247.1;5;3;25.6;998.2;37.7;30.1;23.2;59.9;2.6;.8;61.6;null;
2012-10-31;0;166.8;196.2;97.1;211.2;6.2;6;120.8;996.1;35.5;29;23.5;69.2;2.3;.9;60.4;null;
2012-11-30;0;118.8;158.2;158.2;132.7;7.7;9;194.1;995.6;33.4;27.6;23;78.6;1.6;.6;57.1;null;
2012-12-31;0;108.2;151.6;151.6;148.7;7;16;234.8;995.7;33.2;26.9;22.3;80.5;1.6;.7;58.2;null;
2013-01-31;0;109.2;147.2;147.2;153.6;7.3;18;221.3;997;32.2;26.7;22.4;83.7;1.6;.6;57.4;null;
2013-02-28;0;82.6;131.8;131.8;148.2;7.6;14;170.9;995.9;32.7;26.7;22.2;84.6;1.6;.6;58.6;null;
2013-03-31;36;108.8;152.2;152.2;176;7.5;1;265.7;996.6;33.2;27.2;22.6;83.3;2;.8;59;null;
2013-04-30;0;null;147.3;147.3;185.2;7.1;null;146.3;997.2;33.1;27.3;22.7;84;2.1;.7;96.5;null;
2013-05-31;36;122.8;152.6;127.1;221.2;5.8;null;83.9;997.6;33.4;27.4;21.9;80.3;2;.7;60.4;null;
2013-06-30;0;124.4;143;52.5;242.7;4.6;null;21.2;998.3;33.7;27.2;21.2;78.6;1.6;.6;62.6;null;
2013-07-31;0;166.6;158.2;23.5;277.4;4.2;null;13.6;999;34.8;27.6;20.8;76.6;1.6;.6;63.5;null;
