Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;107;140.7;110.5;153.9;6.6;13;110.5;1010;992.6;31.9;26.3;22.7;80;5.3;1.6;59.8;
2012-02-29;9;92;119;119;136.6;6.7;17;193.3;1009.9;992.5;31.4;25.6;22.1;81.9;4;1.6;59.8;
2012-03-31;5;88.5;132.5;132.5;190.4;6.1;19;196;1010.5;993.1;31.8;26.1;22.4;82.6;4;1.5;59.4;
2012-04-30;5;98.8;142;118.8;202.8;5.2;14;65.1;1010.1;992.7;32.7;27;23.4;81.7;3.5;1.6;59.2;
2012-05-31;9;116.9;145.2;55.8;231.6;4.6;12;23.1;1011.2;993.8;33.3;26.9;22.7;77;3.8;1.6;60;
2012-06-30;5;148.3;139.7;31.4;229.8;4.1;8;21.9;1012.2;994.8;34;27;22;72.6;5;1.5;59.9;
2012-07-31;14;243.1;157.9;39.7;287.1;2.5;1;36.7;1011.6;994.3;35.2;27.7;21.1;59.6;4.5;1.5;60;
2012-08-31;14;330.9;169.4;1;null;1.7;0;0;1012.5;994.9;36.1;28.1;20.8;48;6;2.6;60;
2012-09-30;5;323.6;205;2.9;null;3.1;3;2.7;1011.4;994.2;37.5;30;23.9;49.5;4.6;2;60;
2012-10-31;5;281.4;221.9;47.1;248.1;3.5;4;47.1;1008.7;991.6;37.4;30.1;24.9;55.2;3.6;1.7;60;
2012-11-30;5;203.6;182.6;36.9;158.1;5.8;7;36.9;1008.7;991.5;34.8;28.8;24.9;66.1;4;1.9;60;
2012-12-31;5;124.3;156.1;112.7;158.2;6.1;16;112.7;1009.1;991.8;33;27.2;23.3;75.3;6.1;1.7;59.1;
2013-01-31;5;125.8;159.7;143.1;179;5.8;15;143.1;1010.4;993;32.3;27.4;23.9;77.6;3.8;1.8;59.4;
2013-02-28;5;103.9;134.2;109;179.4;6.1;16;109;1009.4;992;32.4;26.9;23.4;80;4.5;1.5;60;
2013-03-31;5;105.5;152.6;152.6;164.2;6.3;13;212.2;1010;992.6;null;null;23.6;81.3;3;1.5;59.4;
2013-04-30;5;108.5;149.4;75.7;227.5;5.1;10;35.1;1010.6;993.3;32.8;27.3;24;79.6;4.3;1.7;60;
2013-05-31;5;120.9;147.1;124;220.1;5.1;14;119.4;1011.2;993.8;32.6;27.1;23.1;78.3;4.3;1.5;60;
2013-06-30;5;135.7;136.2;49;222;4.1;10;40.1;1011.9;994.5;32.7;26.8;22.3;74;4.8;1.6;60;
2013-07-31;14;218.6;152.1;24.8;285.4;3;1;20.8;1012.5;995.1;34.3;27.4;21.7;61.6;5;2.1;60;
2013-08-31;5;299.5;179.8;2.8;301.7;2.4;1;1.6;1011.1;993.8;null;null;22.4;52.2;5;2.2;60;
2013-09-30;5;337.7;174.1;.4;282.6;2.8;1;.2;1010.2;993.1;null;null;24.4;48.9;5.8;2.1;60;
2013-10-31;5;289.4;165.5;62.9;238.6;4.1;8;62.9;1010;992.7;null;null;24.5;57.7;8.6;2.1;59.9;
