Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;113;154;133.1;197.2;7.1;14;133.1;1012;1001.8;33.4;27.1;22.6;77.2;5.3;1.4;41.7;
2012-02-29;5;72;123.2;123.2;162;7.9;19;317.1;1012.1;1001.9;32.3;26.2;21.9;83.4;6;1.2;42.7;
2012-03-31;9;63.6;134.2;134.2;228.5;7.5;21;264;1012.6;1002.5;32.5;26.3;22.4;85.1;3.3;1.2;42.1;
2012-04-30;14;71.7;136.2;135.1;231.3;6.4;11;121;1012.5;1002.3;33;26.8;22.6;82.5;2.6;1;42.6;
2012-05-31;14;102.9;147.7;90.4;288.3;5;5;31.3;1013.2;1003;33.5;27.2;22.4;77.3;5;1;41.7;
2012-06-30;14;126.8;140.2;43.7;264.9;4.9;7;25.4;1014.4;1004.2;34.1;27.2;21.9;72.9;11;1.2;41.7;
2012-07-31;14;238.3;153.8;6.7;310.4;4.1;0;0;1013.9;1003.7;35.5;27.5;20.6;61;4.5;1.3;41.7;
2012-08-31;14;340;171.3;1.5;326.5;2.8;0;0;1014.6;1004.5;36.6;28.2;20;49.8;5;2;41.7;
2012-09-30;9;296.5;203.2;.3;263.4;3.9;0;0;1013.8;1003.7;38.1;29.5;21.1;48;5;1.5;42.6;
2012-10-31;14;303.1;242.2;3.1;246.3;5.3;3;3.1;1010.9;1000.9;38.9;30.6;22.7;48.8;4.6;1.7;41.7;
