Nome: CRATEUS
Codigo Estacao: 82583
Latitude: -5.19055555
Longitude: -40.6736111
Altitude: 299.12
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-04-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;345;181.9;52.2;196.4;5.7;5;52.2;1009;975.5;34.2;28.4;23.6;56.1;7.5;3.4;70.7;
2012-02-29;9;240.1;139.9;40.7;185.3;6.4;13;40.7;1009.2;975.6;33.6;27.1;22.9;63.9;7.3;3.1;72.6;
2012-03-31;9;189.1;141.9;64.8;191.4;6.2;20;64.8;1010.1;976.4;33.6;26.7;22.5;72;6.3;2.9;71.6;
2012-04-30;9;180.3;149.3;51.9;211.9;5.4;12;51.9;1010.4;976.8;34.4;27.4;22.6;68;5.5;2.3;69.2;
2012-05-31;9;329.6;176.7;4.7;261.8;4.4;4;4.7;1010.6;977.1;35.1;28.6;23;54.5;7.8;3.2;72.7;
2012-06-30;9;320.8;161.4;0;230.3;4.4;0;0;1012;978.5;34.3;28.2;22.6;52.3;7;3.3;72.7;
2012-07-31;9;397.6;167.2;.4;273.7;3.4;1;.4;1011.9;978.3;34.2;28.2;22.7;47.6;8;3.7;72.5;
2012-08-31;14;454.4;173.1;0;322.1;2.6;0;0;1012.6;979.1;34.7;28.3;22.5;41.1;6.8;3.8;73;
2012-09-30;9;465.7;188;0;302.1;2.4;0;0;1012.1;978.6;35.6;29.1;23.2;40.5;8.3;4;73.2;
2012-10-31;9;465.8;217.4;.5;293.4;3.3;1;.5;1009.3;976;36.3;29.9;23.9;43.3;8;3.8;72.2;
2012-11-30;9;390.3;212.5;.1;251.6;4.3;1;.1;1009;975.7;36.1;29.9;23.9;45.8;6.6;3.6;72.7;
2012-12-31;9;362.5;217.9;6.3;206.6;5;2;6.3;1008.8;975.4;35.7;29.9;24.5;49;7.5;3.4;73.4;
2013-01-31;9;301.4;201.6;13.7;171.2;6.2;9;13.7;1009.4;976;35.1;29.2;24.3;56.6;7;3.1;72.8;
