Nome: MORADA NOVA
Codigo Estacao: 82588
Latitude: -5.13666666
Longitude: -38.35666666
Altitude: 43.62
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;254.8;167.9;51.8;261.8;7;5;51.8;1006.9;35.3;27.9;23.8;75;5.8;3.3;52.3;null;
2012-02-29;5;203.9;142.9;142.9;225.8;7.2;11;163;1006.5;33.9;27.2;23.5;80.9;5;2.4;53.3;null;
2012-03-31;5;217.1;151;84.8;259.3;6.7;9;74;1007.1;33.6;27.3;23.8;84.3;5.1;2.4;52.2;null;
2012-04-30;5;227.7;157.4;43.3;269.5;6.6;3;36.8;1007;35.2;28.1;24;79.3;5.1;2.6;53.3;null;
2012-05-31;5;232;165.6;4.8;284.4;6.5;6;2.6;1008.3;35.3;28;23.5;75.7;6.3;2.8;51.8;null;
2012-06-30;14;210.8;148.5;43.6;243.8;6.8;5;43.2;1009.5;34.5;27.4;23.2;75.8;6.1;2.7;52.1;null;
2012-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-08-31;5;286.3;155.1;1.6;322.7;4.9;0;0;1010.5;35.2;27.5;23;71.4;6;3.2;53.2;null;
2012-09-30;5;285.3;149.8;.3;314.5;3.8;0;0;1010.4;35.1;27.4;22.7;72.6;6.6;3.4;52.1;null;
2012-10-31;5;305.9;165.8;.1;318.7;4.2;0;0;1008;35.7;27.7;23.4;73.6;6.5;3.2;52.6;null;
2012-11-30;5;291.9;162.1;0;307.7;5.1;0;0;1007;35.4;27.8;23.6;74.3;5.3;3.2;52;null;
2012-12-31;5;280.9;178;0;278;6.1;0;0;1006.4;35.5;28.2;24;75.1;4.8;3.5;53.6;null;
2013-01-31;5;270.2;185.2;3.1;257.9;7.2;3;3.1;1007.1;35.8;28.4;24.1;74.5;5.1;3.2;52;null;
2013-02-28;14;244.2;168.2;98.7;257.8;6.5;6;98.7;1006.3;36;28.6;24;74.7;6.3;3.4;52;null;
2013-03-31;5;272.1;181.7;116.4;250.2;7;11;116.4;1007;35.4;28.5;24;78.4;6.1;3;51.6;null;
2013-04-30;5;217;153;153;232.5;7.2;17;215.4;1007.5;34;27.7;23.9;84.1;4.6;2.3;51.5;null;
2013-05-31;14;182.7;141.4;124.6;252.6;6.6;10;106;1008.2;32.3;26.9;23.5;85.2;5.1;2.1;52;null;
2013-06-30;14;166;124.5;124.5;234.2;7.1;9;222.4;1009.1;32;26.3;23.2;86.8;5.3;2;52;null;
2013-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-08-31;14;225.3;144.2;.2;301;5.7;1;.2;1009.2;34.4;27;21.6;73.2;6.3;3;52.7;null;
2013-09-30;14;270.4;154.1;0;302.7;5.4;null;0;1009.2;35.2;27.6;22.5;70.8;6.8;3.3;52;null;
2013-10-31;14;298.5;165.7;.1;316.5;5.5;1;.1;1008.6;35.6;27.9;23;72;6.3;3.7;53;null;
2013-11-30;14;253.9;155.2;60.1;261;6.7;4;60.1;1006.7;34.3;27.5;23.4;76.2;5.3;3.1;52;null;
2013-12-31;5;264.7;165.9;22;290.1;6.5;3;22;1007.1;34.6;27.8;23.8;75.9;5.3;3;52;null;
2014-01-31;5;258.6;172.7;12.3;261.3;7.2;null;12.3;1007.4;35.1;28.1;23.7;73.9;6;3.2;52.9;null;
2014-02-28;5;211;152.5;84.8;195.8;7.6;null;84.8;1006.4;34.6;27.9;23.8;77.4;4.8;2.7;51.6;null;
2014-03-31;5;226.2;151.1;151.1;245.3;7.6;null;216.7;1007.3;34;27.4;23.7;85.3;5.1;2.3;51.8;null;
2014-04-30;5;172.2;144.4;144.4;221;7.4;null;163.5;1007.7;32.8;27.1;24;87.6;4.8;2;51.4;null;
2014-05-31;14;164.8;139.3;129.5;237.7;7.3;null;104.7;1008;32.6;26.8;23.8;87.3;5.1;1.9;53;null;
2014-06-30;14;193.4;138.1;59.4;232.6;6.5;null;17.4;1009;33.5;27.4;23.8;78;6.6;2.7;51.6;null;
2014-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-08-31;5;269.2;157.3;.8;317.4;4.6;null;.2;1010.3;35;27.7;23.6;70.1;7.1;3.6;53;null;
2014-09-30;5;293.9;149.7;1.8;262;5;null;1.6;1009.9;35.7;27.9;23.5;74.7;6.6;3.9;52.5;null;
2014-10-31;5;322.5;175.4;2.6;305.5;5.1;null;2.6;1008.6;36.1;28.1;23.4;71.6;7.5;3.4;54.1;null;
2014-11-30;5;298.1;159.7;6.4;271.3;5.6;null;6.4;1007.7;35.4;27.8;22.7;73.5;6.1;3.4;53.1;null;
2014-12-31;5;322.6;180.5;3.2;285.1;6.1;null;3.2;1007.7;35.7;28.3;21.6;70.7;6.5;4;50.6;null;
2015-01-31;5;313.7;175.1;25.3;284.7;6.4;null;25.3;1008.3;35.7;28.1;21.3;74.6;5.8;3.5;51.3;null;
2015-02-28;5;235.7;148.2;96.4;215.9;7.4;null;96.4;1007.7;35;27.8;21.6;81.4;5.1;2.9;52;null;
2015-03-31;5;212.6;144.6;139.4;233.9;7.2;null;139.4;1007.5;33.3;27;21.3;87;4.6;2;51;null;
2015-04-30;5;197.5;138.2;138.2;246;6.4;null;138.2;1007.8;33.1;26.9;21.1;86.4;4.7;2.1;50;null;
2015-05-31;5;243.7;163.3;24;292.6;6;null;24;1008.4;35;28;21;80.6;5.1;2.4;52;null;
2015-06-30;14;220.1;144.3;44;261.7;5.8;null;44;1010.1;34.3;27.3;20.3;81.9;6.5;2.9;51.2;null;
2015-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-08-31;14;275.3;150.7;.8;320.8;4.1;null;0;1010.1;35.2;27.2;19.3;74.1;6.6;3.6;52.7;null;
2015-09-30;5;311;156.3;.8;298;4.5;null;.6;1009.9;36;27.7;20.2;73.6;6;3.8;52;null;
