Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;270.8;172.7;12.8;277.6;4.5;4;12.8;1010.4;32.8;28.1;23.6;68.6;5.5;4.5;59.1;null;
2012-02-29;9;211;153.7;136.5;219;4.5;10;136.5;1009.9;33;27.7;null;74;5.5;4.6;58.7;null;
2012-03-31;9;223.3;167.1;28.2;254;5.1;4;28.2;1009.7;33.1;27.9;null;71.4;5.5;4.8;59.1;null;
2012-04-30;9;240.4;170.9;3.2;261.7;4.1;3;3.2;1009.5;34.1;28.4;null;68.6;5.5;5;58.9;null;
2012-05-31;9;274.9;167.9;6.5;277.7;4.2;4;6.5;1011;33.7;28;null;67.5;5.5;5.1;59.1;null;
2012-06-30;9;249.4;148.8;9.4;222.3;4.9;4;9.4;1012.4;33.2;27.4;null;67.1;5.7;4.9;59;null;
2012-07-31;9;327.9;154.1;5.4;242.8;4.7;4;5.4;1012.4;33.5;27.5;null;60.6;5.5;4.7;59.5;null;
2012-08-31;9;411.8;190.4;0;299.4;4;0;0;1013.1;34.6;null;null;54.6;5.5;5;59.9;null;
2012-09-30;9;352.2;150.2;.4;304.6;3.9;1;.4;1012.9;34;27.5;20.7;58.2;5.5;5.1;60;null;
2012-10-31;9;371;168.3;0;326.1;3.9;0;0;1010.5;34.4;27.9;21.5;62.3;5.5;4.9;59.9;null;
2012-11-30;9;284;157.8;0;308.5;4;0;0;1009.4;32.5;27.6;21.6;69.1;5.5;5;59.9;null;
2012-12-31;9;273;185.2;0;322.9;4.4;0;0;1008.9;33.4;28.6;24;71.3;5.5;4.6;60;null;
2013-01-31;9;269.4;194.9;1;292.2;4.5;1;1;1010.6;33.3;28.9;24.6;76.3;5.5;4.7;59.8;null;
2013-02-28;9;281;188.8;7;259.7;4.1;2;7;1009.7;34.7;29.5;24.7;69.2;5.5;4.7;60;null;
2013-03-31;9;261.8;201.5;31.8;270.4;4.8;null;31.8;1009.5;34.1;29.3;25;68.8;5.5;4.9;60;null;
2013-04-30;9;222.5;180.3;31;258.9;4.7;null;31;1009.9;33.4;28.9;24.5;69.1;5.5;4.7;59.9;null;
2013-05-31;5;239.4;179.6;23.1;259.6;4.9;null;23.1;1010.7;34;28.5;23.4;66.7;5.5;4.6;58.9;null;
2013-06-30;9;182.9;144.7;96.8;216.6;5.1;null;96.8;1011.8;32.1;27.3;22.9;71.4;5.5;4.3;58.9;null;
2013-07-31;9;224;137.7;42.1;230.3;4.8;null;42.1;1012.7;31.9;26.7;21.8;68.2;5.5;4.5;59.1;null;
2013-08-31;14;317.2;155.4;3.2;268.5;4.6;null;3.2;1011.8;33.8;27.7;22.3;58.5;5.5;5;59.7;null;
2013-09-30;9;301.4;160.9;.3;291.8;4.3;null;.3;1012;33.9;27.9;22.6;59.8;5.5;5;60;null;
2013-10-31;5;314;177.6;1;323.4;3.6;null;1;1010.8;33.6;28.3;23.1;58.5;5.5;5.1;60;null;
2013-11-30;5;277.9;173.6;1.6;275.1;4.4;null;1.6;1009.2;33.1;28.3;23.6;60.2;5.5;5;59.1;null;
2013-12-31;5;248.9;175.5;1.8;286.7;4.4;null;1.8;1009.8;32.3;28.1;23.5;65.4;5.5;4.9;59.1;null;
2014-01-31;14;243.8;187.3;4.6;276.3;4.4;null;4.6;1010.9;33.5;28.6;23.8;65.4;5.5;4.8;60;null;
2014-02-28;9;77.7;161.1;32.8;224.7;5.1;null;32;1010.1;32.9;28.3;23.9;68.9;5.5;4.5;60;null;
2014-03-31;5;191.6;183.7;27.8;272;4.9;null;27.8;1010;33.6;28.6;23.9;70.7;5.5;4.8;59.1;null;
2014-04-30;9;176.8;175.6;36.4;223.3;5.1;null;36.4;1010.2;33.4;28.5;24.1;71.3;5.5;4.7;59.1;null;
2014-05-31;5;156.3;163.4;115.8;240.1;5.2;null;115.8;1010.6;32.8;27.9;23.4;74.4;5.4;4.5;59.2;null;
2014-06-30;9;209.5;146.8;28.4;193.1;5.5;null;28.4;1011.9;32.6;27.4;22.9;69.9;5.5;4.8;59.3;null;
2014-07-31;9;251.4;145.7;18.6;239.3;4.8;null;18.6;1013.8;32.9;27.1;22;64.7;5.5;4.6;59.1;null;
2014-08-31;9;339.2;162;0;306.6;4.2;null;0;1013;34.3;27.8;22.1;56.5;5.5;5.2;59.9;null;
2014-09-30;9;264;158.7;1.8;277.6;4.3;null;1.8;1012.6;33.9;27.8;22.6;60;5.7;5.1;59;null;
2014-10-31;9;315.3;182.4;2.4;319.9;4.3;null;2.4;1011.2;34.2;28.5;23.3;57.5;5.5;5.3;59.8;null;
2014-11-30;9;246.2;162.2;3.6;298.5;4.2;null;3.6;1010.5;32.6;27.8;23;64;7;5.2;59.3;null;
2014-12-31;9;258.8;177.8;.4;296.9;4.3;null;.4;1010.7;32.8;28.2;23.4;65.2;5.5;5.2;59.9;null;
2015-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
