Nome: EIRUNEPE
Codigo Estacao: 82610
Latitude: -6.66166666
Longitude: -69.86777777
Altitude: 123.42
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;51;143.7;143.7;86.2;7.4;21;360;null;null;32.1;25.5;21.5;91.4;0;0;24.5;
2012-02-29;0;39.5;132.2;132.2;89.4;7.6;19;502.6;null;null;32.2;25.4;20.9;89;2;0;30.1;
2012-03-31;0;41.5;140;140;105.3;7.7;21;499.6;null;null;32.8;25.6;21.1;88.3;2;0;32.6;
2012-04-30;0;60.7;135.9;135.9;104.2;7.3;15;157.2;null;null;33;26.2;22;88.3;2;.1;34.2;
2012-05-31;0;57;137.4;137.4;128.3;7.4;17;192;null;null;33.2;25.8;21.4;87.7;2;.1;33.8;
2012-06-30;0;42.5;130.1;130.1;118.1;6.7;13;226.4;null;null;32.2;25.1;20;87.8;1.6;0;32;
2012-07-31;0;70;133.4;91.8;192;6.2;3;26;null;null;33.1;25;19.2;83.6;2;.1;37.7;
2012-08-31;0;115.5;138.4;67.7;229;5.3;4;47.2;null;null;34.4;26.1;20;81;1.6;.1;37.8;
2012-09-30;0;141;138;102.7;183.4;6.2;7;98.2;null;null;35.7;27.2;22.4;77.6;1.6;.1;35;
2012-10-31;0;64.5;146.8;145.2;148.3;7.5;12;145;null;null;34.7;27;22.8;84.8;2;0;31.6;
2012-11-30;0;97.5;145.2;145.2;115.5;7.3;15;189.8;null;null;34.4;27.3;23.5;85.5;2;.1;33.3;
2012-12-31;0;55.5;null;null;89.3;7.4;18;316.8;null;null;null;null;22.3;88.3;0;0;32.5;
2013-01-31;0;57.5;138.2;138.2;62.3;7.8;20;357.8;null;null;null;null;22.7;89.8;0;0;29.1;
2013-02-28;0;63;130.8;130.8;64.9;7.5;17;334.4;null;null;32.5;26.1;22.6;88;2;0;33.9;
2013-03-31;0;59;143.9;143.9;92.7;7.6;18;352.1;null;null;32.9;26.5;23;87.4;1.6;0;31.5;
2013-04-30;0;63;137.7;137.7;120.1;7.2;10;149.6;null;null;33.5;26.8;23;85.8;1.6;.1;33.8;
2013-05-31;0;57.5;139.3;138.9;81.8;7.4;11;130;null;null;32.3;26.3;23;87.7;1.6;0;33.5;
2013-06-30;0;75;133.6;126.7;125.5;6.2;11;102;null;null;33.5;26.2;22.4;86.2;1.6;0;37.7;
2013-07-31;0;64;134.1;123.1;195.5;6.3;8;107.8;null;null;32.8;25;20.2;85;2;.1;35.8;
2013-08-31;0;109.5;135.8;86.8;227.7;6.3;7;59.6;null;null;33.3;25.3;20.2;81.9;2;.2;35.6;
2013-09-30;0;85;139;95;193.7;6.7;8;85;null;null;35;26.7;22.1;81.7;2;.1;37.8;
2013-10-31;0;81;146.7;146.7;143.6;7.4;15;158;null;null;34.2;26.8;23.2;86;2;.1;35.2;
2013-11-30;0;46;142.5;142.5;110.4;7.6;13;283.6;null;null;33.7;26.6;23;88.1;0;0;32.1;
2013-12-31;0;52;149;149;122.5;7.7;19;404.8;null;null;34.1;26.8;23;87.2;2;.1;33.2;
2014-01-31;0;44.2;145.7;145.7;82.5;7;5;356.2;null;null;32;26.1;22.7;89.8;1.6;0;30.8;
2014-02-28;0;47.5;130.8;130.8;72;7;null;246.4;null;null;32.8;26.2;22.5;87.7;3;.1;31.4;
2014-03-31;0;44.5;142;142;105.1;7.4;null;371;null;null;32.7;26;22.2;89.6;2;.1;28.9;
2014-04-30;0;50.5;136.6;136.6;125.1;7;null;291.2;null;null;32.9;26.4;22.7;86;2;0;33.3;
2014-05-31;0;63;137.8;137.3;113.8;7.8;null;127.8;null;null;32.6;25.9;22;88.6;0;0;31.6;
2014-06-30;0;94;132.2;110.1;122.1;5.6;null;68.8;null;null;33.4;25.9;21.4;88.9;2;0;33;
2014-07-31;0;null;133;73.4;153.3;7.4;null;46.2;null;null;32.4;25;20.3;85.9;2;0;29.5;
2014-08-31;0;null;138.7;138.7;181.9;4.9;null;143;null;null;34.2;26.3;21.1;86.9;0;0;94.5;
2014-09-30;0;null;140.4;132.7;184.3;5;null;130.4;null;null;35.9;27.4;22.3;86.3;0;0;95.7;
2014-10-31;0;null;147.5;99;143.7;6;null;89.4;null;null;35.4;27;22.7;84.3;2.1;0;95.5;
2014-11-30;0;null;142.9;142.9;104.3;7;null;257.6;null;null;33.4;26.7;23.2;88.3;2.1;0;95.3;
2014-12-31;0;null;148.2;148.2;83.9;6.9;null;221.8;null;null;33.8;26.7;22.9;87.8;2.1;0;95.4;
2015-01-31;0;null;144.9;144.9;74;7.7;null;269.6;null;null;32.1;25.7;22.4;91;2.1;0;95.2;
2015-02-28;0;null;131.8;131.8;95.1;7;null;351.8;null;null;34;26.6;22.9;86.5;0;0;95.2;
2015-03-31;0;null;143.9;143.9;94.5;6.8;null;510.8;null;null;33.5;26.4;22.8;86.8;2.1;0;95.3;
2015-04-30;0;null;138.4;138.4;104.6;6.7;null;330.6;null;null;33.9;26.6;22.7;88.7;0;0;95.5;
2015-05-31;0;null;138.9;138.9;115.2;6.9;null;260;null;null;33.1;26.3;22.3;88.1;2.1;0;95.2;
2015-06-30;0;null;132.5;132.5;119.3;5.2;null;136;null;null;33.5;26;21.3;84.7;2.1;0;95.6;
2015-07-31;0;null;137.7;124;148.1;5.2;null;81.4;null;null;33.8;26;20.9;83.7;0;0;95.7;
2015-08-31;0;null;142.4;117.6;179.7;4.8;null;97;null;null;35.8;27.1;21.6;82.5;2.1;.1;95.7;
2015-09-30;0;null;141.4;109.2;154.3;5.3;null;96.2;null;null;36.2;27.4;21.7;82.4;2.1;.1;95.6;
2015-10-31;0;null;148.2;148.2;141.2;6.2;null;181.4;null;null;36;27.5;21.9;82.5;2.1;0;95.4;
