Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.10388888
Longitude: -48.20138888
Altitude: 231.85
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;72.7;140.5;140.5;83.5;8.5;22;306.1;984.5;29.9;24.6;21.1;86.5;2.4;.8;68.9;null;
2012-02-29;14;67.7;128.8;128.8;82.9;8.2;26;266.3;984.3;30.1;24.3;20.3;88.4;2.2;.8;69.1;null;
2012-03-31;5;79.7;138.9;138.9;147.8;7;21;170.1;984.7;31.2;25.1;20.8;86.1;1.6;.8;69.9;null;
2012-04-30;32;81.7;134.1;102.3;167.9;5.4;17;42.2;984.3;31.9;25.7;20.7;85.2;2.4;.8;70;null;
2012-05-31;14;125.4;135.6;94.1;223.4;4.2;11;76.3;985.3;32.4;25.4;19.6;79.4;1.6;.7;70;null;
2012-06-30;0;139.7;128.9;42.8;229;3.4;9;28.8;986.6;33;24.9;18.5;76.4;1.6;.7;69.9;null;
2012-07-31;14;232.2;132.3;26;288.5;1.8;3;20.5;986.2;34.1;24.4;16.5;66.2;2.6;.7;70;null;
2012-08-31;14;352;135.7;8.1;310.7;1.2;1;6.2;986.6;35.5;25.1;16.3;53.3;3.4;1;70;null;
2012-09-30;5;244.6;139.4;60.1;251.9;3.2;3;59.7;985.9;35.6;26.8;19.9;58.6;2.2;.8;70;null;
2012-10-31;5;149.3;144.4;142.4;190.7;5.4;9;142.4;984;32.9;26.3;21.6;75.2;1.6;.7;69.8;null;
2012-11-30;5;80.9;140.1;140.1;92.7;8;21;344.8;983.6;31;25.8;22.5;85.3;3.2;.8;69.1;null;
2012-12-31;5;84.9;145.5;145.5;142.7;6.8;17;272.5;983.5;31.5;25.7;21.6;83.2;1.6;.7;69.7;null;
2013-01-31;5;79.9;145.1;145.1;118.4;7.6;23;326.4;984.8;31.1;25.7;22.4;84.5;2.6;.8;69.1;null;
2013-02-28;5;68.3;128.2;128.2;114.7;7.4;21;199.4;983.8;30.2;25.3;21.9;84.3;1.2;.7;69.6;null;
2013-03-31;23;66.8;140.1;140.1;122;7.3;27;374.1;984.6;30.1;25.4;22.2;87.6;1;.8;69.1;null;
2013-04-30;0;83.4;134.5;134.5;159.3;6;20;236.9;985.1;31.3;25.8;22.3;85.3;2.2;.7;69.6;null;
2013-05-31;5;116.2;136.4;134.3;184.8;4.9;13;162.5;985.5;31.3;25.6;21.4;81.3;1;.6;69.5;null;
