Nome: SAO FELIX DO XINGU
Codigo Estacao: 82668
Latitude: -6.63083332
Longitude: -51.9761111
Altitude: 195.98
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;29.5;null;null;65.5;8.6;26;455.9;988;30.5;null;19.3;null;4;1.2;60;null;
2012-02-29;5;34.8;null;null;72.4;8.2;15;205.1;987.8;31;null;19.2;null;3;1.2;60.4;null;
2012-03-31;5;42.3;null;null;115.8;7.8;25;333.8;988.3;31.6;null;18.7;null;3;1.3;60;null;
2012-04-30;5;44.8;null;null;102.9;7.1;11;138.4;988;32.2;null;18.6;null;3;1.2;60;null;
2012-05-31;5;57;null;null;170.3;6.6;11;81.4;988.8;32.3;null;19.3;null;2;1.3;60;null;
2012-06-30;null;null;null;null;null;null;2;null;null;null;null;null;null;null;null;null;null;
2012-07-31;5;84.4;null;null;276.1;3.9;2;55;989.3;33.8;null;19.1;null;5;1.8;60;null;
2012-08-31;5;156.5;null;null;285.5;3;3;28.8;989.6;35.6;null;18.2;null;5;2.1;58.2;null;
2012-09-30;5;75.9;152;144.1;185.8;5.2;9;139.4;989.3;34.1;null;20.8;null;4;1.6;60;null;
2012-10-31;5;55.5;153.9;128.8;154.2;5.8;13;117.9;987;33.4;null;21;null;3;1.5;60;null;
2012-11-30;5;53.4;142.1;142.1;89.7;7;13;194.8;986.9;32.4;null;21.7;null;3;1.5;60;null;
2012-12-31;5;34.4;132.2;132.2;113;8.2;20;142.6;987.1;31.3;null;21;null;4;1.4;60.2;null;
2013-01-31;5;34.1;138.6;138.6;95.7;8.4;16;143.1;988.1;31.3;null;21.8;null;3;1.4;60;null;
2013-02-28;5;28.6;113.4;113.4;null;8.6;20;258;987.5;30.7;null;21.3;null;3;1.4;60;null;
2013-03-31;5;38;142;142;78.3;8.3;20;224;988.1;31.6;null;22;null;3;1.3;60;null;
2013-04-30;5;39.7;136.9;113.1;101.1;8.1;12;59.2;988.6;32.2;null;22.2;null;3;1.2;60;null;
2013-05-31;5;38.2;139.6;139.6;162.9;6.8;18;350.8;989;32;null;21.8;null;3;1.4;60;null;
2013-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-07-31;5;55.5;142.4;70.1;211.3;4.5;null;35.6;989.9;32.6;null;21.1;null;5;1.6;60.4;null;
2013-08-31;5;50.7;138.8;33.3;248.1;3.8;null;21.2;988.8;33.6;null;20.2;null;5;1.5;60;null;
2013-09-30;5;62.3;133.1;133.1;120.7;6.4;null;142.5;988.6;32.9;null;21.1;null;4;1.6;60;null;
2013-10-31;5;54.6;141.4;141.4;119.6;6.9;null;210.5;988.2;32;null;21.5;null;3;1.5;56.4;null;
2013-11-30;5;35.1;127.2;127.2;58.2;8.3;null;159.8;986.6;31.9;null;21.9;null;3;1.5;57.1;null;
2013-12-31;5;49.1;144.2;144.2;60.6;7.8;null;184.9;987.4;31.9;null;21.9;null;3;1.4;58.1;null;
