Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;310.5;163.8;79;192.2;5.4;6;79;966.6;33.4;27.6;22.4;61.7;5;1.8;15;null;
2012-02-29;14;222.9;127.6;127.6;186.6;5.7;9;180.6;966.5;31.7;26.3;21.5;69.7;6;1.9;15;null;
2012-03-31;14;226;139.9;70.7;223.1;5.2;5;36.6;967.2;32;26.5;21.6;70.1;5;2;16.2;null;
2012-04-30;23;242.8;140.2;26.9;212.4;5.2;6;13.3;967.1;33.6;26.9;21.3;66.6;7;2;16.4;null;
2012-05-31;14;319.9;154.1;9.1;264.3;4.4;2;5;968.2;33.9;27.5;21.7;58.6;7;2.1;15;null;
2012-06-30;14;305.5;137.7;24.1;240.8;3.9;5;23.3;969.5;33.2;26.9;21;57.6;7;2.2;15;null;
2012-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-08-31;14;429.7;149.6;1.6;315.9;2.4;0;0;970.3;33.7;27.2;20.3;44.9;7;3.2;15.1;null;
2012-09-30;14;429.9;163.6;6.6;296.9;2.5;1;6.2;969.7;34.7;28.1;21.1;46.7;10.1;2.4;16.6;null;
2012-10-31;14;453.9;188.2;.1;292.4;2.9;0;0;967.1;35.3;28.9;22;51.9;7;2.1;15;null;
2012-11-30;9;385.1;184.2;.2;235.2;4.3;1;.2;966.1;34.9;28.8;22;53.8;7;2.3;15;null;
2012-12-31;5;360.5;191.4;0;200.3;4.4;0;0;965.7;34.8;29;22.5;55.4;6;2;15;null;
2013-01-31;14;343.9;182.3;8.6;172.1;5.8;7;8.6;966.7;34.2;28.6;22.6;59.7;8;2.2;15;null;
2013-02-28;14;330.8;168.8;65.2;201.4;5.2;7;65.2;965.8;34.3;28.9;22.6;58.3;7;2.4;15;null;
2013-03-31;14;366.2;182.4;26.8;201.7;5;6;26.8;966.6;34.3;28.7;22.5;61.5;6;2.2;15;null;
2013-04-30;18;227.2;140.3;89.2;184.5;5.3;14;89.2;967.7;32.4;26.9;21.3;70.9;4;1.6;15;null;
2013-05-31;14;222.4;131.2;58.9;224.3;4.2;7;58.9;968.5;31.5;26.3;21.3;72.1;6;2.1;15;null;
2013-06-30;14;232.8;123;36.7;225.6;4.6;8;36.7;969.2;31.5;26;21.4;70.9;5;1.7;15;null;
2013-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-08-31;14;409.1;160.8;40;283.3;3.2;null;0;969;34;27.8;21.7;54.8;8;2.7;15.1;null;
2013-09-30;14;459.1;175.4;8.3;293;2.9;null;0;968.6;35.1;28.7;22.2;50.4;7;2.5;15;null;
2013-10-31;14;433.2;185.9;23.4;289.2;3.6;1;22;967.7;35;28.8;22.4;52;7;2.4;15;null;
2013-11-30;9;383.1;167.8;14.7;207.1;4.8;1;14.4;966.1;33.5;28.1;22.2;58.3;7;2.2;15;null;
2013-12-31;5;351.6;174.3;55.7;221.2;4.9;4;55.6;966.5;33.7;28;22.3;59.2;7;2.4;15;null;
2014-01-31;0;281.2;150.4;64.7;197.6;5.3;null;64.7;967.1;32.4;26.9;21.7;68.5;6;1.7;15;null;
2014-02-28;14;188.7;132.9;73.3;125.7;6.4;null;73.3;966.5;31.2;26.2;21.6;74.5;4;1.7;15;null;
2014-03-31;18;240.9;147.1;36.8;154.7;5.8;null;36.8;967.3;32.5;26.9;22;70.1;4;1.6;15;null;
2014-04-30;23;null;null;null;null;5.7;null;null;968;30.7;25.7;21.8;81.5;3;1.4;15;null;
2014-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-06-30;14;311.9;131.1;54.8;null;4.4;null;10.7;969.2;32.5;26.6;20.7;62.2;7;2.4;15;null;
2014-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-08-31;14;null;null;null;null;2.7;null;0;970;33.5;27.2;20.5;49.1;7;2.5;15.8;null;
2014-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-10-31;14;400.9;175.4;14;null;3.5;null;13.8;968.1;34.2;28.3;21.9;50.7;7;2.4;15.1;null;
2014-11-30;14;319.3;163.8;83.9;null;4.6;null;83.9;966.9;34;27.9;21.9;57.8;7;2.3;15;null;
2014-12-31;5;365.6;182.7;0;null;4.9;null;0;967.2;33.8;28.5;22.7;53.4;5;2.1;15;null;
2015-01-31;9;361.8;171.8;15.6;null;4.6;null;15.6;967.9;34;28.1;22.1;57;7;2.1;15;null;
2015-02-28;14;268.9;141.3;45.3;null;6;null;45.3;967.3;33;27.5;22;63.7;5;1.9;15;null;
2015-03-31;23;191.7;131.4;131.4;null;6.5;null;158.1;967.6;31.3;26;21.1;75.3;4;1.7;15.2;null;
2015-04-30;14;186.7;130.2;49.1;null;4.7;null;32.4;968;32.3;26.4;21.2;73.7;5;1.7;15;null;
2015-05-31;14;278;141.5;61.7;null;5.3;null;55.9;968.5;32.6;26.8;21.4;72.9;6;1.8;15;null;
2015-06-30;14;286.1;121.5;51.5;null;4.5;null;49.3;970.1;31.7;25.9;21;72.6;6;2;15;null;
2015-07-31;14;366.9;135.8;4.8;null;4.8;null;3.3;970.1;32.2;26.6;21.2;65.6;7;2.7;15;null;
2015-08-31;14;374.8;150.7;.5;null;2.4;null;.1;969.9;33.8;27.3;20.9;56.6;7;2.7;15.1;null;
2015-09-30;14;405.1;173.4;.1;null;3;null;0;968.8;35;28.6;22.1;55.9;6;2.1;15;null;
2015-10-31;14;451.8;196.9;1.2;null;2.7;null;1.2;968.2;35.7;29.3;22.4;54.5;7;2.4;15;null;
2015-11-30;5;457.2;199.4;0;null;2.6;null;0;966.6;35.8;29.6;22.5;50.9;6;2.2;15;null;
2015-12-31;9;504.7;202.6;8.6;null;3.8;null;8.6;967.7;35.4;29.3;22.7;54.5;8;2.4;15;null;
2016-01-31;9;224.9;146.7;146.7;null;6.5;null;273.6;967.8;31.3;26.6;21.5;75.2;5;2;15;null;
2016-02-29;14;275.9;149.9;97.2;null;5.2;null;26.2;967.8;33.3;27.4;21;68.9;5;1.9;15;null;
2016-03-31;14;231.8;154.4;104.5;null;5.7;null;90.9;968;32.8;27.3;21.7;73.7;6;1.6;15;null;
2016-04-30;14;240.7;138.5;52.5;null;4.9;null;43;967.5;32.2;26.8;21.1;73.8;5;1.9;15;null;
2016-05-31;14;285.2;139.7;38.6;null;4.5;null;34.8;969.2;32.6;26.7;20.6;69.8;5;1.8;15.5;null;
2016-06-30;14;356.1;136.1;1.9;null;3.3;null;.4;970.5;33.5;26.8;20;59.8;7;2.5;15;null;
2016-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-08-31;14;471.8;160.9;1.6;null;2.1;null;0;969.6;34.4;27.8;20.3;51.7;7;2.4;15.1;null;
