Nome: MORRO DOS CAVALOS
Codigo Estacao: 82684
Latitude: -7.85
Longitude: -41.9
Altitude: 242
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2015-02-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;185.9;154.6;89.3;206.5;6.6;10;89.3;null;35.8;28.3;22.7;61.6;7;1.9;43.7;null;
2012-02-29;0;154.3;138.1;104.2;184;6.1;13;104.2;null;33.8;26.9;21.5;69.2;7;2.2;43.3;null;
2012-03-31;0;205.1;150.3;18.8;264.4;4.9;5;19.5;null;36.2;28.3;21.6;59.8;9;2.2;43.3;null;
2012-04-30;9;280.5;146;3.7;274.7;3.8;2;3.7;null;37.5;29.3;21.2;48.4;9;2.8;43.3;null;
2012-05-31;9;278.3;147.9;0;288.2;3.1;0;0;null;36.6;29;22.2;46.8;12;3.8;43.3;null;
2012-06-30;9;290.4;139.5;0;262.6;2.5;0;0;null;35.7;28.4;22.2;45.8;9;3.5;43.3;null;
2012-07-31;9;303.2;143.1;0;297.5;2;0;0;null;34.9;28;21.8;44;12;4.4;43.3;null;
2012-08-31;9;322;143.4;0;306.5;1.8;null;0;null;34.6;27.7;21.6;42.9;12;4.6;43.3;null;
2012-09-30;9;359.5;146.3;0;293.1;1.6;0;0;null;36.6;29.2;23;37.8;9;4.3;43.3;null;
2012-10-31;9;382.5;179.6;.6;311.8;1.9;1;.6;null;38.1;30.6;24.2;36.4;9;3.6;43.3;null;
2012-11-30;0;265.4;153.6;131.8;199.4;6.2;13;131.8;null;36.4;29.8;24.5;53.6;9;2.2;43.3;null;
2012-12-31;0;194.5;156.5;50.4;252.7;5.7;13;50.4;null;36.4;28.8;22.6;58.2;7;2;43.9;null;
2013-01-31;0;145.1;151.8;92.7;175.4;7.4;10;92.7;null;34.5;27.6;22.7;68;7;1.9;43.3;null;
2013-02-28;9;212.8;141.8;23.8;224.5;5;null;23.8;null;36.9;29.4;22.2;51.6;9;3;43.3;null;
2013-03-31;0;164.2;null;null;197;5.7;null;175;null;35.5;28.7;23.1;64.1;12;1.6;43.3;null;
2013-04-30;0;106.7;null;null;224;5.4;null;84.2;null;33.2;27;22.3;72.3;7;1.5;43.3;null;
2013-05-31;0;199.1;null;null;256.9;4.6;null;16;null;34.8;27.8;21.9;58;9;2.5;43.3;null;
2013-06-30;14;249.9;null;null;271.6;3;null;0;null;35.1;27.8;21.9;50.2;9;3.4;43.3;null;
2013-07-31;9;289.7;141.2;0;270.3;3.1;null;0;null;34.4;27.6;21.9;48.3;12;4.2;43.3;null;
2013-08-31;14;352;145.9;0;305.6;1.8;null;0;null;35.2;28.4;22.6;44.2;12;4.9;43.3;null;
2013-09-30;9;339.7;148.1;0;null;1.9;null;0;null;36.9;29.8;23.2;40.5;12;4.2;43.3;null;
2013-10-31;9;332.2;158.7;2.1;null;3.4;null;2.1;null;37.3;30.5;23.8;41.2;9;3.9;43.3;null;
2013-11-30;9;234.6;151.6;58.4;null;6.2;null;58.4;null;35.8;29.3;23.5;53.5;12;2.7;43.3;null;
2013-12-31;0;139.6;151.4;79.2;200.7;6.1;null;79.2;null;34;27.7;22.4;67.5;7;1.7;43.3;null;
2014-01-31;9;201;155.3;54.4;251.1;5.7;null;54.4;null;36;28.5;21.9;58.1;7;2.5;43.3;null;
2014-02-28;0;151.3;null;null;145.4;6.9;null;153.9;null;33.2;27.3;22.3;68.2;7;2.1;43.3;null;
2014-03-31;0;107;146.1;146.1;null;5.8;null;200;null;32.9;27.1;22.4;73.9;7;1.3;44;null;
2014-04-30;0;119.2;137.5;67.6;null;5.7;null;32.7;null;33;26.8;21.9;73.9;7;1.5;43.3;null;
2014-05-31;9;277.9;140.7;40.5;237.6;4.7;null;27.8;null;34.2;27.1;21.1;62.7;9;2.8;43.3;null;
2014-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-07-31;null;null;141.2;.6;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-08-31;null;null;144.4;0;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-09-30;null;null;148.4;0;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-10-31;null;null;158.4;2;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-11-30;null;null;151.3;151.3;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;154.4;38.2;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

