Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;169.3;156;124.5;256.8;4.8;10;124.5;984.3;33.9;27.1;22.1;65.8;5;2.1;48.1;null;
2012-02-29;9;131.7;131;131;245.1;5;9;217.8;984.1;33.3;26.5;21.7;71.4;5.3;1.8;45.9;null;
2012-03-31;9;125.3;141.9;86.5;299.3;3.9;11;27;984.8;33.5;26.7;22.1;73.2;3.6;1.6;48.2;null;
2012-04-30;9;125.5;140.9;133.4;302.8;3.4;9;130.7;984.7;33.9;27;22.4;72;13.3;1.7;47.6;null;
2012-05-31;9;178.1;143.6;29.3;292.5;3.4;6;11;986;34;27;21.8;64.7;4.5;2;48.9;null;
2012-06-30;9;179.2;125.2;30.1;253.7;3.5;5;25.9;987.5;32.9;26.3;21.1;64.7;4.3;1.9;48.9;null;
2012-07-31;9;224.5;129.7;7.9;281;3;2;6.2;987.6;32.7;26.3;20.3;56.6;4.8;2.4;48.7;null;
2012-08-31;9;287.9;146.7;.5;328.7;2.2;0;0;988.7;33.6;27;20.3;48.1;4.8;2.7;49.8;null;
2012-09-30;9;291.1;142.3;.1;328.7;1;0;0;987.8;34.7;27.1;20.4;49.9;4.8;2.7;50;null;
2012-10-31;9;266.5;171;0;341.5;1.9;0;0;985.1;35.5;27.9;22;53;5.3;2.5;49.8;null;
2012-11-30;9;206.2;165.5;.2;307.3;3.2;1;.2;983.8;35.9;27.9;22.2;59.1;4.6;2.2;49;null;
2012-12-31;9;239.3;174.3;1;314.1;5;1;1;983.3;35.8;28;23.4;61.2;3.5;1.8;47.6;null;
2013-01-31;9;182;173.8;55.4;254.2;5.9;6;55.4;984.4;34.9;27.9;23.3;65.8;4.8;2;45.7;null;
2013-02-28;9;179.1;153.2;77.8;287.7;4.9;6;77.8;983.6;35.6;27.9;22.8;65.1;4.3;1.9;48.1;null;
2013-03-31;9;167.4;171.8;164.6;262.7;5.7;12;164.6;984.4;35;28;23.3;68.6;4;1.7;45.9;null;
2013-04-30;9;120.2;144.9;115.3;274.3;4.8;15;115.3;985.2;33.2;27.2;23.2;75.2;7.8;1.6;47.8;null;
2013-05-31;9;116.7;134;106.3;271.5;5.1;9;106.3;986.3;32.4;26.5;22.1;74.7;4;1.6;47.2;null;
2013-06-30;9;122.5;114.9;50.8;245.8;5;10;50.8;987.1;31.9;25.6;21.2;73.7;8.1;1.6;48.7;null;
2013-07-31;9;172.2;112.2;16.3;253.9;4.4;5;16.3;988;32;25.6;20.1;66.3;4.5;2;49.7;null;
2013-08-31;14;258.7;146.7;8.6;299.8;3.5;3;8.6;987.1;33.9;27.2;21.2;55.5;5;2.5;48.3;null;
2013-09-30;9;267;156.4;1.7;315.7;2.6;1;1.7;986.6;35.3;27.6;21.1;53.1;4.8;2.7;49.8;null;
2013-10-31;9;263.3;164.2;40.8;310.9;3.1;3;40.8;985.7;35.8;27.8;22.5;57.7;5.3;2.3;50;null;
2013-11-30;9;243.3;148.4;8.8;283.9;5.5;3;8.8;984;34.4;27;22;65.5;9;2.2;46.1;null;
2013-12-31;9;222.6;160.8;85.2;284.6;4.7;4;85.2;984.4;34.8;27.3;22.3;68;4.8;2.2;47.2;null;
2014-01-31;9;254.2;164.7;64.3;290.5;5.9;1;64.3;985;34.8;27.6;22.4;67.7;5.5;1.7;47.2;null;
2014-02-28;9;177.6;137.5;137.5;236.8;7.1;null;142.1;984.3;33.4;27.1;22.7;75.3;4.8;1.8;46;null;
2014-03-31;9;136.6;136.1;136.1;281.6;5.3;null;191.4;985;32.7;26.4;22.5;81.4;6;1.6;47.6;null;
2014-04-30;9;98.4;127.8;127.8;265.4;5.4;null;192.2;985.6;31.9;26.3;22.8;80.9;3.3;1.4;47.3;null;
2014-05-31;9;116.1;124.8;110.2;258.9;5.2;null;69.9;986.1;32.2;26;21.6;75;3.3;1.6;48.3;null;
2014-06-30;9;150.8;113.2;51.1;251.5;4.3;null;17;987.3;32.5;25.6;20.1;72.2;4.3;2.1;48.4;null;
2014-07-31;9;198.2;117.3;41;258.8;3.6;null;28.6;989.2;32.5;25.6;19.7;65.5;4.3;2.1;49.1;null;
2014-08-31;9;262.7;142.7;6.9;318.9;3.3;null;.3;988.2;34.4;26.9;20;55.1;4.6;2.5;49.6;null;
2014-09-30;9;263.6;154.3;1.6;283.2;3.1;null;0;987.2;35.5;27.6;21.5;55.5;4.3;2.5;48.9;null;
2014-10-31;9;262.8;170.9;83.5;304.7;4.3;null;83.2;986.1;35.2;28;22.4;58.3;4.6;2.6;47.8;null;
2014-11-30;9;214.4;163.2;8.3;292.7;3.7;null;8.2;984.7;35.4;27.9;22.6;64.1;9.5;2.1;48;null;
2014-12-31;9;232.5;179;24;292;5.3;null;24;985;35.6;28.3;22.9;61.3;4.6;2.2;47.6;null;
2015-01-31;9;206.5;167;55.3;304.2;4.6;null;55.5;985.5;35.6;27.7;22.5;63.8;4.6;1.9;47.6;null;
2015-02-28;9;144;135.6;135.6;208.9;6.5;null;160.7;985.3;33.9;27;22.4;72.3;4.1;1.7;45.5;null;
2015-03-31;9;101.4;140;140;265.9;6.3;null;396.5;985.1;33.4;26.6;22.4;80;4.1;1.4;47.4;null;
2015-04-30;9;98;127.8;96.2;282.6;3.5;null;36.3;985.4;33.3;26.3;22.4;78.6;9.5;1.4;48.8;null;
2015-05-31;14;279.3;147.7;38.5;288.2;4.7;null;8.4;986;35;27.2;22;69.1;4.3;1.7;48.1;null;
2015-06-30;14;370.7;130.6;50.7;252.5;4.9;null;45;988;33.3;26.6;21.3;66.2;4.3;2.2;48;null;
2015-07-31;14;380.9;129.7;61.4;246.6;5.1;null;59.3;988.3;32.7;26.4;21.1;70;4.8;2.2;47;null;
2015-08-31;14;null;138.8;6.4;323.5;2.2;null;4.9;987.9;34.6;26.7;19.9;64.7;4.6;2.5;49.1;null;
2015-09-30;9;201.5;152.3;.4;319.6;1.5;null;0;986.8;36.3;27.5;21.2;60.9;5.5;2.2;50;null;
2015-10-31;9;218.4;189.8;5.7;327.4;2;null;5.6;985.9;36.9;28.8;22.3;60.8;5.3;2.6;49.6;null;
2015-11-30;9;210.1;198.5;0;333.9;2.1;null;0;984.3;37.5;29.3;22.6;60.6;5.1;2.6;49.3;null;
2015-12-31;9;223;214.4;9.8;318.1;3.8;null;9.8;985.7;37;29.6;23.9;63;5.8;2.8;49.4;null;
2016-01-31;9;105.6;164.7;164.7;213.1;6.7;null;184.1;985.6;32.9;27.5;23.7;80;4.3;2.1;43.8;null;
2016-02-29;9;119;152.4;44.3;277;5.2;null;30.7;985.8;34.3;27.5;22.6;74.4;4.6;2;45.9;null;
2016-03-31;9;109.8;176.3;176.3;295.2;5.3;null;308.4;985.6;34.4;28.2;23.8;78.5;5;1.8;48.9;null;
2016-04-30;9;75.5;138.9;136.3;274.3;4.4;null;115.1;985.5;32.7;26.9;22.5;81.5;4;1.7;48;null;
2016-05-31;14;117.2;149.7;85.4;287.5;4.2;null;30.6;987;34.1;27.4;21.8;74.4;4;1.7;48.7;null;
2016-06-30;14;128.1;141.9;27.6;282.9;3.2;null;10.1;988.4;34.4;27.2;21.1;68.1;5.3;2.3;49.3;null;
2016-07-31;14;210.7;153.2;5.5;310.4;2.5;null;.5;988;34.6;27.4;20.9;59.2;7;3;49.8;null;
2016-08-31;14;259.5;161.4;1.1;338.2;1.2;null;0;987.7;35.3;27.8;21.1;58.1;5.6;2.8;50;null;
2016-09-30;9;257.2;174;.2;326.3;2.4;null;0;986.7;36.3;28.6;22.4;58.3;5.6;2.6;49.6;null;
2016-10-31;9;254.9;213;11.9;339.1;2.1;null;11.9;984.7;37;29.7;23.7;53;6.3;3.2;49.6;null;
2016-11-30;9;272.3;225;0;334.4;3;null;0;983.9;37;30.2;24.3;53.6;6.8;3.3;49.7;null;
2016-12-31;9;248.2;217.1;10;282.9;4.9;null;10;984;36.3;29.7;24.6;58;6.1;2.9;47.2;null;
2017-01-31;9;204.8;216.5;104.1;297.7;5.7;null;104.1;984.2;36.2;29.7;24.6;63.4;4.6;2.3;47.4;null;
2017-02-28;14;96.8;151.2;151.2;240.5;6.8;null;191.4;984.4;33.4;27.9;23.6;77.8;5.5;1.8;43.8;null;
2017-03-31;9;73.3;146;142;250.1;5.9;null;139.4;984.8;32.6;26.9;23.5;83.6;3.8;1.5;45.7;null;
2017-04-30;14;91.7;142.9;88.6;275.1;5;null;68.9;985.2;32.7;27.1;23.2;79.8;5.5;2.1;48.2;null;
2017-05-31;18;117;145.7;66.3;242.4;5.2;null;55.6;986.2;33.2;27;22.6;77.3;5.3;2.1;47.8;null;
2017-06-30;14;139.6;130.6;54.4;243;5;null;50.4;987.4;32.1;26.5;21;72.7;5.8;2.7;48.9;null;
2017-07-31;14;152.9;110.6;74.1;210.5;6;null;73.1;990;30.3;25.2;20.5;71.2;5.8;3;47.6;null;
2017-08-31;14;236.9;159.1;1.8;322.3;2.4;null;0;987.6;34.6;27.7;21.5;60.4;5.8;3.1;49.8;null;
2017-09-30;14;275.3;176.2;.4;321.1;2.3;null;0;987.7;35.3;28.6;22.6;51.8;7;3.9;50;null;
2017-10-31;9;286.7;212.9;.1;333.7;3;null;0;985.3;36.5;29.8;23.7;50.4;6.5;3.6;50;null;
2017-11-30;9;237.7;206.2;.4;301.5;3.6;null;.4;983.7;36.5;29.6;24.1;58.3;6.6;3.1;48.4;null;
2017-12-31;9;241.5;222.6;1;289.8;5;null;1;983.8;36.4;29.9;24.2;59.1;5.6;3.2;48.5;null;
2018-01-31;5;191.2;193;62.4;250.9;6.9;8;62.4;984.3;35;28.7;23.9;66.6;9.1;2.7;45.1;null;
2018-02-28;9;89;137.5;137.5;225.6;6.9;19;322.9;null;33;27.1;23.4;80;4.3;1.9;44.7;null;
2018-03-31;9;87;154.2;137.2;277.6;5.5;14;89.5;null;32.8;27.3;23.6;80.4;6.3;2.1;45.9;null;
2018-04-30;9;54;120.7;120.7;207.3;6.3;15;267.8;985.9;30.7;25.9;22.6;87.1;4;1.6;44.4;null;
2018-05-31;14;98.8;116.1;81.2;268.2;5.2;6;19.1;986.9;31.5;25.5;21.3;80.5;4.6;2;46.1;null;
