Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;271;155.1;80.9;240.2;5.9;8;65.2;990.1;36.1;29.2;23.9;54.2;7.5;2.2;63.3;null;
2012-02-29;5;224.2;141.9;69.3;223;6;9;69.3;991.9;35.1;28.5;23.4;58.3;6;1.4;63.3;null;
2012-03-31;0;310.6;152.5;19.5;263;5.8;9;18.5;992.2;36.4;29.2;23.8;57;5.3;.9;63.6;null;
2012-04-30;5;268.4;148.6;.8;279.8;4.7;2;.8;991.9;37.3;30.3;24.4;50.5;4.6;1.9;63.3;null;
2012-05-31;5;262.8;148.9;1.5;259.6;4.6;2;1.5;993.3;35.9;29.2;23.9;53;6.5;2.2;63.3;null;
2012-06-30;5;216.2;138.5;45.1;206.5;5.3;5;44.3;995;34.1;27.9;22.9;59.6;5.5;1.3;63.3;null;
2012-07-31;5;230.9;140.6;0;251.7;4.4;0;0;995.4;32.9;27;21.9;60;5.6;1.9;62.8;null;
2012-08-31;5;272.1;142.6;0;312.3;2.9;0;0;996.1;34.3;27.3;21.3;48.2;6.3;3.1;63.3;null;
2012-09-30;5;300.3;143.3;0;305.6;2.5;0;0;995.6;35.6;28.3;21.8;44.8;6;3;63.3;null;
2012-10-31;9;316;152.7;0;326.7;3.1;0;0;992.9;36.6;29;23.1;47.5;6;3.4;63.3;null;
