Nome: FLORANIA
Codigo Estacao: 82691
Latitude: -6.12388888
Longitude: -36.81194444
Altitude: 324.45
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;127.4;160.1;54.7;194.7;5.2;8;52.3;975.3;34.1;27.3;22.1;69.9;6;2.7;46.3;null;
2012-02-29;14;185.9;133.6;96.4;206.2;6;10;96.4;974.1;33.2;26.7;21.8;70.8;6;3;54.2;null;
2012-03-31;14;217.1;162.6;38.6;232.9;6.5;9;22.8;974.6;33.9;27.2;22.3;69;6;2.7;53.6;null;
2012-04-30;14;192.3;159;4;247.8;4.8;5;4;974.4;35.1;28;23;64.3;6;2.9;53.3;null;
2012-05-31;14;258.8;146.5;.7;256.8;4.7;3;.7;975.9;34.1;27.4;22.4;66.7;6;3.2;53.3;null;
2012-06-30;14;220.7;126.8;1.2;196.2;3.8;2;1.2;978.5;32.6;26.4;21.7;76.6;6;3.3;45;null;
2012-07-31;14;248.1;116.3;8.2;246;4.2;4;8.2;977.6;31.4;25.4;20.5;73.4;6;4.1;53.3;null;
2012-08-31;14;333.9;124.1;0;314.4;2;0;0;978.4;32.7;25.8;20.2;56.4;6;4.5;54.2;null;
2012-09-30;14;304.4;132.1;0;299.4;2.7;0;0;978;33.7;26.4;20.3;55.3;6;4;53.3;null;
2012-10-31;14;329.1;151.8;.3;304.5;2.9;1;.3;975.5;34.6;27.1;21.8;57.1;6;3.7;52.6;null;
2012-11-30;5;258.5;166.7;0;294.1;3.5;0;0;974.2;35.9;28;22.3;57.9;4;2.8;53.3;null;
2012-12-31;5;277.3;177.6;7.6;264.8;4.5;3;7.6;973.9;35.9;28.3;23.2;60;6;2.7;53.9;null;
2013-01-31;14;277.6;183.9;26.9;251;4.8;3;26.9;975.9;35.8;28.6;23.5;68.2;4;3;45.6;null;
2013-02-28;14;273.5;158.4;20.4;226.4;5;4;20.4;974;35.9;28.5;23.9;63;6;3.2;53.2;null;
2013-03-31;14;256.3;182;42.4;227;5.7;7;42.4;974.5;36.2;28.7;24;64.9;6;3;52.6;null;
2013-04-30;14;195.5;159.1;105.8;226.2;5.6;6;105.8;975.1;34.5;27.9;23.8;71.1;6;2.6;53.9;null;
2013-05-31;14;214.8;154.3;23;221.3;5.6;7;23;975.9;33.9;27.5;23.1;66.8;4;2.9;53.3;null;
2013-06-30;14;146.9;125.2;56.8;211.9;4;7;56.8;977.8;31.9;26.2;22.2;72.3;6;3.2;45.8;null;
2013-07-31;14;201.6;119.5;23.4;203;5.9;6;23.4;977.8;31.1;25.6;21.4;66.9;6;3.6;54.3;null;
2013-08-31;14;309.3;131;9.8;273.2;3.5;3;9.8;977;32.6;26.3;21.9;63.7;6;4.1;53.7;null;
2013-09-30;14;299.9;133.8;2;283.6;3.8;2;2;977.1;33.4;26.5;22;64.2;6;4.1;53.3;null;
2013-10-31;14;318.8;159.7;1;282.3;4.1;1;1;975.9;34.6;27.5;22.6;63.5;6;3.5;53.9;null;
2013-11-30;14;288.2;154.5;8;234.5;5.5;2;8;974.3;34.1;27.4;22.9;58.6;6;3.1;53.3;null;
2013-12-31;5;223;168.9;81.5;219.4;5.5;3;81.5;974.7;34;27.7;23.1;56.7;6;2.9;53.3;null;
2014-01-31;14;272.1;168.5;9;225.7;5.5;null;9;976;34;27.7;23.1;60.6;6;3.2;44.7;null;
2014-02-28;14;183.2;136;115;171;6.5;null;115;974.2;33.3;27;22.8;63.9;4;2.4;53.3;null;
2014-03-31;32;151.4;144.8;144.8;233.2;6.7;null;197.1;974.9;33.1;26.8;22.7;70.4;6;2.4;53.3;null;
2014-04-30;32;101.7;127.5;127.5;233.7;6.6;null;365.1;975.4;32;26.2;22.2;78.3;4;2.5;53.3;null;
2014-05-31;14;120.3;125;111.7;236.5;5.9;null;68.6;975.7;31.5;25.9;21.6;72.7;4;2.6;53.3;null;
2014-06-30;14;198.2;121.8;44.4;196.1;4.3;null;5.3;978.1;31.9;26;21.3;67;4;3.6;45.8;null;
2014-07-31;14;255.5;121.1;19.8;221;4.6;null;7.8;979.1;31.9;25.7;21;59.4;6;3.8;53.1;null;
2014-08-31;14;313.7;127.5;4.1;293.9;3.1;null;0;978;32.8;26;20.7;53.9;6;4.3;53.7;null;
2014-09-30;14;265.3;133.8;9.1;241.4;4.1;null;8;977.5;33.6;26.5;21.6;57.3;6;3.6;53.3;null;
2014-10-31;14;314.4;159.7;.8;243.7;3.9;null;.4;976.4;34.1;27.1;22.3;55.4;6;3.7;53.2;null;
2014-11-30;5;264;158.5;5.3;235.1;4.5;null;5.2;975.1;34.9;27.4;22.3;54.9;4;2.7;54;null;
