Nome: CRUZETA
Codigo Estacao: 82693
Latitude: -6.42638888
Longitude: -36.79138888
Altitude: 226.33
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;418;181;16.6;234.2;5.5;4;16.6;986.4;35.1;28.3;23.5;61;7.6;4.4;46.8;null;
2012-02-29;9;390.4;154.2;103.1;229.3;5.5;7;103.1;985.8;34.3;27.7;23;65.2;9;4.2;48.6;null;
2012-03-31;14;355.9;174.2;47.7;256.7;5.2;7;44.9;985.1;35.1;28.3;22.8;56.3;6.6;3.6;57.8;null;
2012-04-30;5;374.6;182.5;3.8;268;4.3;5;3.8;984.9;36.1;28.9;23.5;52.3;6.5;3.7;58.6;null;
2012-05-31;14;370;169.4;8.9;269.4;4.3;3;8.9;986.5;34.9;28.2;23;53.7;7.3;4;58.3;null;
2012-06-30;14;315;135.7;17.6;215.4;5.1;5;17.6;988.1;33;27;22.2;57.5;7.8;4.1;58.1;null;
2012-07-31;14;332.2;127;.9;259.1;4.3;3;.9;988.4;32;26.2;21.5;56.9;7.6;4.5;58.2;null;
2012-08-31;14;409.5;132.2;0;326.3;2.5;0;0;989.3;33.4;26.5;20.9;49.9;8.3;5.5;59.3;null;
2012-09-30;14;437.8;147.9;0;304.1;2.5;0;0;988.7;34.6;27.3;21.3;47.7;7.8;5.4;60.2;null;
2012-10-31;14;470.6;168.7;0;302.6;2.9;0;0;986;35.4;28.1;22.6;49;9.1;5.8;59.3;null;
2012-11-30;14;283.8;184.4;0;304.5;3.2;0;0;984.6;36.4;28.7;23.3;48.5;8.3;5;59.3;null;
2012-12-31;9;193;199.5;0;259.1;4.3;0;0;984.2;36.2;29.1;23.9;50.1;8.6;4.7;59.3;null;
2013-01-31;9;179.8;209.7;24.4;254.2;4.6;4;24.4;986.2;36.3;29.3;24.4;57.4;8.5;5.3;46.5;null;
2013-02-28;9;353.2;185;32.8;249;4.1;5;32.8;985.9;36.3;29.4;24.1;57.5;7.9;4.6;47;null;
2013-03-31;9;373.5;204.8;67;263.1;5.1;1;67;985;36.3;29.4;24.4;55;7.1;4;57.7;null;
2013-04-30;9;325.1;180.2;55;233;5.5;null;55;985.4;35;28.8;24.3;58.9;6.6;3.8;58.1;null;
2013-05-31;14;328.5;167.1;22.7;246.9;5.3;null;22.7;986.4;34.2;28.1;23;57.6;8.5;4;57.8;null;
2013-06-30;14;264;135.7;54.4;221.1;5.4;null;54.4;987.5;32.5;26.9;22.5;61.9;8.6;3.7;56.8;null;
2013-07-31;14;295.2;130.8;27.2;233.6;5.2;null;27.2;988.5;32.2;26.4;21.7;59.5;8.5;4.5;56.8;null;
2013-08-31;14;399.2;140.1;28.6;270.4;3.8;null;28.6;987.8;33.3;26.9;22;54.9;8.6;5.1;58.5;null;
2013-09-30;14;420.4;145.7;3.1;288.3;3.5;null;3.1;987.7;34.2;27.2;22.2;53;7.8;5.4;59.2;null;
2013-10-31;14;450.9;178.1;2.9;311.2;3.5;null;2.9;986.5;35.5;28.3;23.3;49.8;8.5;5.4;58.9;null;
2013-11-30;14;424.5;174.6;13.4;246.1;5.2;null;13.4;984.7;35.2;28.3;23.6;52.3;9;5.2;57.9;null;
2013-12-31;5;383.5;186.5;55.4;248.7;4.9;null;55.4;985;35.1;28.5;23.8;56.4;8.3;4.7;57.9;null;
2014-01-31;9;388.1;188.5;30;252.1;4.7;null;30;986.8;35;28.6;23.5;57.9;8.1;5.1;47;null;
2014-02-28;9;291.3;155.2;28.3;198.3;5.6;null;28.3;985.7;34.6;28;23.4;66.7;7.6;4.4;46.4;null;
2014-03-31;5;250.6;167.3;167.3;249.3;6.2;null;193.1;985.4;34.3;27.9;23.4;64.3;7.3;3.7;56.5;null;
2014-04-30;14;147.9;144.5;144.5;265.9;6.1;null;245.7;985.7;32.9;27.1;23.1;72.8;5.5;2.9;56.6;null;
2014-05-31;9;204.6;141.2;135;244.1;5.7;null;103.8;986.7;32.7;26.9;22.4;71.1;5.5;3.1;50.3;null;
2014-06-30;14;286.1;128.1;59.2;215.6;4.6;null;12;988.7;32.2;26.5;22;66.1;5.8;4.2;46.8;null;
2014-07-31;14;367.5;130.8;18.6;238.2;4.2;null;3.1;990.6;32.4;26.4;21.3;62.1;8;4.6;48.8;null;
2014-08-31;9;432.9;138.1;4.5;305;3;null;0;990.1;33.4;26.7;21.2;58.8;8;5.5;46.8;null;
2014-09-30;9;433.5;147.8;2.5;256.5;4;null;1.3;988.1;34;27.3;22.4;54.4;8.3;4.9;57.7;null;
