Nome: AREIA
Codigo Estacao: 82696
Latitude: -6.97555554
Longitude: -35.71805554
Altitude: 571.75
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;95.9;98;98;173.7;7.8;17;182.8;947.4;27.5;22.6;19.6;86.9;7.2;2.3;45.4;null;
2012-02-29;14;91.4;89.6;89.6;179;7.9;11;154.4;947.1;27.2;22.5;19.6;85.6;5.5;2.4;54.4;null;
2012-03-31;14;113.8;98.5;81.8;213.1;7.4;14;34.5;947.7;28.1;22.9;19.9;83.5;5.8;3.1;56.3;null;
2012-04-30;14;118.5;99.8;58;245.9;7.1;7;32.1;947.5;29.1;23.5;20.7;80.2;6.8;3.6;58;null;
2012-05-31;14;105;94.5;94.5;209.5;7.7;19;102.5;948.8;27.7;22.7;20.2;82.8;7.1;3.1;53.8;null;
2012-06-30;14;57.3;77;77;158;7.8;18;302.2;950;24.8;21.3;19.2;88.9;5.7;2.7;47.7;null;
2012-07-31;14;63.2;71.9;71.9;170.8;7.9;23;163.3;950.2;23.8;20.4;18.4;88.5;7.2;3.1;47.8;null;
2012-08-31;14;99.8;71.9;62.8;218.2;7.5;15;25.9;951.3;25;20.4;17.9;82.9;7.2;3.6;55;null;
2012-09-30;14;133.1;80.4;39.6;220.5;7.2;8;6.7;950.9;26.6;21.4;18.5;77.3;8.5;4.2;54.3;null;
2012-10-31;14;141.9;90.3;30;208.6;7.8;11;13.9;948.6;27.5;22;19;78.2;8.3;4;55.4;null;
2012-11-30;14;134.3;101.8;9.7;252.6;6.6;2;.8;947.2;29.5;23.2;19.9;73.9;5.5;3.1;57.9;null;
2012-12-31;14;149.3;105.8;8.8;202.3;7.3;5;5.6;946.9;29.9;23.6;20.5;76.5;5.8;3.5;57.8;null;
2013-01-31;14;130.6;111.1;41.7;233.3;6.9;11;40.7;947.7;30;23.8;20.4;77.5;5.5;2.9;58;null;
2013-02-28;14;140.7;101.2;60.2;204.2;7.3;13;59.9;947;29.6;24;21;78.4;8.3;3.6;55.1;null;
2013-03-31;14;128.4;113.8;49.9;218.9;7.5;3;49.6;947.4;29.8;24.4;21.6;78.5;7.8;3.2;54.9;null;
2013-04-30;14;98.4;105.1;105.1;185.7;7.6;null;192.1;947.7;29.2;24;21.1;81;5.8;3;55.4;null;
2013-05-31;14;70.1;92.6;92.6;208.6;7.6;null;110;948.5;26.4;22.6;20.2;86.4;6.8;3;57.6;null;
2013-06-30;14;47.9;78.8;78.8;154.9;7.9;null;221.2;949.2;24.8;21.5;19.5;90;6.3;2.9;52.2;null;
2013-07-31;14;51.2;75.4;75.4;144.3;7.7;null;263.7;950.2;24;20.8;18.9;89.8;7.9;3.6;44.4;null;
2013-08-31;14;70.5;76.2;76.2;197.2;7;null;124;950;24.6;20.8;18.5;87.9;7.2;4.1;48.4;null;
2013-09-30;14;68.7;78.5;76.9;173.5;7.8;null;59.9;950;25.3;21.2;18.9;87.1;8.5;4.2;51.1;null;
2013-10-31;14;103.2;93.2;72.8;232.4;7.1;null;37.1;949.2;27.4;22.3;19.9;81.8;6.3;4;52.8;null;
2013-11-30;14;103.6;95.5;66.2;195.9;7.6;null;48.4;947.4;27.7;22.7;20.2;80.9;7.2;3.9;55.6;null;
2013-12-31;9;105.5;106.9;76.3;186.9;7.6;null;66.5;947.5;28.9;23.4;20.7;79.8;7;3.1;52.2;null;
2014-01-31;14;123.8;104.4;44.7;197.5;7.3;null;34.8;947.9;28.7;23.2;20.4;79.8;7.2;3.6;54;null;
2014-02-28;14;68.2;90.3;90.3;146.9;8;null;156.6;947.1;27.6;23;20.5;86;6.4;3.2;51.5;null;
2014-03-31;14;76.7;104.9;93.9;185.5;7.4;null;73.1;947.6;28.3;23.5;21.1;85.7;5.8;3.3;52.8;null;
2014-04-30;14;91;107.2;72.9;227.5;6.8;null;48.2;947.7;29.6;24.2;21.4;82.9;6.5;2.9;55.3;null;
2014-05-31;14;78.6;96.6;96.6;185.1;7.2;null;117.9;948;null;null;20.3;86.8;6.3;3;50.6;null;
2014-06-30;14;66.9;92.8;92.8;159.8;7.1;null;153.7;949.4;null;null;19.5;88.6;6;3.7;47.1;null;
2014-07-31;14;67.3;77.5;77.5;156.4;7.3;null;156.2;951.6;24.9;20.9;19;87.2;6.8;4.1;49.8;null;
2014-08-31;14;78.6;75.4;75.4;192.5;7.5;null;92.2;951;25;20.7;18.5;84.6;7.9;4.2;52.6;null;
2014-09-30;14;74.9;79.4;79.4;179;8;null;203.8;950.2;25.6;21.3;19.2;86.3;7.9;4.2;45.9;null;
2014-10-31;14;91.6;89.2;88.6;186.2;7.8;null;78;949.4;26.9;22;19.7;84;6.9;4.1;51.7;null;
2014-11-30;14;97.5;97.5;79.6;199.7;7;null;40.9;948;28.6;22.8;20.2;79.8;6.7;3.6;53.6;null;
2014-12-31;14;111.4;103.6;59.5;174.8;7.4;null;34.1;948.2;28.8;23.1;20.4;78.8;7.6;3.9;53;null;
2015-01-31;14;137.7;105.5;61.5;234.6;7.1;null;50.9;948.7;29.2;23.3;20.7;78;7.6;3.7;54;null;
2015-02-28;14;117;100.2;69.3;191.5;7.2;null;65;948.1;29.9;23.9;21.1;78.6;6.1;3.6;52.7;null;
2015-03-31;14;82.3;102.8;102.8;179.1;7.8;null;133.3;947.8;27.9;23.3;21.1;85.5;6.8;3.2;51;null;
2015-04-30;14;97.2;105.1;69;246.5;6;null;52;947.8;29.5;23.9;21.3;80.7;6.2;2.8;61.1;null;
2015-05-31;14;92.3;100.7;93.4;224.3;7.4;null;91.2;948.9;28.4;23.4;21;83.5;5.9;3.9;54.9;null;
2015-06-30;14;54.1;80.6;80.6;137.1;7.6;null;163.9;950.5;25.2;21.7;19.8;89.2;7.2;3.7;48.5;null;
2015-07-31;14;36.6;76.2;76.2;113;8.6;null;379.6;950.6;23.9;20.9;19.3;91.9;7.8;3.6;41;null;
2015-08-31;14;68.8;76.2;76;200.5;7.2;null;68.7;950.7;25.2;20.8;18.7;85.3;7.5;4.1;52.8;null;
2015-09-30;14;79.3;84;67.7;202.2;7.3;null;27.9;950.1;27;21.7;19.4;81.9;6.3;4.1;53;null;
2015-10-31;14;116.9;95.3;51.6;247.2;6.9;null;24.9;949.6;28.2;22.5;19.8;78.1;7.4;4.2;55.9;null;
2015-11-30;14;140.5;103.8;21.2;263.9;6.1;null;4.7;947.8;30.3;23.5;20.4;74.1;8.9;3.5;57.7;null;
2015-12-31;14;125.3;109.1;93.6;178.9;7.5;null;92.1;949;29.5;23.6;20.8;78.6;6.8;3.2;56.8;null;
2016-01-31;14;58.8;107.7;107.7;131.2;8.4;null;188;948.1;27.7;23.5;21.4;86.7;4.6;2;49.2;null;
2016-02-29;14;76.6;98.6;82.9;179.6;7.6;null;47.5;948.4;28.1;23.4;21;85.5;5.8;3.1;53.6;null;
2016-03-31;14;85.1;109.3;109.3;195.6;7.8;null;136.8;948.4;29;23.9;21.5;84.8;6.2;3.7;53.2;null;
2016-04-30;14;63.2;97.8;97.8;149;7.6;null;227.5;947.9;27.4;23.3;21.3;88.1;7.3;3.8;51.5;null;
2016-05-31;14;54;91.5;91.5;194.9;7.3;null;236.9;949.6;26.2;22.5;20.6;89.4;7.2;3.4;52.8;null;
2016-06-30;14;67.8;82.4;82.3;216.8;6.3;null;77.6;950.8;26;21.9;19.8;86.1;6.3;3.8;56.6;null;
2016-07-31;14;98.1;79.8;71;220.1;7;null;40.1;950.5;26.1;21.3;18.9;82.8;7.9;4.6;57.4;null;
2016-08-31;14;null;83.6;54.3;255.9;6.3;null;26.8;950.6;27.4;21.6;18.6;78;7.9;4.5;56.8;null;
2016-09-30;14;null;88.8;47.6;246.9;6.2;null;32;950.2;28.4;22.3;19.5;77.1;7.9;4.9;56.6;null;
2016-10-31;14;null;101.6;31.2;265.7;6.6;null;19.8;948.4;29.5;23.1;20;74.9;8.4;4.9;54.3;null;
2016-11-30;14;null;107.1;8.9;261.2;6.4;null;3.1;947.6;30.1;23.8;20.6;74.8;8.2;4.2;57.3;null;
2016-12-31;14;null;110.3;110.3;178.9;7.2;null;172.3;947.3;29.6;23.7;20.9;78.5;7.4;4;52.7;null;
2017-01-31;14;null;107.7;63.8;203.1;7.8;null;28;947.5;29.2;23.5;20.9;79.6;6.4;3.9;56;null;
2017-02-28;14;null;100.2;52.3;194.5;7.3;null;38.8;947.2;29.7;23.9;21.2;79.8;6.5;4.2;56.4;null;
2017-03-31;14;null;109.3;91.4;169.7;8;null;88.4;947.2;28.8;23.9;21.6;85.4;6.2;3.6;56.6;null;
2017-04-30;14;null;101.9;101.9;183.6;7.4;null;185.6;947.6;28.3;23.7;21.5;84.9;7.2;4;56.5;null;
2017-05-31;14;null;95.6;95.6;181;7.4;null;135.4;948.5;26.9;22.9;20.9;87.5;7.2;3.6;53.5;null;
2017-06-30;14;null;82.4;82.4;153.3;7.9;null;172.3;949.4;25.4;21.9;20.1;89.7;7.7;3.9;50.1;null;
2017-07-31;14;null;70.2;70.2;90.5;8.7;null;366.6;951.3;23.1;20.2;18.6;90.3;7.8;4.9;43.1;null;
2017-08-31;14;null;76.2;75.6;207.7;7.1;null;64.9;950.4;25;20.9;18.6;86.8;6.2;4.1;52.1;null;
2017-09-30;14;null;76.7;76.5;194;7.1;null;74.8;950.5;26;21;18.5;82.5;7.9;5;53.6;null;
2017-10-31;14;null;91.2;86.3;207;7.3;null;68.4;948.9;27.3;22.1;19.6;82.5;7.1;4.7;53.1;null;
2017-11-30;14;null;100.7;48.6;233.4;6.9;null;6;947.4;28.9;23.2;20.4;78.7;7.2;4.1;57;null;
