Nome: CRUZEIRO DO SUL
Codigo Estacao: 82704
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 214.19
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;57.9;126.1;126.1;94.4;7.5;17;248;1006.1;986.8;30.8;25.4;22.4;87.5;7;.5;25.7;
2012-02-29;0;39.4;109.3;109.3;77.3;8.2;20;247.6;1005.9;986.6;29.8;24.8;21.8;88.4;9;.3;22.9;
2012-03-31;0;48;121;121;92.4;7.9;22;401.5;1006.8;987.6;31.3;25.2;22.1;87.6;7;.3;27.1;
2012-04-30;0;46.5;125.5;125.5;98.4;7.8;22;222.4;1006.7;987.4;31.8;25.9;22.7;87.1;5;.3;27;
2012-05-31;0;60.1;121.5;121.5;206.5;6.1;13;119.1;1007.7;988.4;31.9;25.7;21.5;85.4;3;.3;31.7;
2012-06-30;0;59.3;108.2;107.8;158.6;5.5;11;101.4;1007.9;989.6;31.2;25;21.2;85.7;4;.4;33.3;
2012-07-31;0;78.3;107.9;66.3;219.5;4.7;3;8.7;1009.3;989.8;31.9;24.7;19.8;81.4;5;.5;33.7;
2012-08-31;0;107.3;132;34.4;236.7;3.7;2;10.5;1009;989.6;34.3;26.2;20.6;75.4;3;.3;33.8;
2012-09-30;0;85.6;131.6;96.8;196.2;5.9;10;93.6;1008.5;989.2;34.2;26.3;21.6;80.9;5;.5;31.3;
2012-10-31;0;77.8;143.6;65.6;146.9;6.7;12;62.6;1006.1;986.8;33.3;26.6;22.4;82.7;5;.5;29.9;
2012-11-30;0;68;146.1;113.6;142.5;6.7;15;112.7;1005.2;986;33.1;27;23.2;83;5;.3;29.7;
2012-12-31;0;34.8;126.5;126.5;80.5;8.3;19;209.7;1005.3;986.1;30.8;25.4;22.3;88.7;5;.3;24.6;
2013-01-31;0;49.7;134.2;134.2;110.3;7.5;17;337.6;1007;987.7;31.2;26;22.7;86.5;5;.3;26.7;
2013-02-28;0;45.4;121.2;121.2;81.6;8.1;18;336.4;1006.1;986.8;31.3;26;22.8;86.4;3;.2;28.6;
2013-03-31;0;48.5;130.5;130.5;87.5;7.9;22;370.7;1006.7;987.3;31.6;25.9;22.9;87.2;3;.2;27.3;
2013-04-30;0;72;130.2;130.2;157.4;5.7;12;319.6;1007.4;988.1;32.8;26.4;22.5;83.1;3;.2;31.6;
2013-05-31;0;50.1;112.7;112.7;121.3;7.3;6;185.2;1008;988.8;31.4;25.8;22.5;86.5;3;.4;25.2;
2013-06-30;0;48.7;119.6;119.6;106.7;7.4;null;174.4;1008.3;989;31.7;25.7;22.3;85.9;3;.4;29.4;
2013-07-31;0;70.2;107.9;104.4;190.4;5.7;null;80.2;1010;990.7;31.5;24.6;19.9;81.6;5;.6;29.9;
2013-08-31;0;83.4;116.5;100.6;217.6;4.7;null;74.7;1009.1;989.5;31.8;25;19.6;78.4;4;.8;32.6;
2013-09-30;0;77.8;130;130;189;5.4;null;171.4;1007.8;988.4;33.1;26.2;21.3;79.2;4;.7;33.7;
2013-10-31;0;73.7;140.1;122.1;124.6;7;null;81.7;1006.5;987.3;32.8;26.5;22.9;82.7;5;.7;26;
2013-11-30;0;54.7;131;131;116.9;7.8;null;196.1;1005.5;986;31.3;25.9;22.5;85.4;3;.5;26.2;
2013-12-31;0;56.3;144.9;144.9;134.5;7.8;null;252.2;1005.9;986.7;31.8;26.4;22.9;83.7;5;1;27.3;
2014-01-31;0;42.7;124.5;124.5;74.9;8.6;null;394;1006.9;987.4;30.3;25.4;22.6;88.8;4;.6;25.4;
2014-02-28;0;42;115.4;115.4;74.4;8.2;null;326.7;1006.2;986.5;31.1;25.6;22.6;87.6;5;.6;25.8;
2014-03-31;0;49.3;132.1;132.1;97.2;7.7;null;246.1;1006.8;987.3;31;25.9;22.7;86.9;3;.5;27.3;
2014-04-30;0;51.2;null;null;116.7;7.9;null;274.8;1007.6;988.2;32.2;26.2;22.8;86;3;.5;29.9;
