Nome: LABREA
Codigo Estacao: 82723
Latitude: -7.26138888
Longitude: -64.78999999
Altitude: 62.23
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;45.3;136.3;136.3;96.8;7.8;17;385.1;1011.9;1003.8;31.6;26.3;23.1;88.4;4;1.4;54.5;
2012-02-29;36;32.4;121.1;121.1;73.1;8;18;303.2;1011.5;1003.5;31;25.9;22.6;88.1;5;1.4;52.4;
2012-03-31;0;36.3;129.2;129.2;85.5;7.6;21;310.8;1012.5;1004.4;31.7;26;22.7;89.4;5;1.3;54.3;
2012-04-30;36;32.6;129.4;129.4;114.4;6.7;18;158.1;1011.9;1003.8;32.3;26.4;23.2;88.8;5;1.3;55.1;
2012-05-31;0;47.2;133.5;132.7;142.2;6.3;8;120.2;1013;1004.8;32.8;26.4;22.6;88.1;6;1.4;56.2;
2012-06-30;0;55.2;118.6;62.7;202.3;4.8;9;27.2;1014.2;1006;33.1;26.1;21.5;86.9;5;1.3;59.2;
2012-07-31;0;83.6;118.1;39;228.5;4;0;0;1014;1005.9;33.5;25.7;20.2;82.8;4;1.4;62.4;
2012-08-31;0;157.3;143.5;8.8;239.4;4;1;.8;1013.7;1005.5;35.6;27;20.3;72.2;5;1.6;63.4;
2012-09-30;0;135;148.6;66.9;209.6;5.3;9;69.6;1013.4;1005.2;35.4;27.9;23;77;6;1.6;56.7;
2012-10-31;14;81;146.6;99.5;null;6.7;10;99.1;1011.5;1003.3;33.4;26.9;23.2;86.2;3;1.4;57.5;
2012-11-30;36;64.9;149.4;117;null;6.8;13;124.6;1010.4;1002.3;33.4;27.3;23.8;85.6;5;1.5;56.9;
2012-12-31;36;40;144;144;null;7.1;17;234.2;1010.5;1002.5;32.4;26.6;23;87.3;6;1.3;55.5;
2013-01-31;32;37.1;145.4;145.4;null;7.2;21;450.4;1012;1003.8;31.8;26.7;23.6;88.1;4;1.4;52.5;
2013-02-28;5;39.8;124.8;124.8;null;7.7;19;434.2;1011.6;1003.3;31.3;26.3;23.3;89.6;6;1.3;54.9;
2013-03-31;14;46.1;141.5;141.5;null;7.5;3;245.1;1012;1003.9;32.1;26.6;23.6;89.4;5;1.5;55.7;
2013-04-30;14;34.4;136.3;136.3;null;7;null;202;1012.6;1004.4;32.6;26.8;23.7;89.5;4.8;1.5;56.8;
2013-05-31;36;36.7;135.3;135.1;null;6.2;null;128.2;1013.1;1004.9;32.6;26.7;23.1;86.5;4;1.6;56.9;
2013-06-30;36;null;133.3;100.1;null;4.8;null;null;1013.2;1005;33.1;26.8;22.8;85.5;4;1.5;60.3;
2013-07-31;32;62;119.7;109.9;null;3.8;null;104.4;1014.7;1006.5;32.4;25.6;21.2;null;5;1.5;57.5;
2013-08-31;0;87.3;127.7;37.9;null;3.9;null;15.4;1013.7;1005.4;33.7;26.3;20.7;84.4;6;1.6;59.9;
2013-09-30;36;75.5;135.9;101;null;5.9;null;97.6;1013;1004.8;33.8;26.7;22.1;87.3;5;1.6;56.7;
2013-10-31;9;51.8;142.8;142.4;null;7.1;null;143.8;1012.3;1004.1;33.3;26.7;23;87.4;6;1.7;56.8;
2013-11-30;14;60.9;136.6;136.6;null;7.2;null;217.3;1010.4;1002.3;32.3;26.5;23;88.3;5;1.4;56.5;
2013-12-31;5;56.6;149.6;149.6;null;7.2;null;178.5;1011.1;1002.9;32.8;26.8;23.6;89.1;5;1.4;54.9;
2014-01-31;5;44.9;138.1;138.1;null;7.2;null;304.1;1011.7;1003.7;32;26.4;23.1;89.3;4;1.4;56.3;
2014-02-28;5;35.3;120;120;null;7;null;247.4;1011.2;1003.2;31.9;26.2;23;89.7;4;1.5;55.8;
2014-03-31;5;37.7;156.6;156.6;null;7.3;null;440.2;1011.8;1003.7;32.3;26.5;23.2;89;5;1.6;55.6;
2014-04-30;9;42.7;132.9;132.9;null;6.6;null;388.4;1012.8;1004.6;32.9;26.7;23;88.9;5;1.5;56.7;
2014-05-31;9;47.4;103.5;101.4;null;7.2;null;81.7;1013;1004.7;null;null;23.1;89.4;5;1.8;54.5;
2014-06-30;0;58.4;131.6;83.5;null;4.5;null;34;1013.6;1005;33.7;26.7;22.1;83.4;5;1.6;59.4;
2014-07-31;0;null;116.5;68.3;null;4.9;null;54.4;1015.3;1007.1;31.8;25.6;20.9;null;4.1;1.7;95.7;
2014-08-31;18;null;132.8;37.6;null;4.8;null;27.1;1013.9;1005.7;34.1;26.5;21.5;84;4.1;1.6;97.1;
2014-09-30;5;null;156.1;82.8;null;5.5;null;77;null;1004.2;35.6;27.8;22.8;79.1;7.2;1.8;97;
2014-10-31;18;null;139.2;120.9;null;7;null;120.5;null;null;33.3;26.5;22.7;84.2;6.2;2;96.8;
2014-11-30;18;null;149.4;149.4;null;7.1;null;191.3;null;null;32.2;27.2;23.5;85.1;3.1;1.5;96.7;
2014-12-31;9;null;149.6;149.6;null;7.6;null;153.2;null;null;31.9;26.9;23.2;85.2;5.1;1.7;96.7;
2015-01-31;9;null;131;131;null;7.9;null;274.3;null;null;31;25.8;22.8;86.8;5.1;1.8;96.6;
2015-02-28;18;null;118.5;118.5;null;7.3;null;247.8;null;null;31.2;25.9;23;88.1;5.1;1.8;96.6;
2015-03-31;5;null;134.4;134.4;null;7.6;null;289.2;null;null;30.9;26.3;23.4;89.5;5.1;1.8;96.6;
2015-04-30;5;null;132.9;132.9;null;6.8;null;159.6;null;null;31.8;26.5;23.3;89.1;6.2;1.6;96.6;
2015-05-31;0;null;133.6;133.6;null;6.4;null;158.7;null;null;32;26.6;23.1;87.9;6.2;1.5;96.8;
2015-06-30;0;null;123.4;87.4;null;4.8;null;22.6;null;null;32.4;26.2;21.8;86.4;4.1;1.5;97;
2015-07-31;0;null;131.2;48.5;null;3.3;null;13.4;null;null;33.3;26.5;21.3;null;4.1;1.1;96.8;
2015-08-31;0;null;160.5;72.7;null;3.8;null;49.2;null;null;35.8;27.9;22.4;78.4;5.1;1.5;97.2;
2015-09-30;36;null;165.9;36.2;null;5.6;null;33.9;null;null;36.1;28.4;23.3;77.8;4.1;1.7;97;
2015-10-31;18;null;172.2;112.8;null;5;null;112.2;null;null;35.6;28.3;23.4;86.6;6.2;1.9;96.5;
2015-11-30;18;null;171.1;137;null;5.5;null;136.8;null;null;35.4;28.3;23.9;84.7;3.1;1.8;96.5;
2015-12-31;14;null;165.4;165.4;null;7.3;null;168.4;null;null;34.2;27.9;23.6;85.5;5.1;1.9;96.5;
2016-01-31;36;null;138.1;138.1;null;7.7;null;291.7;null;null;33.3;27.6;23.9;86.1;5.1;1.7;96.5;
2016-02-29;14;null;110.2;110.2;null;6.9;null;304.2;null;null;null;28.3;23.8;85.6;4.1;1.7;96.7;
2016-03-31;5;null;122.5;122.5;null;7.4;null;295.2;null;null;null;null;24;89;5.1;1.6;96.6;
2016-04-30;18;null;136.3;136.3;null;5.8;null;254.4;null;null;32.3;26.9;23.4;90.7;5.1;1.9;96.4;
2016-05-31;14;null;138.8;132.1;null;5.5;null;99.8;null;null;32.9;26.9;23.2;90.8;3.1;1.9;96.5;
2016-06-30;0;null;121.8;73.1;null;4;null;25.8;null;null;32.4;26.2;22.2;89.7;5.1;1.8;96.8;
2016-07-31;0;null;null;null;null;1.5;null;9.8;null;null;34.9;26.9;21.1;86.8;3.1;1;96.9;
2016-08-31;0;null;149.1;43.8;null;3.3;null;5.7;null;null;35.3;27.3;21.8;80.5;5.1;1.5;96.9;
2016-09-30;0;null;139.5;65.5;null;6.2;null;58.9;null;null;34.2;27;22.2;87.5;6.2;1.5;96.5;
2016-10-31;36;null;164.1;143.4;null;6.8;null;150.8;null;null;34.3;27.8;23.6;85.5;6.2;2;96.7;
2016-11-30;36;null;153.2;95.6;null;7.3;null;93.7;null;null;33.5;27.4;23.6;87.5;7.2;2;96.7;
2016-12-31;36;null;145.9;145.9;null;7.7;null;225.9;null;null;32.3;26.6;23.4;89.8;6.2;2;96.6;
2017-01-31;36;null;132.7;132.7;null;7.6;null;387.6;null;null;31.2;26.1;23;91.1;5.1;1.6;55.4;
2017-02-28;32;null;126.5;126.5;null;8.1;null;328;null;null;32;26.6;23.2;89.1;4.1;1.7;96;
2017-03-31;32;null;137.9;137.9;null;8;null;229.6;null;null;32.3;26.6;23.4;89.7;6.2;2;96.6;
2017-04-30;36;null;131.2;131.2;null;7;null;154.2;null;null;32.3;26.7;23.3;90.2;20.1;1.8;96.7;
2017-05-31;27;null;109.4;109.4;null;6.5;null;244.7;null;null;null;null;23.3;90.4;5.1;1.7;96.7;
2017-06-30;0;null;99.4;88.8;null;4.9;null;49.4;null;null;null;null;21.7;87.2;5.1;1.8;96.7;
2017-07-31;18;null;101.6;38.7;null;2.3;null;0;null;null;null;null;19;85.9;4.1;1.4;96.9;
2017-08-31;32;null;122.8;85.9;null;4.2;null;78;null;null;null;null;22;80.1;6.2;2;97;
2017-09-30;0;null;124.1;71.3;null;6.6;null;65;null;null;null;null;23;81.2;8.7;1.7;96.7;
2017-10-31;32;null;120.4;104;null;7.3;null;102.7;null;null;null;null;23;84.3;6.2;2.1;96.7;
2017-11-30;32;null;119.8;119.8;null;8;null;230.9;null;null;null;null;23.6;87.9;5.1;1.9;96.7;
2017-12-31;36;null;116.4;116.4;null;8.5;null;262.6;null;null;null;null;23.1;93.2;5.1;1.6;96.5;
2018-01-31;32;null;136.3;136.3;null;7.6;null;198.5;null;null;null;null;22.9;90.3;5.1;1.7;96.7;
2018-02-28;32;null;121.6;121.6;null;7.8;null;536;null;null;null;null;22.8;91.1;5.1;1.8;96.6;
2018-03-31;36;null;114.5;114.5;null;7.9;null;163.8;null;null;null;null;22.9;87.8;7.2;2.1;96.6;
2018-04-30;32;null;null;null;null;8;null;236.1;null;null;null;null;22.8;89.5;5.1;2;96.6;
2018-05-31;36;null;110.9;105.4;null;6.5;null;75.8;null;null;null;null;22.6;86.7;5.1;1.9;96.6;
2018-06-30;23;null;87.5;44.3;null;5.3;null;4.7;null;null;null;null;20.1;84.5;5.1;1.9;96.9;
2018-07-31;0;null;97.4;24.3;null;2.5;null;3.5;null;null;null;null;20.1;87.4;4.1;1;96.8;
2018-08-31;32;null;105.8;58.4;null;5.5;null;46.8;null;null;null;null;21.8;83.2;5.1;2.1;96.7;
2018-09-30;32;null;119.2;43;null;6.2;null;39.9;null;null;null;null;22.3;77.4;5.1;2.1;96.8;
2018-10-31;32;null;122;54;null;7.6;null;52.4;null;null;null;null;23.4;85.5;7.2;1.9;96.7;
