Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;220;150.6;53.2;206.6;6.3;6;53.2;959.3;33;27.2;22.8;59.6;6.6;2.8;59.1;null;
2012-02-29;14;170.5;135.9;76.1;201.1;6.5;5;76.1;959.5;31.9;26.3;22;64;5.6;2.7;57.9;null;
2012-03-31;9;217;146.2;21.2;255.4;5.2;5;14.9;959.7;33.3;27.1;22.4;58.4;5.1;2.7;59.4;null;
2012-04-30;14;231;140.9;3.6;268.8;4.3;2;3.6;959.8;34.1;27.6;22.3;53.3;5.6;2.6;60.3;null;
2012-05-31;14;230.5;140.8;3.4;257.3;4.6;2;3.4;961.5;32.5;26.7;21.8;53.4;5.8;3;60;null;
2012-06-30;9;223.9;132.5;0;250.4;3.9;0;0;962.9;31.5;25.8;21.2;53.2;6.6;3.3;60;null;
2012-07-31;14;210.7;132.7;12.6;221.7;5.2;7;12.6;963.6;29.9;24.4;19.8;56;6.3;4.1;58.6;null;
2012-08-31;14;248;133.1;2.2;239.9;4.2;1;2.2;964.8;30.3;24.4;19.5;51.3;7.3;4.4;58.5;null;
2012-09-30;9;309.8;137.1;1.4;276;2.8;1;1.4;963.5;32.6;26.3;20.4;43.1;7.5;3.9;60;null;
2012-10-31;9;293.8;148.3;.5;293.5;3.4;1;.5;960.5;33.7;27.6;21.3;43.7;6.6;3.7;60;null;
2012-11-30;9;263.6;152;25.3;234.7;5.1;5;25.3;958.5;35.1;29.3;24.3;47.6;7.5;2.6;58.7;null;
2012-12-31;9;266.8;158.1;6.7;258.3;5.7;2;6.7;958.5;34.5;29.2;24.3;47.4;5;2.3;60;null;
2013-01-31;9;206.1;152.5;141.3;202.7;7;11;141.3;959.7;33;27.7;23.6;59.3;9.3;2.7;59.4;null;
2013-02-28;9;249;140;1.1;229.1;5.5;1;1.1;959;34.2;28.7;24;48.5;5.5;2.5;60;null;
2013-03-31;9;240.5;152.2;49.9;239.9;5.6;null;49.9;959.5;34.4;28.8;24.2;54.8;5.5;2.7;60;null;
2013-04-30;9;162.8;138.5;89;189.8;6.7;null;89;960.5;32;26.9;23.2;64.3;5.5;2.7;59.4;null;
2013-05-31;14;189.8;140.4;13.3;215.8;5.6;null;13.3;961.5;32;26.7;22.3;56.9;6.3;3;59.6;null;
2013-06-30;9;212.3;133.8;1.5;225.3;4.8;null;1.5;962.3;31.6;26.2;22;54.1;6.6;3.3;60;null;
2013-07-31;9;197.8;133.4;30.5;205.2;4.9;null;30.5;963.7;29.9;24.6;20.4;57.7;6.3;3.6;59.1;null;
2013-08-31;9;243.5;136.7;.3;266.1;3.8;null;.3;963;30.8;25.3;20.5;51.9;6.6;4;59;null;
2013-09-30;14;290.7;139.2;0;267.1;3.3;null;0;962.2;33;26.9;21.6;47.3;7.5;3.8;60;null;
2013-10-31;9;304.4;150.1;.4;280.6;4.1;null;.4;960.7;34.2;28.2;22.9;46.2;6.8;3.4;60;null;
2013-11-30;9;285.2;148.9;2.7;209.3;6;null;2.7;958.8;33.7;28.5;23.7;49.4;6.3;3.1;60.4;null;
2013-12-31;5;228.8;152.9;97.4;221.6;5.7;null;97.4;959.1;33.5;27.9;23.6;58;5.5;2.6;59.5;null;
2014-01-31;9;258.8;152.8;29.2;266.9;5.5;null;29.2;960.1;33.2;27.8;23.5;55.6;5.5;2.9;60;null;
2014-02-28;9;176.4;132.4;132.4;162.4;6.7;null;135.9;959.5;31.3;26.6;22.8;65.5;5.8;2.8;58.6;null;
2014-03-31;5;120.3;141.7;108.7;198;6.1;null;107.7;960.1;31.1;26;22.6;71.5;5.1;2.3;58.6;null;
2014-04-30;14;112.6;134.5;79.8;181.9;6.5;null;78.7;960.7;31.1;25.8;22.1;71.6;5;2.3;59;null;
2014-05-31;9;126.6;133.8;26.5;196.6;6.3;null;25.6;961.6;30;24.9;21.1;68.9;5.8;2.7;58.2;null;
2014-06-30;14;184.5;129.5;6;190;5.6;null;5.7;962.9;30.2;25;20.8;59.2;5.6;3.2;59.1;null;
2014-07-31;14;214.3;133.7;10.4;229.1;5.1;null;7.3;964.9;30.1;24.7;20.3;55.4;7.3;3.9;60;null;
2014-08-31;9;245.6;135.2;.4;273.4;3.8;null;.4;964.2;30.6;25;20.1;50.7;8.1;3.9;59.6;null;
2014-09-30;9;285;139.9;.7;266.8;3.9;null;.7;962.6;33.1;27.1;21.5;45.4;7.5;3.6;60;null;
2014-10-31;9;298.5;148.2;11.1;252.7;5.1;null;11.1;961.4;33.3;27.6;22.4;46.4;6.3;3.7;60;null;
2014-11-30;9;231.7;147.4;23.3;244.4;5.3;null;23.3;959.6;33.6;28.1;23.4;51.5;6.1;3;59.1;null;
2014-12-31;9;222.6;150.6;99.2;248.8;5.5;null;99.2;960.2;32.8;27.3;22.9;57.3;5.8;2.7;59.4;null;
2015-01-31;9;243.4;153.9;8.1;267.4;5.6;null;8.1;960.7;33.9;28.1;23.4;50;6.1;2.8;59.6;null;
2015-02-28;14;194.7;135.8;99;186.5;6.8;null;99;960.2;33.2;27.7;23.4;58;5.5;2.6;59.5;null;
2015-03-31;9;138.9;143.9;143.9;229;6.5;null;214.2;960.2;31.7;26.4;22.8;69.7;5.4;2.3;59;null;
2015-04-30;9;116.9;135.2;94.4;259;4.8;null;56;960.5;31.7;26;22;70;4.5;2.1;60;null;
2015-05-31;14;124.7;136.4;121.3;229.5;6.3;null;115.2;961.9;30.9;25.5;21.8;70.5;5;2.2;59.6;null;
2015-06-30;9;163.5;128.8;24.2;189.3;5.9;null;6;963.9;30.1;24.8;21;63.8;6.6;3.3;58.9;null;
2015-07-31;9;187.4;133.3;28;194.1;5.9;null;23;964.1;30;24.7;20.6;59.8;7;3.8;59.1;null;
2015-08-31;9;256.1;136.3;3;280.6;3.5;null;1.1;963.6;31.4;25.3;20.3;47.7;6.3;3.5;59.9;null;
2015-09-30;14;285;141.7;.6;299.3;2.6;null;.1;962;34.1;27.6;21.6;43.9;5.5;3;60;null;
2015-10-31;14;328.8;152;.4;308.8;2.8;null;.3;961.2;34.7;28.7;23;42.2;5.6;2.7;60;null;
2015-11-30;9;318.6;156;0;316.3;3.3;null;0;958.9;36.6;30.4;24.4;37.2;5.4;2.4;60;null;
2015-12-31;9;333.6;159.9;2.7;290;4.9;null;2.7;960.6;35.6;29.6;24.6;42.9;5.5;3;60;null;
2016-01-31;9;143.8;149.3;110;160;7.4;null;110.2;960.5;31.9;26.9;23.3;68.3;5.5;2.1;56.7;null;
2016-02-29;14;178.8;138.9;10.6;236.1;5.8;null;10.6;961;32.8;27;22.3;59.1;5.5;2.9;59.1;null;
2016-03-31;14;228.6;152.3;39.6;236.4;5.9;null;39.6;960.7;34.3;28.7;24.4;56.9;5.5;2.7;59.6;null;
2016-04-30;14;224.9;142.8;9.8;240.7;5.8;null;9.8;960.5;33.7;28.2;23.8;53.7;5.5;3.1;60;null;
2016-05-31;14;208.6;141.7;53.4;236.3;5.1;null;53.4;962.6;32.2;27.1;23;57.2;5.6;2.9;59.1;null;
2016-06-30;14;156.8;128.8;16.5;228.1;4.6;null;16.5;964.2;30.2;24.8;20.5;62.9;5.5;3.4;57.6;null;
2016-07-31;14;216.9;133.6;2.8;268.7;3.5;null;2.8;964.1;30.4;24.7;19.9;54.1;6.5;3.6;60;null;
2016-08-31;14;255.4;138.1;23.6;306.7;2.4;null;.6;963.5;31.9;25.8;20.3;49.4;7.1;3.2;60;null;
2016-09-30;14;281;142.1;.5;272.2;3.7;null;.5;962.4;33.6;27.7;22.2;47.9;5.5;3.1;60;null;
2016-10-31;9;321.3;153.3;0;306.4;3.4;null;0;960.1;35;28.9;23.3;44.1;5.6;2.9;60;null;
2016-11-30;9;287.1;153.1;10.5;277.3;4.7;null;10.5;959.1;35.4;29.6;24.2;44.1;8;3;60;null;
2016-12-31;14;266.6;156.5;41.2;253;5.9;null;41.2;959.3;34.5;28.8;23.8;50.7;5.5;2.7;59.1;null;
2017-01-31;9;260.4;156.5;32.7;238.5;6.1;null;32.7;959.5;34.4;28.8;24;50.8;5.5;2.5;60;null;
2017-02-28;14;165;135.4;126;173.6;7.3;null;126;959.5;32.9;27.5;23.3;62.4;5.5;2.6;59.4;null;
2017-03-31;5;189.5;147.6;46;213.3;6.4;null;46;959.6;33.2;27.5;23.5;62.5;5.5;2.6;60;null;
2017-04-30;14;158.7;137.6;101.3;231.5;6.3;null;101.3;960.4;32.1;26.7;22.8;66;5.5;3;59.6;null;
2017-05-31;9;192.5;140.2;9.6;184.5;6.5;null;9.6;961.8;31.8;26.7;22.8;60.9;5.7;3.3;59.6;null;
2017-06-30;14;156;127.7;30.6;169.9;6.8;null;30.6;963.4;29.3;24.5;20.7;67.2;8;3.8;56.9;null;
2017-07-31;14;187;126.6;20.6;162.1;7.4;null;20.6;966;27.7;22.8;18.3;63.7;7.9;4.7;59.1;null;
2017-08-31;9;222;135.8;1.7;252.2;3.7;null;1.7;963.6;31.2;25;19.4;54.1;6.3;3.9;59.6;null;
