Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;38.4;119.3;119.3;92.1;8.5;24;348.8;1013.9;989.8;29.9;25.2;22.7;88.3;3.3;1;68.2;
2012-02-29;0;41.4;113.4;113.4;108.8;8.1;24;287.5;1013.6;989.4;30.5;25.4;22.4;87;7.8;1;66.4;
2012-03-31;0;42.6;129.8;129.8;155.9;7.9;25;253.9;1013.9;989.8;31.5;26;23;87.1;3.6;1;69.2;
2012-04-30;0;49.6;143.1;143.1;192.9;6.5;15;172.3;1013.3;989.4;32.5;27.1;23.4;84.6;5;.8;69.7;
2012-05-31;0;77.3;151.6;94;247.8;4.9;8;21.2;1014.4;990.5;33.4;27.4;23;78.5;3;.9;70;
2012-06-30;0;91.4;147.5;24.1;261.5;3.5;6;3.4;1015.6;991.7;34.3;27.5;22.1;70.6;3.3;1;70;
2012-07-31;9;139.9;158.9;8.1;303.9;2.3;1;3;1015.2;991.3;35.8;27.8;20.6;58.6;5;1.5;70;
2012-08-31;9;182.8;178.1;3.6;317.9;2.2;2;2.5;1015.9;992;36.7;28.7;21.4;47.7;7;2.2;68.7;
2012-09-30;0;166.8;208;13.5;250.5;3.5;4;13.3;1014.6;990.8;37.6;30.1;23.7;52.6;6.6;1.4;66.5;
2012-10-31;0;118.9;191.3;127;210.4;5.6;10;125;1012.4;988.7;34.8;28.8;24.4;68;5;1.6;63.2;
