Nome: PICOS
Codigo Estacao: 82780
Latitude: -7.08083332
Longitude: -41.43499999
Altitude: 210.07
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2022-10-03
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;273.7;200;49.5;201.9;5;9;49.5;986.9;35.1;29;23.8;51.7;4.5;1.6;52.3;null;
2012-02-29;5;189;156.5;75.1;184;5;6;75.1;987.1;33.6;27.8;22.7;54.7;7.4;1.8;53.1;null;
2012-03-31;5;251.8;176.8;47.4;221.9;4.2;8;47.4;987.3;34.7;28.3;23;53;3.8;1.6;55.7;null;
2012-04-30;5;293.1;193;12.7;266.6;3.1;6;12.7;986.9;36.5;29.3;22.5;45.2;4;1.7;57.9;null;
2012-05-31;14;316.2;207.5;7.1;295;2.9;3;7.1;988.4;36;29.6;22.9;41.4;5.1;2.3;59.1;null;
2012-06-30;14;308;179;1.8;280.4;2;2;1.8;989.7;35.3;28.9;22.1;40.7;4.6;2.3;62.5;null;
2012-07-31;14;389.2;180.5;0;302.6;1.2;0;0;991.5;34.7;28.7;22.1;44;5.3;2.6;60.6;null;
2012-08-31;14;376.7;168;0;327.9;1.2;0;0;991.2;34.5;28.1;21.6;37.6;5.5;3;66.6;null;
2012-09-30;14;383.2;211.3;0;302.9;1.8;0;0;990;36.5;29.9;22.9;33.6;5.8;2.9;63.4;null;
2012-10-31;14;385.6;269.2;.6;337;2.2;1;.6;987;37.7;31.4;24.9;32.3;4.3;2.6;60.9;null;
2012-11-30;5;314.1;247.9;103.9;248.7;4.5;8;103.9;986;37.1;31;25.2;41.5;4.1;1.8;52.1;null;
2012-12-31;5;264.7;229.4;13.8;243.9;4.6;6;13.8;986.8;36.1;30.1;24.4;47.7;3.6;1.6;44.8;null;
2013-01-31;5;216.9;191.9;73.9;184.7;5.2;11;73.9;987.4;34.5;28.7;23.9;53.5;4.6;1.8;49.5;null;
2013-02-28;14;259.9;204.1;8.8;209.7;3.8;5;8.8;986.3;36.3;30;23.9;43.3;4.1;1.7;56.9;null;
2013-03-31;5;232.1;208.5;69.9;195.6;4.3;10;69.9;987.6;35.3;29.5;24.5;53.8;5.6;1.6;48.9;null;
2013-04-30;5;167.8;161.4;68.5;204.7;4.1;8;68.5;989.4;33.5;28;23.1;60.9;5.3;1.3;46;null;
2013-05-31;5;246.5;178.8;67;254.6;3.3;4;67;989.9;34.5;28.7;22.8;47.2;4;1.7;49.9;null;
2013-06-30;14;271;171.7;8.6;265.3;2.6;2;8.6;990.6;34.7;28.7;22.3;42.3;3.8;1.8;51.6;null;
2013-07-31;14;312.7;170.7;1;264.6;2.4;1;1;991.7;34.3;28.3;21.9;39.8;4.3;1.9;54.6;null;
2013-08-31;14;359.1;195.5;0;319.8;.6;null;0;990.9;35.8;29.3;22.8;38.3;5;2.2;63.1;null;
2013-09-30;14;381.1;234.4;0;324.8;1;null;0;990.1;37.4;30.8;24.3;37.3;5;2.4;62.1;null;
2013-10-31;5;418.5;269.1;1.3;299.9;2.5;3;1.3;989;37.6;31.5;25.7;40.1;6.6;2.2;55.5;null;
2013-11-30;5;364.9;251;16.2;224.1;4;4;16.2;987.2;36.5;31;25.4;39.8;4.6;1.9;44.6;null;
2013-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
