Nome: BARBALHA
Codigo Estacao: 82784
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;119.7;134;51.6;212.3;7;8;38.6;1010.5;965.1;33.4;25.9;20.5;78.5;4;1.3;53.1;
2012-02-29;0;127.4;122.3;122.3;214.3;6.2;15;147.4;1011.2;965.8;33;25.9;20.4;84;3.8;1;46.4;
2012-03-31;0;99.5;117.8;117.8;266.6;4.6;17;221.9;1011.5;966.2;31.4;25.1;20.3;86.8;3.1;.9;48.9;
2012-04-30;0;126.8;116.3;99.9;263;4.4;9;53;1010.6;965.4;33;25.4;20.1;80.5;3.1;.9;53.3;
2012-05-31;9;175;126.2;43;248.6;4.9;4;5.8;1011.9;966.8;33.8;26;20.5;68.6;5.8;1.7;53.3;
2012-06-30;9;175.4;116.7;28.1;235;4.2;5;18.1;1013.5;968.2;32.9;25.6;19.7;65.6;5;1.8;53.3;
2012-07-31;14;223.1;121;4.2;255.7;4;0;0;1013.6;968.4;32.6;25.6;19.4;59.3;6.6;2.5;53.3;
2012-08-31;14;254.7;122.5;1.3;293.5;2.6;0;0;1014.7;969.4;33;25.6;19.3;52.8;6.8;3.1;52.8;
2012-09-30;14;265.9;143.2;.4;311.1;2.5;0;0;1013.4;968.4;34.8;27;19.6;49.9;6.5;2.5;53.8;
2012-10-31;9;264.4;181.2;6.2;303.5;4.1;2;6.1;1010.5;965.7;35.5;28.1;21.5;54.6;5.6;2.4;53.3;
2012-11-30;9;219.9;177.9;25.6;246.3;5.6;2;25.6;1008.9;964.3;35.8;28.6;22.7;61.5;4;1.4;53.3;
2012-12-31;0;147.2;170.8;59.7;240.3;6.3;7;59.7;1008.9;964.1;35.2;27.9;22.7;69.6;3.8;1.1;53.3;
2013-01-31;0;158.8;155;155;205;6.9;13;168.3;1010.1;965.2;34.1;27.1;22;74;4.1;1.3;54;
2013-02-28;0;114.1;131.9;121;247.4;4.7;10;119.4;1010.6;965.6;33.4;26.7;21.8;79.1;3.3;1.1;45.5;
2013-03-31;0;117.8;142.1;142.1;232.8;6;null;319.1;1010.2;965.2;33.5;26.6;21.8;79.8;5;1;52.9;
2013-04-30;0;78.5;112;112;217;5.8;null;170;1012.2;966.8;30.8;25.1;21;86.9;3.8;1.1;48.3;
2013-05-31;0;101.4;111.2;111.2;234.1;5;null;112.4;1012.2;966.9;31.2;24.9;20.3;81.5;4.1;1.3;53.3;
2013-06-30;14;111.5;100;100;229;4.9;null;157.3;1013.1;967.7;30.9;24.4;19.7;77.7;4.1;1.4;53.1;
2013-07-31;0;143;99.6;69.2;231.1;4.3;null;10.1;1014.4;968.7;30.5;24;18.9;68.2;4;1;53.9;
2013-08-31;0;180.9;122.5;28.9;281.8;2.9;null;0;1013.9;968.5;32.8;25.6;19.2;63.2;3.3;.5;47.8;
2013-09-30;0;231.1;138.1;9;299.7;3.2;null;0;1012.4;967.5;34.9;26.8;20;52.3;5.5;1.1;51;
2013-10-31;14;235.7;163.4;20.7;294.9;5;null;18.4;1010.8;966;35.4;27.7;21.3;49.4;4.1;1;53.3;
2013-11-30;0;195.6;153;48.8;214;6.3;null;48.3;1009.1;964.3;34.3;27.3;21.3;57.5;3;.4;54.2;
2013-12-31;0;162;148.2;55;220.3;6.1;null;55.1;1009.8;964.8;33.8;26.7;21.3;63;3.3;.4;53.3;
2014-01-31;0;145.8;142.5;56.9;257.4;5.5;null;57.2;1010.6;965.5;33.5;26.4;21.1;64.5;4.1;.5;53.9;
2014-02-28;0;86.5;112.3;112.3;176.9;5.3;null;240.1;1010.9;965.6;32.1;25.8;21.2;82.2;1.6;.2;43.8;
2014-03-31;0;56.3;116.3;116.3;203.2;5.8;null;464.5;1011;965.8;31.3;25.1;20.8;82.6;1.6;.2;53;
2014-04-30;0;72.4;110.6;110.6;197;6.2;null;200.8;1012.2;966.9;30.9;25;20.9;86.5;3.4;.3;49.5;
2014-05-31;0;104.5;106.9;95.6;232.3;5.5;null;55.2;1012.1;966.8;30.7;24.6;20;81.9;3.4;.6;52.8;
2014-06-30;14;134.9;100;39.5;234.7;4.1;null;2.3;1013.6;968.1;31;24.4;19.3;75.1;5.5;1.5;53.3;
2014-07-31;14;178.9;105;32.4;242.2;4.2;null;19.5;1015.4;969.9;31.7;24.5;18.9;68.5;5.5;1.3;53.9;
2014-08-31;14;257.3;114.9;6.9;283;2.8;null;.4;1014.4;969;32.9;25.2;18.6;61.3;5.5;1.5;53.9;
2014-09-30;0;261.5;138.1;5.2;275.8;4;null;2.9;1012.8;967.7;34.4;26.6;19.7;58.5;5.5;.9;53.9;
2014-10-31;0;250.7;159.6;17.9;278.1;5.8;null;17.3;1011.4;966.7;34.8;27.5;20.8;55.6;5.5;1;53.9;
2014-11-30;0;188.4;151.2;55.8;237.2;5.5;null;55.7;1009.9;965.1;34.3;27.2;21.8;57.4;5.4;.4;53.3;
2014-12-31;0;188.6;150;40.9;242.4;6;null;40.9;1010.7;965.8;33.4;26.8;21.7;61.3;3.3;.3;53.9;
2015-01-31;0;179.9;149.5;149.5;266.8;5.7;null;149.5;1011.1;966.2;34.4;26.8;21.3;61.7;1.6;.1;53.3;
2015-02-28;0;93.7;122.5;122.5;195.9;5.6;null;143;1012.1;966.7;33;26.2;20.9;76.6;1.6;.1;46.8;
2015-03-31;0;81.4;125.6;125.6;243.5;6.3;null;242.7;1011;965.8;31.8;25.5;21.1;78.7;3.3;.3;53;
2015-04-30;0;73.3;114.9;114.9;244.6;4.4;null;239.9;1011.5;966.2;32.5;25.3;20.6;79.1;1.6;.1;53.3;
2015-05-31;0;86;118.5;118.5;244.2;5.2;null;192.2;1012.3;966.9;32.2;25.4;20.7;75.6;3.3;.6;53.9;
