Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;156.6;97.5;41.6;217.5;3.8;9;35.5;893.7;28.5;22.5;17.5;64.5;8.3;3.8;47;null;
2012-02-29;14;148.1;86.4;86.4;214.8;4.8;7;106.5;892.8;27.9;22.1;17.1;61;8.3;3.8;60.1;null;
2012-03-31;14;130.4;93.7;46.1;264.8;4;7;28.5;893.4;28.3;22.4;17.3;58.7;8.3;3.6;60.1;null;
2012-04-30;14;189.5;97.6;46;276;3.4;6;37.7;893.5;28.6;22.7;17.4;54.5;8.3;3.1;60.6;null;
2012-05-31;14;172.1;84;48.4;263.3;4.1;11;45.1;894.7;27.3;21.7;16.8;60.3;10;4;59.8;null;
2012-06-30;14;137.7;69;20.4;224.6;3.4;6;17.6;895.9;25.7;20.3;16;66.3;9.1;4.5;56;null;
2012-07-31;14;134;59.7;33.4;230.4;4.5;8;32.4;896;24.5;18.8;14.4;73.3;9.1;5.4;55.8;null;
2012-08-31;18;157.9;56.8;41.1;269.5;4.3;6;40.6;896.9;24.7;18.4;13.8;69.2;10;5.9;55.6;null;
2012-09-30;14;241.5;75.7;3.4;296.7;2.1;2;2;896.3;27.7;20.8;14.6;55.1;10;4.8;58.9;null;
2012-10-31;14;226.7;91.8;1.8;303.4;2.8;1;1;894;28.9;22.1;15.4;53.4;10;4.6;59.3;null;
2012-11-30;18;223.5;108.4;3.1;279.8;2.8;2;2.8;892.7;30.6;23.9;16.9;49.6;8.3;3;60.2;null;
2012-12-31;18;232.1;112.8;12.9;283.6;4.8;2;12.8;893.2;30.2;24;17.6;null;6.6;3;47.6;null;
2013-01-31;18;195.7;111.3;36.7;207.3;3.6;9;37;894.1;29.6;23.7;18.6;62.5;8.3;3;48.2;null;
2013-02-28;18;218.8;101.2;42.9;256.8;3.5;5;42.9;892.9;30.2;23.9;17.9;53.2;7.5;3.7;60.7;null;
2013-03-31;14;187.7;109.2;103.6;233;5;9;103.6;893.4;29.7;23.8;18.6;58.1;9.1;3;59.3;null;
2013-04-30;18;102.1;84.4;84.4;226.3;5;16;225.9;894;26.9;21.9;18.2;71.8;8.3;3;55.9;null;
2013-05-31;18;71.3;75.3;75.3;234.5;5.5;12;78.5;894.8;25.4;20.7;17.5;79.1;8.3;3.8;58.5;null;
2013-06-30;14;73.4;67.4;64.5;215.5;5;13;42.3;895.7;24.9;20;16.4;null;8.3;4.2;45.9;null;
2013-07-31;14;69.9;59.7;59.7;200.6;5.7;16;112.9;896.2;23.4;18.6;15.4;79.4;8.3;4.7;52.8;null;
2013-08-31;14;111.3;62.8;56.6;258.6;4.6;10;25.3;895.7;24.7;19.1;15;74.3;8.3;5.1;54;null;
2013-09-30;14;189.7;79.9;38.8;290.7;2.8;1;1.4;896.2;27.9;21.2;15.7;null;8.3;5.1;47;null;
2013-10-31;14;202.6;96.7;34.8;286.4;3.4;4;17.7;894.5;29.2;22.5;16.4;57.9;7.5;3.8;60.1;null;
2013-11-30;18;182.8;97;27.5;236.9;4.7;2;19.8;892.8;28.8;22.8;16.9;59.3;6.6;3.2;61.1;null;
2013-12-31;23;168.1;103;98.1;256.9;4.4;7;97.8;893.6;28.8;23;17.4;null;6.6;3.2;45.1;null;
2014-01-31;14;199.8;100.6;65.1;281.4;3.2;null;63.2;894.6;28.8;22.7;17.4;64;7.1;3.6;49.4;null;
2014-02-28;14;104.3;79;79;208.9;5.4;null;150.4;893.1;26.7;21.6;17.4;70.7;7.5;3.6;57.7;null;
2014-03-31;18;78.4;88;88;261.6;4.1;null;248.9;894.6;27;21.7;17.7;80.2;6.6;3.1;47.2;null;
2014-04-30;14;51.8;78.2;78.2;224.4;4.6;null;189.6;894.5;26.1;21.1;17.7;80.9;8.3;2.9;54;null;
2014-05-31;14;51.5;69.4;69.4;179.9;5.7;null;147.3;894.7;24.3;19.9;16.9;84.2;8.3;3.9;49.9;null;
2014-06-30;14;55.1;61.3;59.7;216.4;4.4;null;43.3;895.8;24.4;19.3;15.9;80;10;4.8;54.9;null;
2014-07-31;14;102.9;60.5;60.5;214.2;6;null;70.6;897.9;24.1;18.9;15.1;null;10;5.3;39.1;null;
2014-08-31;14;107.2;60.5;57.4;271;3.8;null;40.2;896.8;24.8;18.8;14.6;71.9;10;4.9;55.7;null;
2014-09-30;9;133.9;76.5;62.3;257.4;3.9;null;37.8;896;27.5;20.8;15.5;62.6;10;4.3;57;null;
2014-10-31;14;120.3;82.3;76.5;254.6;4.4;null;71;895.3;27.5;21.2;16.1;66.6;10;4.8;55.5;null;
2014-11-30;9;132.8;97;91.4;276.1;3.5;null;111.8;894;28.9;22.7;17;60.1;6.6;3;58.4;null;
2014-12-31;9;151.7;110.6;35.6;263.9;4.8;null;8.8;894.5;28.9;22.7;17.2;null;6.6;3.7;47;null;
