Nome: PATOS
Codigo Estacao: 82791
Latitude: -7.05361111
Longitude: -37.27388888
Altitude: 251.65
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;298.8;155.7;20.7;238.8;6.3;7;20.7;1009.9;982.3;35.6;29;24.8;58.2;8.6;4.1;62.7;
2012-02-29;9;266.6;141.7;141.7;246.3;6;7;146.4;1009.8;982.1;34.8;28.3;24.3;59.9;7.6;3.8;63.5;
2012-03-31;14;284.4;151.8;18;287.9;5.4;2;14.5;1009.7;982.1;36.1;29;23.2;56.7;8.1;3.7;62.8;
2012-04-30;9;263.9;146.2;15.2;299.8;5.1;3;14.3;1009.5;982.1;36.8;29.5;22.8;54.5;7.3;3.5;63.5;
2012-05-31;9;281.4;147.4;2.9;281.1;4.9;3;2.7;1011.3;983.5;35.5;28.9;23.1;59.3;7.5;3.9;62.7;
2012-06-30;9;217.4;136.1;13.1;215.9;4.3;6;13;1014.5;986.6;33.5;27.2;22.2;64.3;7;3.9;52;
2012-07-31;9;218.9;139;1;261.2;4.4;1;1;1013.4;985.5;33;26.6;21.7;56.1;7.6;4;62.7;
2012-08-31;14;284.6;141.8;0;306.1;3.7;0;0;1013.7;986.4;34.2;27;21.7;54.8;7.5;4.4;62.7;
2012-09-30;9;316.5;142.5;0;314;2.2;0;0;1014.8;987;35.3;28;22;52.2;8.5;5.1;56.6;
2012-10-31;9;345.4;151.6;0;326.6;3.4;0;0;1011;983.2;36.3;28.6;23.2;52;8.6;4.9;62.7;
2012-11-30;5;308.5;152.7;.2;299.2;4.1;1;.2;1009.2;981.6;36.9;29.7;23.8;50;8.5;4;62.7;
2012-12-31;9;329.8;159.9;6.8;287.5;5;2;6.8;1008.7;981.2;36.9;30;24.6;45;8.1;4.2;62.7;
2013-01-31;9;271.7;158.4;96.6;267.9;5.7;4;96.6;1009.8;982.3;36.5;29.7;24.2;50.6;7.6;3.7;62.7;
2013-02-28;9;292.6;143.4;3.3;271.8;5.3;2;3.3;1008.9;981.4;37.2;30.3;24.8;48.6;7.8;4.1;62.7;
2013-03-31;14;247.2;156.7;34.3;265.6;6.1;null;34.3;1009.5;982;37;30.2;25;52.5;6.3;3.3;62.7;
2013-04-30;9;184.4;145.2;97.6;259.8;6.3;null;97.6;1010.4;982.9;35.7;29.1;24.3;60.6;5.8;2.6;62.7;
2013-05-31;9;222;145.2;6.2;236;6.4;null;6.2;1011.5;983.9;34.3;28.4;23.8;59.1;10.9;3.1;61;
2013-06-30;9;201.4;136.8;82.7;230.9;5.4;null;82.3;1014.2;986.3;33.3;27.5;23.2;64.3;5.5;3.2;52;
2013-07-31;14;208;139.6;0;229.5;5.7;null;0;1013.9;986;33.2;26.8;22;59.3;6.6;3.1;62.7;
2013-08-31;9;291.7;143.2;0;284.7;4;null;0;1012.8;984.9;34.3;27.5;22.3;52;7.5;4.2;62.7;
2013-09-30;14;333.3;142.1;0;289.4;3.1;null;0;1013.5;985.7;35.2;27.9;22.6;54.3;7.6;4.8;56.6;
2013-10-31;14;357;152.3;0;308.1;4.2;null;0;1011.2;983.5;36.1;28.8;23.3;49.8;9.5;4.6;62.7;
2013-11-30;14;282.4;148.1;18.2;242;6;null;18.2;1009.6;981.9;35.3;28.5;23.5;54.1;7.3;4.1;63.5;
2013-12-31;14;261.6;154.8;88.5;254.3;5.8;null;88.5;1009.7;982.1;35.2;28.7;23.5;56.4;7;3.6;62.7;
2014-01-31;14;286.1;156.5;12.2;262;5.7;null;12.2;1010.2;982.6;36.1;29.1;23.4;52.7;8;3.6;62.7;
2014-02-28;14;229;137.1;32.2;208.5;6.5;null;32.2;1009.7;982;35;28.4;23.5;60.2;6.6;3.4;62.7;
2014-03-31;5;166.6;147.3;147.3;282.5;6.5;null;445.4;1010.6;982.8;34.1;27.7;22.9;67.8;5.1;2.4;62.7;
2014-04-30;14;121.7;138;138;271;6.7;null;154.7;1011.3;983.2;33;27.1;22.8;72.9;5.5;1.9;62.7;
