Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;165.9;153.1;110.9;238.8;6.7;5;110.7;944.2;32;25.2;19.1;59.5;8.3;4.1;37.1;null;
2012-02-29;36;154.1;139.9;21.9;232.1;6.2;6;21.6;943.9;31.9;25;18.8;61;6.6;3.8;37.6;null;
2012-03-31;36;210.5;134.7;.9;278.8;4.9;2;.8;944.3;33.4;26;19.4;55.3;6.5;3.9;37.2;null;
2012-04-30;36;197.7;127.9;5.4;283;4.9;1;5.4;944.3;33.5;26.1;19.1;53;6.8;3.5;37.5;null;
2012-05-31;36;193.1;118.9;35.2;260.8;5.2;6;35.2;945.9;32.1;25.3;18.9;57.6;6.5;3.6;36.7;null;
2012-06-30;9;147.5;94.5;12.9;213.3;5.8;4;12.9;947.2;30.2;23.7;17.9;64.5;5.5;3.3;36.7;null;
2012-07-31;9;122.5;84.4;12.4;221.9;5.5;6;12.4;948;29.2;22.5;16.2;69.7;7.6;3.5;32.8;null;
2012-08-31;9;162.3;86.6;10.5;281.8;4.1;5;10.5;949.7;29.7;22.6;16;65;6.6;4;30;null;
2012-09-30;36;187.9;99.2;0;303.3;2.4;0;0;949.2;31.6;23.9;16.4;58.4;7.5;4.7;31.4;null;
2012-10-31;36;194.2;151.8;.3;287.7;4.2;1;.3;945.5;32.5;25;18.1;56.3;9.6;4.7;36;null;
2012-11-30;36;203.8;144.5;5.1;289.5;3.9;1;5.1;943.8;33.6;26.2;19.4;51.9;8.3;4.7;37.1;null;
2012-12-31;36;180.5;136.2;3.8;291.8;5.1;1;3.8;943.6;33.9;26.5;20;53.7;8.3;4.3;36.7;null;
2013-01-31;36;188.5;180.8;82.8;260.8;5.9;5;82.8;944.3;33.3;26.6;20.2;55.9;8.1;4.3;36.7;null;
2013-02-28;36;231.8;161.2;5.1;246.4;5.4;3;5.1;943.7;33.9;26.7;19.9;50.7;9.6;4.5;36.7;null;
2013-03-31;36;207.3;177.4;94.2;259.5;6.5;3;94.2;944.1;33.8;27;20.9;53.6;8;4;36.7;null;
2013-04-30;36;148.4;150.4;95.6;257.2;6.1;7;95.6;944.8;32.3;26.1;20.6;61.3;8;3.4;36.7;null;
2013-05-31;36;129.1;127.3;57.6;221.6;6.9;8;57.6;945.7;30.5;24.5;19.2;67.6;5.8;2.9;36.7;null;
2013-06-30;36;115.5;109;66.4;213.3;5.7;9;66.4;946.4;29.5;23.4;18;70;6.3;3.2;36.7;null;
2013-07-31;36;133.7;100.4;27.1;186.5;6.5;11;27.1;947.7;28.1;22.1;16.6;71.3;6.6;3.1;36.7;null;
2013-08-31;5;167.5;120;5.5;248.3;6.2;2;5.5;947;29.7;23.1;17.2;63.1;6.5;3.6;37;null;
2013-09-30;36;176.3;129.4;.7;271.5;4.9;2;.7;946.7;31.3;24;17.3;57.1;6.3;4.2;36.7;null;
2013-10-31;36;190;148.5;19.6;281;5.4;3;19.6;945.6;32.3;25.1;18.5;55.9;6.8;4.4;36.7;null;
2013-11-30;36;166.3;144.4;6.2;233.1;6.4;2;6.2;944;31.7;25;19.1;57.4;7.3;4.7;36.7;null;
