Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;152.2;111.7;72.5;210.6;7;10;71.6;951.5;29.7;23.7;20.5;79.8;5;3.3;43.1;null;
2012-02-29;14;111;101.1;98.9;218.6;6.4;9;98.9;951.2;29.3;23.8;20.8;78.9;6.6;3.8;43.5;null;
2012-03-31;9;145.7;113.5;15.6;254.4;6.2;8;14.4;952;30.4;24.4;21.1;76.6;6.1;3.8;43.7;null;
2012-04-30;9;161.9;111.4;5.5;241.5;5.9;5;5;951.8;31.1;24.7;21.2;72;6.5;3.7;43.6;null;
2012-05-31;14;161.2;101.9;58.4;226.8;6.1;12;58.3;953.2;29.5;23.7;20.8;77.1;8.1;3.7;42.2;null;
2012-06-30;9;107.8;83.6;83.6;167.2;6.9;15;213.1;954.5;27;22.3;19.7;84;5.5;3.1;40.4;null;
2012-07-31;9;91.3;66.2;66.2;180.6;6.9;18;102;954.7;25.6;21.3;18.6;85.5;5;3.1;40.6;null;
2012-08-31;14;135.7;77.9;64.3;238.8;6.2;15;20.9;956;26.8;21.4;18;78.9;7.6;3.7;43.2;null;
2012-09-30;14;139.7;88.4;37.9;260.4;5.2;5;6.2;955.6;28.6;22.5;18.9;73.7;6.5;4.1;42.9;null;
2012-10-31;14;149;98.3;24.8;247.8;5.9;8;10.2;953.2;29.3;23.1;19.7;74.2;6.3;4.5;42.6;null;
2012-11-30;9;159.5;107.8;7.3;262.6;5.5;1;.5;951.5;30.9;24.1;20.5;71.3;5.8;4.3;43.7;null;
2012-12-31;14;204.2;118.2;11.5;257.9;6.1;6;9.2;951.2;31.6;24.5;20.9;72.1;5.8;4.1;43.8;null;
2013-01-31;14;212.3;122.9;27.9;244.1;6.2;6;27.2;952;31.4;24.9;21.5;71.4;6.3;4.2;43.9;null;
2013-02-28;14;183.1;110.9;30.4;230.8;6.1;6;30.1;951.2;31.8;25.1;21.2;71.5;6.3;4.3;43.1;null;
2013-03-31;14;196.3;126;37.2;241.4;6.3;2;37.1;951.9;31.7;25.4;22;73.4;6.8;4.1;42.9;null;
2013-04-30;14;153.1;113.8;113.8;218.5;6.3;null;116.4;952.1;30.8;24.9;21.6;76.9;5.3;3.7;42.9;null;
2013-05-31;14;101.6;100.9;67.1;205.8;6.7;null;66.4;953.1;28;23.6;20.7;81.4;9;3.5;42.8;null;
2013-06-30;14;92;84.6;84.6;164.4;7.1;null;150.1;954.1;26.5;22.4;19.9;85.1;5.1;3.2;40.3;null;
2013-07-31;14;94.3;78.8;78.8;155;7.2;null;141.4;954.8;25.5;21.5;18.9;85.5;5;3;40.6;null;
2013-08-31;14;106.8;81.7;81.7;210.9;6.7;null;86.7;954.6;26.5;21.7;18.7;83;5;3.6;41.9;null;
2013-09-30;14;123.3;84.3;73.6;224;6.7;null;34.3;954.5;27.3;22.1;19;81.5;6.1;4.1;42.7;null;
2013-10-31;9;156;101.6;55.8;265.9;5.9;null;22.9;953.6;29.4;23.3;19.9;76.9;5.5;4.2;43.9;null;
2013-11-30;9;166.2;103.1;36.1;215.7;6.4;null;20.6;951.7;29.4;23.5;20.1;75.7;7;4.3;44;null;
2013-12-31;9;155.8;110.9;28.4;232.6;6.1;null;21.7;951.8;30.4;24.1;20.8;75.9;5.3;4;42.8;null;
2014-01-31;14;147.7;114.2;18.4;244.6;6.1;null;15.3;952.4;30.6;24.3;20.4;73.2;7.5;4.5;43.2;null;
2014-02-28;14;143.3;97.6;48.9;193;7.4;null;48.2;951.4;29.2;23.8;20.9;79.7;5.1;3.3;42.6;null;
2014-03-31;14;171.2;114.8;44.1;246.7;6.4;null;43.5;952;30.5;24.6;21.2;76.6;5.6;3.5;42.7;null;
2014-04-30;9;165.9;116.2;30.4;243.7;6.2;null;30.1;952;31.3;25.1;21.8;75.9;5.3;3.8;43.1;null;
2014-05-31;14;110.8;98.7;98.7;209.9;7;null;139.7;952.7;28.4;23.4;20.2;83.5;6;3.5;42.8;null;
2014-06-30;14;100.8;82.6;82.6;174;7.2;null;102.4;954;26.7;22.2;19.4;85.6;5.5;3.7;41.9;null;
2014-07-31;14;106.8;79.8;79.8;179.4;7.3;null;122.2;956.1;26.3;21.6;18.6;83.8;6.2;3.7;41.8;null;
2014-08-31;14;125.8;78.8;72;207.5;7;null;39.6;955.6;26.6;21.4;18.2;82.7;5.3;3.5;41.7;null;
2014-09-30;14;120.5;83.3;83.3;195;7;null;99.2;954.8;27.3;22;18.9;81.5;6.5;4;41.8;null;
2014-10-31;14;139;96.1;81.5;227.6;7;null;51.5;953.6;28.5;22.8;19.5;79.2;7.2;4.3;43.5;null;
2014-11-30;9;141;103.1;43.1;212.5;7;null;10.9;952;30.1;23.6;20;76.2;6.3;4.3;43.8;null;
2014-12-31;9;133.5;110.9;24.1;227.3;7.1;null;10.7;952.4;30.1;23.9;20.2;76;6.5;3.9;44.4;null;
2015-01-31;14;141.4;114.2;18.7;235.7;6.7;null;13.8;953;30.6;24.2;20.3;74;6.2;4.2;43;null;
2015-02-28;14;132.5;108.6;18.5;207.3;7.2;null;16.8;952.3;31.3;24.8;21;73.4;5.5;4;43.3;null;
2015-03-31;9;121.6;112.3;97;206.7;7.8;null;96.8;952;29.8;24.3;20.9;79.2;6;3.8;42;null;
2015-04-30;9;132.4;113.8;32.3;264.1;6.2;null;31.8;951.9;31.3;25;21.2;75.3;5.8;3.5;42.7;null;
2015-05-31;14;153.5;111.2;21.2;234.9;7;null;20.9;953;30.3;24.5;20.8;77.3;5.8;3.9;43.4;null;
2015-06-30;14;70.5;83.6;83.6;130.6;8.2;null;120.8;954.5;26.8;22.3;19.4;86.9;5.1;3.2;40.2;null;
2015-07-31;14;46.4;76.9;76.9;117.4;8.6;null;201.4;954.9;25.1;21.2;18.6;90.6;5.1;3.1;39.9;null;
2015-08-31;14;61.6;80.7;67.6;219.2;7.2;null;24.8;955;26.9;21.5;18.2;82.5;5.6;3.7;43.1;null;
2015-09-30;14;98.2;89.4;42.2;240.4;5.7;null;11.2;954.3;28.9;22.5;19;76.4;5.6;4.1;42.9;null;
2015-10-31;14;160.5;100.5;23.2;264.2;5.5;null;7.4;953.9;29.9;23.2;19.2;73.2;6.3;4.3;43.9;null;
2015-11-30;9;172.5;107.7;9.7;277.5;5;null;3;951.9;31.5;24;19.8;71.2;5.5;4.2;42.9;null;
2015-12-31;14;null;null;null;null;5.6;null;null;952.9;31.4;24.3;20.2;72.8;5.5;4.3;42.7;null;
2016-01-31;9;37.8;null;null;149.1;8;null;127.5;952.2;29;23.8;20.8;83.3;5.8;3.5;41.5;null;
2016-02-29;null;null;null;null;null;null;null;null;952.2;30.1;24.3;20.8;79;4.8;null;null;null;
2016-03-31;null;null;null;null;null;null;null;null;952.5;30.6;24.5;20.8;79.1;5.1;null;null;null;
2016-04-30;9;102.7;102.3;101.9;187.8;7.6;null;101.8;952;29;23.9;20.6;81.6;5.3;3.4;40.6;null;
2016-05-31;14;77.4;95.4;83.6;183.1;7.1;null;79.1;954;27.5;23.1;20;84.1;5.3;3.1;42.8;null;
2016-06-30;14;74.5;87.6;37.5;217.4;5.8;null;25.8;955.3;27.8;22.7;19.1;80.1;5.3;3.4;41.9;null;
2016-07-31;14;108;84.7;25.1;210.8;6.8;null;18.5;955;28.1;22;17.9;77.8;5.5;3.2;43.6;null;
2016-08-31;14;159.5;88.8;12.7;247.4;6.1;null;8.8;954.9;29.2;22.4;17.9;72.4;5.3;3.6;43.9;null;
