Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;140.8;121.3;72.7;229.7;5.8;9;71.8;967.3;30.8;24.8;21.2;79.8;5.8;3.3;51;null;
2012-02-29;14;107.9;104.4;49.5;258.3;6.1;9;48.9;966.4;30.3;24.4;20.8;78.7;7.5;3.8;53.3;null;
2012-03-31;9;197.3;120.5;11.8;285.4;5;5;6.1;966.2;31.7;25.2;20.9;69.1;6.7;3.7;63.5;null;
2012-04-30;14;179.6;118.4;3.7;271.8;5;3;3.5;965.9;32.1;25.3;20.8;68.3;6.6;3.7;62.7;null;
2012-05-31;9;128.8;108.6;46.4;242.9;5.5;10;46.4;967.3;30.5;24.4;20.2;71.9;6.6;3.6;62;null;
2012-06-30;14;68.8;86.9;86.9;187.6;6.9;17;95.1;968.7;27.8;23;19.6;79.6;5.8;3.3;60.4;null;
2012-07-31;14;47.9;74.2;60.4;190.8;6.4;22;59.3;969;26;21.5;18.3;83.2;6.6;3.5;58.3;null;
2012-08-31;14;126.5;77.3;31.9;250.4;5.8;14;29.2;970.2;27.6;21.7;17.8;75.3;6.6;3.8;62.7;null;
2012-09-30;14;211;91.2;4.5;271.8;5.1;2;1.9;969.7;30;23.1;18.6;68;7.8;4;63;null;
2012-10-31;14;178.1;105.8;5.4;263.5;5.6;4;4.3;967.2;30.1;23.9;19.7;68.5;6.6;4;62.7;null;
