Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;98.3;162.9;162.9;221.8;6.5;15;206.4;1012.7;30.6;27.5;25.2;75.8;4.5;2.3;62.7;null;
2012-02-29;14;101;146.7;143.6;214.2;6.1;14;141.3;1012.2;30.8;27.6;24.9;74.7;5;2.9;61.7;null;
2012-03-31;14;121.6;167;96.8;246.3;5.4;13;71;1012.6;31.3;28.1;25;73.6;7.3;2.8;63.2;null;
2012-04-30;14;112.6;158.8;57.8;245.5;5;11;47;1012.5;31.3;27.9;24.3;73.3;4.3;2.8;63.1;null;
2012-05-31;14;94.8;143.9;143.9;213.6;5.7;17;216.5;1013.9;30.3;27;23.8;77.5;4.6;2.6;61.6;null;
2012-06-30;14;72.2;115.9;115.9;174.9;6.2;23;538.1;1015.2;29.4;25.7;22.6;81.5;5;2.6;61.8;null;
2012-07-31;14;90.9;121.9;121.9;204.7;5.7;23;290.5;1015.4;29.1;25.5;22.2;78;5.5;2.8;63.1;null;
2012-08-31;14;108.4;113.4;108.7;250.2;5.3;23;81.1;1016.5;29;25.2;21.8;75.9;6.3;3.3;62.3;null;
2012-09-30;14;119.3;124.8;79.1;217;5.9;1;36.7;1016.4;29.4;26;23.1;72.8;6;3.2;62.8;null;
2012-10-31;14;125.4;146;51.1;238;5.6;14;30.5;1014.2;29.9;26.8;24.4;71.5;5;3.2;63.2;null;
2012-11-30;14;116.3;161.2;9.5;270.7;4.8;5;2;1012.6;30.7;27.7;25.7;70.7;4.6;2.4;63.1;null;
2012-12-31;14;115.2;176.5;9.1;266.6;5.2;7;7.5;1012;30.9;28.1;26.3;72.4;4.6;2.6;63.1;null;
2013-01-31;14;111.4;178.2;51.6;268.8;5.5;16;51.3;1012.7;31.2;28.2;25.9;72.8;5;2.7;62.9;null;
2013-02-28;14;115.3;167.3;39.4;223.7;6;12;39.3;1011.9;31.7;28.6;26.1;71.3;5;3;62.6;null;
2013-03-31;14;121.1;189.4;17.5;246.9;5.5;7;17.5;1012.1;31.7;28.9;26.6;71.5;6;2.6;63;null;
2013-04-30;14;86.8;158.9;158.9;220.1;5.4;18;271.2;1012.4;31.3;27.9;24.6;76.6;4.3;2.3;62.9;null;
2013-05-31;14;87.2;170.3;170.3;216.6;5.7;16;185.7;1013.2;30.7;27.3;23.8;76.6;5.6;2.6;61.7;null;
2013-06-30;14;68.6;120.8;120.8;169.6;6;22;493.5;1014.2;29.6;26;22.9;83.3;4.5;2.3;59.7;null;
2013-07-31;18;66.3;108.9;108.9;135;7.1;28;481.5;1015.1;28.5;25;22.5;84.9;5;2.3;59;null;
2013-08-31;14;92.8;121.6;121.6;201.6;6.2;24;252.2;1015.1;29.1;25.7;22.6;79.6;5.3;3;61.6;null;
2013-09-30;14;92.5;128.2;128.2;215.6;5.2;21;286.9;1015.2;29.3;26.2;23.6;79.7;5.6;3;62.6;null;
2013-10-31;14;122.1;158;109.4;268.4;5;16;40.2;1014.2;30.3;27.4;25.1;74.3;5;2.7;63.2;null;
2013-11-30;14;113;157.1;55.3;241.7;5.7;11;33.4;1012.5;30.4;27.5;25.4;77.4;4.6;2.7;62.4;null;
2013-12-31;9;106.8;174.2;28.4;243.9;5.3;13;21.4;1012.4;30.7;28;25.8;73.3;4.5;2.5;63.3;null;
2014-01-31;14;113.8;167.2;86.9;258.4;5.8;2;85.8;1012.8;30.7;27.7;25.2;72.7;4.5;2.7;63.4;null;
2014-02-28;14;87.7;149.2;108.5;198;6.4;null;108.2;1011.6;30.6;27.7;24.9;74.6;4.1;2.2;61;null;
2014-03-31;9;97;171.4;150.6;233.8;5.4;null;150.5;1012;31.1;28.1;25.1;74.9;5;2.4;62.3;null;
2014-04-30;9;79;165.1;134.2;230.2;5.2;null;134.1;1012.2;31.3;28.2;24.9;75.6;4;2.2;62;null;
2014-05-31;14;71.8;138.4;138.4;193.4;6.1;null;265;1012.6;30.3;26.7;23.6;81.3;4.6;2.5;61.3;null;
2014-06-30;14;72;117.6;117.6;173.3;6.5;null;256.3;1014.1;29.5;25.8;22.1;81.2;5;2.7;60.4;null;
2014-07-31;14;86.7;113.6;113.6;189.8;6;null;153.1;1016.5;29;25.3;21.6;78.3;8.3;3.1;60.6;null;
2014-08-31;14;100.1;116.6;110.3;234.9;5.7;null;79;1016.2;29;25.4;21.2;74.1;8.8;3.5;62.5;null;
2014-09-30;14;92.7;124.7;124.7;196.3;5.9;null;199.2;1015.5;29;26;23.2;76;5.3;3.1;62.2;null;
2014-10-31;14;109.6;151.9;107.7;254.8;5.5;null;40.5;1014.6;30.2;27.1;24.7;72.9;6;3.2;62;null;
2014-11-30;9;109;157.1;38.3;263.2;5.1;null;13.3;1013.2;30.4;27.6;25.3;71.2;4.3;2.6;63.3;null;
2014-12-31;14;110.2;169.8;29.1;248.6;5.6;null;23.1;1013.4;30.7;27.8;25.4;72.8;4.3;2.7;63;null;
2015-01-31;14;117.1;169.3;56;252.8;5.3;null;54.8;1013.9;30.9;27.8;25.4;72.4;5;2.8;63.1;null;
2015-02-28;14;104.3;163.1;41.1;211.1;5.6;null;40.7;1013;31.5;28.4;26;73.7;5;2.7;62.7;null;
2015-03-31;14;91.3;164.9;164.9;181.5;6.1;null;406.6;1012.4;30.8;27.8;25;76.5;5;2.6;62;null;
2015-04-30;14;97.6;169.3;120.6;251.5;4.8;null;51.3;1012.6;31.5;28.4;24.7;72.8;4.1;2.4;63.3;null;
2015-05-31;14;92.3;159.8;103.1;231.1;5.8;null;87.2;1013.6;31.2;27.8;24.4;76.1;5;2.5;61.7;null;
2015-06-30;14;70.7;122.5;122.5;170.7;6.3;null;343.2;1015.2;29.7;26.1;22.8;80.7;5;2.3;61.7;null;
2015-07-31;14;68.6;115.2;115.2;153.9;6.8;null;381.4;1015.6;28.8;25.4;22.7;83.1;5;2.7;61.1;null;
2015-08-31;14;106.1;123.3;102.3;241.3;5.4;null;50.6;1015.7;29.2;25.8;22.5;74.8;5;2.8;63.3;null;
2015-09-30;14;110;137.1;83.6;239.8;5.1;null;56.9;1015.4;29.7;26.7;24.1;71.5;4.3;2.6;62.3;null;
2015-10-31;14;124.3;151.9;35.4;268.8;5.6;null;19.5;1015;30.2;27.1;24.6;70.6;4.6;2.7;62.4;null;
