Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;47.4;124.7;124.7;85;8.3;24;309.4;null;null;30.4;25.4;22.8;89.9;2;.4;16.5;
2012-02-29;0;52.5;115.1;115.1;100.4;8.1;21;324;null;null;30;25.3;22.6;88.4;2;.4;17;
2012-03-31;0;47.5;128.8;128.8;161.5;7.4;20;296.4;null;null;31.3;25.8;22.6;86.8;3;.6;16.4;
2012-04-30;0;57.3;126.8;126.8;129.2;7.5;20;294.4;null;null;31.3;26.1;23.1;87.6;2;.5;16;
2012-05-31;0;84.6;122.7;122.7;195.1;6.6;11;121.4;null;null;31.6;25.5;21.8;86.5;2;.6;15.7;
2012-06-30;0;70.8;103.6;102.3;197.5;5.6;11;88.6;null;null;30.8;24.8;20.8;86.2;2;.5;14.5;
2012-07-31;0;90.8;103.3;82.4;238.7;4.3;4;44.8;null;null;31.9;24.4;18.9;81.1;2;.5;16.1;
2012-08-31;0;129.4;125.4;115.7;243.2;3.8;5;108.2;null;null;33.3;25.7;20;77.6;2;.6;19.3;
2012-09-30;0;144.3;136.4;136.4;188.6;5.9;7;181;null;null;34.2;26.7;21.7;77.1;2;.6;17.2;
2012-10-31;0;94.1;143.7;142;173.7;7.1;11;135;null;null;32.7;26.5;22.6;83.3;2;.6;16.9;
