Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;18;46;126.5;126.5;91.2;8.2;25;315.7;991.4;30.3;25.5;22.3;85.5;5;2.4;52.2;null;
2012-02-29;32;52.9;123.1;123.1;125.6;7.5;20;225.5;991;31;25.9;22.3;82.2;4;2.4;55.1;null;
2012-03-31;18;60.9;147.1;147.1;181.9;7;20;161.7;991.3;32.4;26.5;22.8;81.3;4;2.5;56.2;null;
2012-04-30;18;64;134.3;132;210.1;6.2;20;112.1;990.9;33.7;27.4;23.2;80.1;7.8;2.4;56.5;null;
2012-05-31;14;83;154.8;154.4;242.6;5.4;12;152.9;992.1;34;27.7;23.2;75.9;5;2.4;58.9;null;
2012-06-30;9;96.2;154;83;285.9;3;5;26.3;993.2;34.5;27.9;22.8;69.3;5;2.4;59.6;null;
2012-07-31;14;149.4;127.4;15.8;310.4;2.4;0;0;993.2;36.2;28.3;21.2;58.3;4;2.6;59.6;null;
2012-08-31;14;206;180.5;5.1;322.1;2.1;0;0;993.3;37;28.8;20.8;51.3;5;2.5;53.3;null;
2012-09-30;5;155.7;191.1;8.4;244.8;4;4;7.6;992.5;37;29.4;22.5;59.2;5;2.5;32;null;
2012-10-31;36;113.6;183.2;110.5;205.4;5.8;8;110.4;990.4;35.3;28.5;23;70.4;9;2.6;41.9;null;
2012-11-30;18;66.4;142.6;142.6;126.4;7.5;18;260.3;990.3;32.8;26.7;22.6;80.6;6;2.6;50;null;
2012-12-31;14;60.6;150.4;150.4;157.9;7;20;186.2;990.5;32.7;26.8;22.5;82;5;2.4;56.7;null;
2013-01-31;18;58.3;144.2;144.2;129.7;7.5;23;342.4;991.4;32;26.5;22.6;82.8;3;2.4;53.1;null;
2013-02-28;18;54.7;128.5;128.5;146.9;7;17;209.5;990.6;32.4;26.6;22.6;82.6;5;2.6;56.8;null;
2013-03-31;18;57.8;147.2;147.2;167.4;7.5;22;362.8;991.2;32.6;26.9;22.7;82.8;5;2.4;54.8;null;
2013-04-30;32;58.2;146.8;146.8;175.5;6.5;17;173.9;991.8;32.4;27.3;23.1;82;4;2.4;57;null;
2013-05-31;14;38.1;158.7;151.5;230.4;5.3;9;118;992.3;33.6;27.8;23.3;77.7;4.1;2.4;59.2;null;
2013-06-30;14;97.5;155.9;113;282.9;3.8;6;76.4;992.8;34.3;28;22.9;71.6;5;2.3;58.7;null;
2013-07-31;14;130.7;173.8;30.6;299.3;2.8;2;6.1;993;35.6;28.6;22.5;63.6;5;1.7;60;null;
2013-08-31;14;177;195.8;4.8;310.5;2.3;null;0;992;37.7;29.5;21.9;54.2;4;2.6;55.5;null;
2013-09-30;5;136.9;184.4;111.4;245.6;4.5;5;111;991.5;36.4;29.2;23;63.2;5;2.8;49.4;null;
2013-10-31;36;101.6;172.5;172.5;209.2;6;10;244.3;991.3;34.8;28;22.9;72.8;6;2.6;48.6;null;
2013-11-30;14;59.3;137.2;137.2;158.7;7.8;20;199.8;990.2;32.4;26.4;22.4;81.8;6;2.8;53.3;null;
2013-12-31;18;54.6;133.9;133.9;129.1;7.7;20;280.3;990.7;31.6;26.4;22.6;83.8;5;2.5;52.6;null;
2014-01-31;18;60.6;137;137;142;7.6;2;150.7;991.8;31.6;26.1;22.1;82.6;5;2.5;54.3;null;
2014-02-28;18;43.3;120.4;120.4;108.6;8.3;null;414.2;991;31.3;26.1;22.3;85.3;5;2.3;52.5;null;
2014-03-31;32;51.7;139.9;139.9;161.2;7.7;null;305.7;991.5;32.1;26.5;22.5;84.9;5;2.4;52.7;null;
2014-04-30;18;58.6;139.6;139.6;172.4;6.6;null;168.4;991.9;32.6;27;22.7;81.8;4;2.3;57.4;null;
2014-05-31;9;91.4;168.6;99.5;252;5;null;22.8;992.1;34.2;28.3;23.3;73.6;5;2.3;59.6;null;
2014-06-30;14;74.3;171.6;19.1;301.3;2.9;null;0;992.9;35.7;28.8;22.7;62.3;4;2.3;60;null;
2014-07-31;5;159.5;180;4.2;303.8;3.1;null;.7;994.6;36.5;28.9;22.3;57.2;5;2.7;60;null;
2014-08-31;14;182;193.6;.9;298.5;2.6;null;.3;992.9;37.6;29.3;21.9;52;5;2.5;57.5;null;
2014-09-30;36;127.5;175.9;79.2;247.6;3.9;null;79.1;991.5;36;28.7;22.8;66.7;5;2;52;null;
2014-10-31;5;102.2;215.4;null;200.9;6.1;null;240.3;991.5;34.5;27.9;22.8;72.9;6;2.5;50.9;null;
2014-11-30;18;58.8;150;150;161.5;6.6;null;269.1;990.6;32.8;27.1;22.7;81.9;5;2.4;55.9;null;
2014-12-31;18;52.1;141;141;135.1;6.8;null;415.4;991.3;31.7;26.4;22.5;83.9;5;2.4;54.5;null;
2015-01-31;18;53.9;140.6;140.6;166.3;7.1;null;264.6;992.3;32.2;26.4;22.5;82.1;5;2.2;55.4;null;
2015-02-28;18;48.9;123.6;123.6;130.5;7.9;null;193.5;992;31.7;26.2;22.3;83;5;2.2;54.4;null;
2015-03-31;18;55.3;141.7;141.7;152.1;7.6;null;246.5;991.7;31.9;26.5;22.5;83.2;11;2.2;58;null;
2015-04-30;18;49.8;137.9;137.9;177.5;6.9;null;147.2;992;32.4;26.8;22.7;83.5;5;2.2;57.3;null;
2015-05-31;14;75.9;158.7;157.7;247.7;5.6;null;144.1;992.6;33.7;27.8;23.1;76.5;5;2.2;58;null;
2015-06-30;9;116.2;163.7;69.7;283.3;3.5;null;.1;993.8;34.9;28.3;22.8;64.1;5;2.3;60;null;
2015-07-31;14;141.6;169.7;22.8;300.3;3.4;null;9.3;993.2;35.9;28.5;22.1;60.9;5;1.7;59.9;null;
2015-08-31;14;181.4;191.3;2.9;317.2;1.9;null;0;992.7;37.8;29.3;21.6;51.7;4;2.8;46;null;
2015-09-30;5;126.9;209.2;15.5;273.5;3.5;null;14.5;991.2;38.4;30.3;23.3;57.6;5;2.4;41.3;null;
2015-10-31;32;105.4;220.4;15.2;232.5;4.3;null;15.1;990.9;37.5;30;23.7;60.6;5;2.4;30.6;null;
2015-11-30;23;68.1;173.8;154.1;166;6.9;null;154.1;990.4;34.8;28.3;23.2;75.2;5;2.3;40.2;null;
2015-12-31;18;53;160.1;160.1;145.9;6.7;null;275.1;991.8;33;27.3;22.8;80.8;4;2.1;44;null;
2016-01-31;5;46;142.4;142.4;109.5;7.8;null;257.3;991.8;31.4;26.4;22.4;85.6;5;2.3;55.9;null;
2016-02-29;9;84.3;180.8;129.1;234.2;5;null;58.6;991.3;35.3;29;23.4;72.2;5;2.1;57.9;null;
2016-03-31;27;52.7;158.5;158.5;166.8;7.2;null;289.6;992.1;32.8;27.4;22.9;82.9;4;2;54.8;null;
2016-04-30;14;73.3;165.8;117.5;183.4;6.1;null;48.4;991.3;34.3;28.3;23.3;77.4;10;2.3;57.1;null;
2016-05-31;14;88.7;178.9;50.3;254.9;4.6;null;26.1;992.9;35.1;28.8;23.4;73.6;4;2.1;59.7;null;
2016-06-30;14;103.6;159.8;39.2;270.6;3.6;null;34.4;994.3;34.8;28.2;22.7;69.4;5;2.4;59.9;null;
2016-07-31;14;164;175.9;1.6;324.3;1.3;null;0;993.8;37;28.7;21.6;55.2;6;2.8;60;null;
2016-08-31;5;189.6;224.4;.3;295.8;2.8;null;0;992;38.7;30.2;22.2;53.5;3;1.9;58.5;null;
2016-09-30;5;140.4;191.1;67.3;196.5;5.4;null;67.3;992.2;36.7;29.5;23.2;61.9;5;2.5;50;null;
2016-10-31;18;104.1;183.2;56.8;210.6;6.1;null;56.8;990.5;35.5;28.6;23.1;70.9;7;2.6;51.8;null;
2016-11-30;18;72.5;167.7;84.1;165.6;6.9;null;84.1;990;34.2;28;23.1;77.6;5;2.3;54.3;null;
2016-12-31;23;52.2;154.2;136.4;156.5;7;null;136.4;990.8;33.1;26.9;22.7;81.8;5;2.5;55.7;null;
2017-01-31;18;52.3;146.1;146.1;167.6;7.2;null;255.1;991.5;32.6;26.6;22.4;82.8;6;2.2;56.5;null;
2017-02-28;14;39.5;123.6;123.6;98.9;8.1;null;289.6;991.7;31.2;26.1;22.4;84.6;5;2.2;54.3;null;
2017-03-31;23;50.6;149;149;156.8;7.2;null;215.6;991.5;32.4;27;22.9;82.5;5;2;56.5;null;
2017-04-30;23;48.4;148.6;148.6;179.4;6.3;null;189.3;991.6;33;27.4;23.2;82;4;2;58.2;null;
2017-05-31;9;82.9;181.1;113.5;272.4;4.2;null;37.2;992.1;35.1;28.9;23.7;72.8;5;2;59.5;null;
2017-06-30;14;121.1;161.7;27.5;283.4;2.9;null;8.9;993.2;35.5;28.4;22.4;63.4;4;2.2;59.9;null;
2017-07-31;14;173.4;159.7;4.1;314.7;1.9;null;0;995.4;35.7;27.9;20.6;53.7;5;2.5;60;null;
2017-08-31;5;183.6;221.8;.9;314.3;2.2;null;0;992.3;39.2;30.5;22.8;52;4;2.5;45.1;null;
2017-09-30;5;222.6;228.7;.1;285.1;2.8;null;0;991.5;39.5;31;22.3;46.8;5;1.9;39.3;null;
2017-10-31;5;133.9;213;19.8;192.3;5.5;null;19.8;990.3;37.1;29.9;23.5;63.1;6;2.5;40;null;
2017-11-30;5;52.7;157.6;157.6;143.3;7.1;null;217.2;990.3;33.5;27.5;22.8;77.9;5;2.2;56.9;null;
2017-12-31;23;47.8;142.9;142.9;116.9;8;null;226.1;990.9;32.2;26.4;22.5;84.7;5;2.2;54.9;null;
2018-01-31;18;46;140.6;140.6;160.6;7.2;null;186.7;991.3;32.1;26.3;22.5;83.7;5;2.1;57.7;null;
2018-02-28;32;null;117.3;117.3;103.1;8;null;489.7;991.5;30.6;25.8;22.3;87.2;4.1;2.2;95.7;null;
2018-03-31;18;57.6;145.3;145.3;165.3;7.3;null;444;991.4;32.3;26.9;22.6;82.8;4;2;56.3;null;
2018-04-30;18;52.8;137.9;137.9;166.2;6.7;null;301.4;992.3;32.6;27;22.9;81.6;4;2.1;59.1;null;
2018-05-31;14;85.7;174.7;109.5;272.7;4.2;null;34;992.8;35;28.6;23.3;71;4;2;59.9;null;
2018-06-30;14;130.3;165.6;26.7;302.5;2.4;null;7.2;993.9;36.1;28.5;22.2;62.3;4;2;60;null;
2018-07-31;14;169.2;177.9;4.5;317.2;1.7;null;.3;993.7;37.5;28.8;21.3;53.8;4;2.5;60;null;
2018-08-31;5;161.1;191.3;17;292.3;3.5;null;16.3;993.2;37.9;29.3;22.2;58.3;5;2.1;53.7;null;
2018-09-30;5;134.3;188.8;33.4;219.3;5.1;null;33.3;990.9;37;29.3;23;63.6;5;2.1;48.6;null;
2018-10-31;18;85.9;176.7;146.3;213.9;6.2;null;146.3;990.8;35.4;28.2;23;75.9;5;2.2;50.9;null;
2018-11-30;18;67;155.7;155.7;156.9;7.1;null;156.1;990.4;34;27.5;22.9;80.4;5;2.1;57;null;
2018-12-31;18;77.9;160.1;160.1;142.8;7.5;null;237.3;991.8;32.7;27.3;23.1;78.5;5;1.8;56.1;null;
2019-01-31;18;62.4;142.4;142.4;153.7;7.4;null;185.6;992.7;32.6;26.4;22.2;82.6;5;2.4;56.9;null;
2019-02-28;18;57.7;135.2;135.2;135.2;7.1;null;153.9;991.9;32.5;26.9;22.6;82.5;5;2.1;57.2;null;
2019-03-31;27;62.8;150.9;150.9;176.3;7.1;null;244.6;992.3;32.9;27;23;82.3;5;2.1;54.9;null;
2019-04-30;18;61.4;150.5;150.5;162.9;6.2;null;319.6;992.1;33.2;27.4;22.9;81.8;4;2.2;57.2;null;
2019-05-31;18;82;172.7;127.3;252.2;4.5;null;59.6;991.8;35.2;28.5;23.4;76;4;1.9;59.2;null;
2019-06-30;14;null;173.7;32.7;null;2.5;null;6.5;993.7;36.2;28.9;22.9;64.4;4;2.5;60;null;
2019-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2019-08-31;14;null;null;null;null;2.3;null;null;993.7;38.5;29.7;22.2;51.5;5;2.4;56.7;null;
2019-09-30;5;null;null;null;null;2.5;null;42.2;991.2;39.1;30.5;23.1;54.8;5;2.5;52.6;null;
2019-10-31;23;null;null;null;null;6.1;null;182.7;990.9;34.4;27.2;22.5;77.9;5;2.6;58.4;null;
2019-11-30;23;null;null;null;null;7.1;null;136.2;990.2;34.3;27.3;22.4;79.8;8;2.6;59.2;null;
2019-12-31;18;null;null;null;null;6.2;null;128.9;990.4;34.6;27.8;23.3;78.7;5;2.1;56.1;null;
2020-01-31;18;null;null;null;null;6.8;14;185.7;991.9;33.6;27.6;23.7;81.4;5;1.8;49.8;null;
2020-02-29;18;28.7;null;null;126.1;6.9;17;261.4;992;32.3;26.8;22.5;83.5;5;2.3;56.2;null;
2020-03-31;18;36.6;null;null;145;7.5;23;327.7;991.9;32.4;26.8;22.3;83.4;5;2.2;57.6;null;
2020-04-30;14;66.5;null;null;139.4;6.5;14;183.2;992.4;33.6;27.6;22.9;79.2;4;2.3;58.6;null;
2020-05-31;14;null;null;null;null;5.8;7;46.5;993.3;34.9;28.4;23;74.1;5;2.2;59.4;null;
2020-06-30;18;108.2;null;null;232.9;3.1;2;7.1;994.1;35.5;28.4;22.4;69.5;5;1.9;60;null;
2020-07-31;18;115.5;null;null;278.3;1.1;0;0;994;37;28.6;21.3;61.2;5;1.6;60;null;
2020-08-31;18;null;null;null;253.8;2.5;0;0;993.3;38.2;29.4;21.4;56.5;5;1.8;55.2;null;
2020-09-30;18;null;null;null;247.5;2.3;2;16.5;992.1;39.5;30.3;22.3;60;5;1.8;42.5;null;
2020-10-31;18;104.4;null;null;223.3;3.4;7;158.9;991.4;36.3;29.1;23.3;72.4;4;2;53.7;null;
2020-11-30;18;null;null;null;173.3;6.8;11;200.2;991.5;33.8;27.8;23;81.7;5;1.9;58.8;null;
2020-12-31;18;57.6;null;null;187.3;6.7;15;209.2;991.5;33.5;27.3;23;84.3;5;2.1;58.9;null;
2021-01-31;18;null;null;null;176.7;6.6;17;170;991.2;33;26.9;22.6;86.1;5;2;58.9;null;
2021-02-28;18;null;null;null;107.9;8.3;22;316;991.7;30.8;26;22.7;90.8;4;1.7;56.3;null;
2021-03-31;18;null;null;null;151;7.9;23;250;992;31.6;26.3;22.4;89.8;4;2.2;57.2;null;
2021-04-30;18;null;null;null;159.6;6.5;14;207.2;992;32.8;27.1;22.9;87.5;4;1.7;59.2;null;
2021-05-31;14;null;null;null;null;3.6;3;4.8;993.1;34.8;28.2;22.7;76.5;3;1.6;59.4;null;
2021-06-30;18;null;null;null;null;3.1;null;0;993.4;35.9;28.1;21.7;70.1;5;1.5;60;null;
2021-07-31;18;126.8;null;null;311.4;1.9;null;0;994.4;36.5;28.2;19.8;61.4;5;1.9;60;null;
2021-08-31;14;null;null;null;255;2.5;null;0;992.9;37.9;29.2;20.4;56.2;5;1.4;60;null;
2021-09-30;18;null;null;null;235.2;3.3;8;41.4;992.4;36.3;28.5;22.2;73.7;4;1.7;58.5;null;
2021-10-31;18;null;null;null;188.7;6.4;16;233.2;991.6;33.9;27.4;22.6;83.3;5;1.7;57.7;null;
2021-11-30;18;null;null;null;133.4;8.3;18;286.9;991.3;31.6;26.4;22.5;89;4;1.7;57.1;null;
2021-12-31;18;34.4;null;null;98.6;8.6;29;291.6;990.6;31.2;26.1;22.7;91.3;5;1.5;56.7;null;
2022-01-31;18;null;null;null;138.2;7.9;24;350.7;992.2;31.4;25.9;22.2;87.9;4;1.9;55.2;null;
2022-02-28;18;null;null;null;163.9;7.3;16;377.6;991.3;32.2;26.7;22.5;87.5;4;1.7;55.4;null;
2022-03-31;18;37.4;null;null;168.4;8.1;24;305.7;991.4;31.9;26.3;22.3;89.4;5;1.8;57.2;null;
2022-04-30;18;null;null;null;208.5;5.6;12;253.4;991.5;33.1;27.5;22.8;84.7;3;1.3;59;null;
2022-05-31;18;null;null;null;227.5;4.7;2;31.8;993.5;34.3;27.7;21.7;75.1;5;1.8;59.6;null;
2022-06-30;18;null;null;null;238.2;2.9;3;4.6;992.9;34.6;27.7;21.3;70.9;3;1.5;59.8;null;
2022-07-31;18;null;null;null;251.8;3.1;null;0;993.3;34.8;27.9;19.6;60.3;3;1.2;60;null;
2022-08-31;14;null;null;null;259;2.9;null;0;992.7;37.5;29.1;20.5;58.2;4;1.2;59.1;null;
2022-09-30;14;null;null;null;226;3.6;1;.2;991.7;38.5;30;22;59.2;5;1.4;49.4;null;
2022-10-31;18;null;null;null;153.8;5.2;7;92.2;991;35.6;28.8;23.5;73.4;5;1.8;51.3;null;
2022-11-30;18;null;null;null;113.8;8.2;16;316.2;991.6;31.4;26.1;22.5;84.2;5;2.1;56.2;null;
2022-12-31;null;null;null;null;null;null;9;null;990.4;31.5;26.5;22.8;86.9;3;1.5;57.4;null;
2023-01-31;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;
2023-02-28;27;null;null;null;148.5;7;17;158.3;991.7;32.7;26.7;22.8;87.4;3;1.3;58.7;null;
2023-03-31;32;null;null;null;150;8.4;18;269.3;992.2;31.7;26.2;22.6;88.6;5;1.5;57.2;null;
2023-04-30;14;null;null;null;156.5;6.8;15;214.8;991.6;null;null;null;null;3.1;1.2;96.1;null;
2023-05-31;9;null;null;null;219.6;5.2;8;114.9;992.8;null;null;null;null;3.1;1.2;96.9;null;
2023-06-30;14;null;null;null;264.7;2.5;null;0;994.1;null;null;null;null;5.1;1.5;97;null;
2023-07-31;14;null;null;null;270.1;1.3;null;0;994.2;null;null;null;null;4.1;1.2;97;null;
2023-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-11-30;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;
2023-12-31;2;null;null;null;166.6;7.1;9;164.5;991;null;null;null;null;3.1;1.5;96;null;
2024-01-31;32;null;null;null;146.8;8;17;201.6;992.3;null;null;null;null;3.1;1.5;96;null;
2024-02-29;33;null;null;null;107.9;7.3;16;228.1;992.8;null;null;null;null;5.1;1.6;96.2;null;
2024-03-31;36;null;null;null;141.7;7.1;16;181;991.7;null;null;null;null;8.2;1.8;96.3;null;
2024-04-30;19;null;null;null;134;7.2;22;343.1;991.7;null;null;null;null;3.1;1.5;96.3;null;
2024-05-31;14;null;null;null;244.1;3.6;4;8.1;991.1;null;null;null;null;3.1;1.3;96.5;null;
2024-06-30;11;null;null;null;252.3;3.1;null;0;993.1;null;null;null;null;5.1;1.4;96.5;null;
2024-07-31;18;null;null;null;251.6;4.1;null;0;994.5;null;null;null;null;3.1;1.1;96.5;null;
2024-08-31;0;null;null;null;262.4;4.6;1;11;993.4;null;null;null;null;5.1;1.5;96.5;null;
2024-09-30;5;null;null;null;227.7;5.3;2;6.1;991.1;null;null;null;null;3.1;1.3;96.4;null;
2024-10-31;36;null;null;null;184;7.1;11;179.1;991.1;null;null;null;null;5.1;2.2;96.3;null;

