Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;55.1;117.5;117.5;98.1;8.9;25;434.4;989.6;30.4;25;22.1;87.5;20;1.3;52.1;null;
2012-02-29;0;65.9;112.9;112.9;129.6;8.2;22;276.8;989.2;31.2;25.4;21.9;84;5;1.3;56.4;null;
2012-03-31;0;66;126.8;126.8;170.1;7.4;23;252.5;989.5;32.1;25.9;22.6;85.7;8;1;54.8;null;
2012-04-30;0;75.9;140.9;140.9;204.9;6.1;15;178.8;989;33.3;27;23.2;82.6;7;.8;61;null;
2012-05-31;0;110.2;139.3;116.9;234.3;4.7;6;64;990.3;33.4;26.8;22.4;78.4;7;1.3;66.2;null;
2012-06-30;0;131.4;123.4;43;252.4;3;2;11.3;991.5;34;26.2;21;73.7;7;.9;70.8;null;
2012-07-31;0;204;121.3;10.8;291.6;2;0;0;991.3;35.3;25.7;19;63.9;7;1.2;74.6;null;
2012-08-31;0;274.8;131.8;3.3;303.6;1.4;0;0;992.1;36.2;26.4;18.7;54.4;10;2.8;49.4;null;
2012-09-30;0;260;170.6;3;238.6;2.7;1;2;990.6;37.2;28.3;21.2;54.3;8;2;19.3;null;
2012-10-31;0;210.9;196;138.4;221.4;4.5;6;138.3;988.2;36.3;29.1;23.9;63;8;1.8;34.7;null;
2012-11-30;0;92.4;146.4;146.4;146.8;7.8;18;201.3;988.5;33.1;27;23.5;79.3;8;1.5;51.7;null;
2012-12-31;0;88.1;148.6;148.6;190.3;6.9;17;156.1;988.4;33.2;26.7;22.8;79.6;7;.9;54;null;
2013-01-31;0;71.2;136.6;136.6;145.2;7.6;21;413.3;989.7;32;26.1;22.7;84.3;6;1.2;52.9;null;
2013-02-28;0;64.4;123.3;123.3;153.4;7.9;20;191.3;988.5;32.5;26.2;22.6;83.7;8;1.1;54.1;null;
2013-03-31;0;77.2;143.2;143.2;174.6;7.5;21;354.3;989.6;32.6;26.7;23.2;84.3;9;1.6;51.2;null;
2013-04-30;0;85.6;146.6;145.3;199.6;6.4;10;130;990.1;33.1;27.3;23.6;81.2;8;1.2;60;null;
2013-05-31;0;100;141.2;111.9;216.9;5.2;9;67.8;990.8;33.1;27;22.8;80.3;6;1.1;64.5;null;
2013-06-30;0;130.9;130.1;38.9;246.9;2.6;3;10.5;991.6;34.2;26.6;21.5;73.8;6;1.1;67.2;null;
2013-07-31;0;212.4;133.2;9.7;287.1;1.8;1;.7;992.1;35.5;26.6;20.1;64.9;10.6;1.6;67.4;null;
2013-08-31;0;259.1;152.1;11.9;290.9;2.3;1;9.4;991;37;27.4;19.9;57.3;9;2;49.7;null;
2013-09-30;0;244.7;187.9;3.8;232;4.2;3;3.1;990.2;37;29.2;22.9;57.5;9;2.3;31.2;null;
