Nome: VALE DO GURGUEIA (CRISTIANO CASTRO)
Codigo Estacao: 82870
Latitude: -8.44166666
Longitude: -43.86555555
Altitude: 261.26
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;118.7;143.6;139.4;145.4;8.2;12;139.2;null;32.5;26.3;21.9;74.2;7;1.6;null;null;
2012-02-29;5;82.7;135.7;135.7;146.4;7.7;14;244.5;null;30.9;25.3;20.8;77.6;7;1.5;null;null;
2012-03-31;5;109;140.1;139.4;238.5;5.4;12;127.8;null;32.6;26.4;20.9;73.2;5;1.2;null;null;
2012-04-30;5;160.2;140.8;74.3;278.6;4.7;3;9.8;null;35.4;27.8;20.5;61.2;5;1.6;null;null;
2012-05-31;5;270.7;142.5;18.1;291.3;4.3;0;0;null;36.5;28.7;20.3;46.3;7;2.8;null;null;
2012-06-30;14;307.2;141.1;4.3;297.5;3.7;0;0;null;36.3;28.8;20.1;38.6;7;3.4;null;null;
2012-07-31;14;361.4;140.2;1.1;328.8;3.1;0;0;null;35.9;28.3;19.9;37.8;7;3.5;null;null;
2012-08-31;14;443;140;.3;337;3.2;0;0;null;35.3;27.9;19.6;37.3;7;3.8;null;null;
2012-09-30;5;474.1;149.1;.1;296.2;3.8;0;0;null;37.8;30;20.9;31.8;9;3;null;null;
2012-10-31;5;484;163.3;.6;296.4;4.1;2;.6;null;38.8;31.6;23.5;34.6;7;3.3;null;null;
2012-11-30;5;217.5;149.7;76.3;155.9;7.7;9;80.6;null;35.3;28.8;23.6;61.5;7;2.4;null;null;
2012-12-31;5;170.2;153.6;87;206.7;6.8;7;87;null;34.3;28.1;22.3;63.2;7;1.9;null;null;
2013-01-31;5;112.3;144.8;144.1;176.1;7.8;16;144.1;null;32.4;26.5;22.2;77.6;7;1.8;null;null;
2013-02-28;5;185.1;146.3;7.1;224.8;6;null;7.1;null;35.3;28.4;22;61.6;7;2.4;null;null;
2013-03-31;5;156.4;144.4;144.4;202.4;7.6;null;241.6;null;34.1;27.5;22.3;72.6;7;2.1;null;null;
2013-04-30;5;98.8;135.8;116.3;211.5;6.5;null;68.9;null;32;26.4;21.6;77.9;5;1.5;null;null;
2013-05-31;5;169.4;137;63;268.4;5.3;null;30.3;null;33.9;27.2;20.9;64.6;5;1.8;null;null;
2013-06-30;14;271.9;null;null;293.7;4;null;2.7;null;35.4;28;19.8;48.3;7;2.8;null;null;
2013-07-31;14;346.6;null;null;298.5;4.2;null;0;null;35.5;28.4;20.1;41.9;7;2.9;null;null;
2013-08-31;14;399.4;145.1;0;326.6;3.8;null;0;null;36.6;29.3;21.1;38.1;7;3;null;null;
2013-09-30;14;415.8;170.6;0;313.7;3.9;null;0;null;38.2;30.7;22.5;34.6;7;3.2;null;null;
2013-10-31;5;371.3;null;null;278.2;5.6;null;22.4;null;37.2;30.3;22.8;42.9;7;2.9;null;null;
2013-11-30;5;275.4;150.8;55.1;185.5;7.1;null;55.1;null;35.5;29.2;23;53.1;7;2.6;null;null;
2013-12-31;5;137.2;145.6;145.6;177.4;7.2;null;228.8;null;32.8;26.7;22.1;73.6;7;1.9;null;null;
2014-01-31;5;182.3;148.7;80.5;213.1;6.5;null;20.4;null;33.9;27.5;21.3;62.9;7;2.1;null;null;
2014-02-28;5;134.9;133;129.4;149.8;7.4;null;128.4;null;33.3;26.9;22;71.9;7;2.1;null;null;
2014-03-31;5;79.2;138.6;138.6;177.2;7.2;null;196.4;null;31.5;25.9;21.6;80.2;5;1.4;null;null;
2014-04-30;5;86.9;134.3;134.3;226.5;6.4;null;196.2;null;32.3;26.1;21.2;78.7;5;1.2;null;null;
2014-05-31;5;153.3;135.9;77.3;266.7;5.3;null;4.1;null;34;26.8;20.1;65.8;7;1.6;null;null;
2014-06-30;14;272.6;136.8;20;290.6;3.8;null;0;null;35.2;27.7;19.2;48.8;7;3;null;null;
2014-07-31;14;325;143;5.2;312.1;3.8;null;0;null;35.3;28.1;20.3;45.6;7;3.4;null;null;
2014-08-31;14;379;143.6;1.2;320;3.2;null;0;null;36.3;28.9;20.8;39.3;7;3.1;null;null;
2014-09-30;5;426.8;150.8;.3;302.3;4.1;null;0;null;37.6;30.5;22.3;36.4;9;3.1;null;null;
2014-10-31;5;444.9;154.7;43.2;230.4;6;null;50.9;null;37.1;30.4;23.6;42.2;9;3.3;null;null;
2014-11-30;5;231.8;149.3;51.2;208.8;6.8;null;51.2;null;34.7;28.5;22.8;59;7;2.3;null;null;
