Nome: SAO JOAO DO PIAUI
Codigo Estacao: 82879
Latitude: -8.365
Longitude: -42.25027777
Altitude: 237.02
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;181.8;158.2;37.5;215;4.9;6;37.5;983.9;35.3;28.8;23.7;58.3;5.1;2.1;38.5;null;
2012-02-29;9;37.8;137.8;137.8;193.3;5.6;12;168.7;983.6;32.9;26.9;22.2;63.9;6;2;47.4;null;
2012-03-31;9;126.7;152.4;56.5;282.8;4.4;5;35.2;983.6;36;28.9;22.8;51.7;5.1;2;47.1;null;
2012-04-30;9;264.7;147.2;8;291.6;3.7;1;.6;983.5;37;29.8;23.1;42.2;5.6;2.1;47.3;null;
2012-05-31;14;332.4;148.4;1.7;313.2;2.7;0;0;985.1;35.9;29.4;23.8;43.6;5.5;3;47.3;null;
2012-06-30;14;308.1;139.7;.4;289.7;1.7;0;0;987.3;34.8;28.6;23.3;44.5;6;2.9;40.9;null;
2012-07-31;14;357;141.9;.1;319.1;2.1;0;0;987.1;33.9;27.9;22.6;42.7;5.8;3.2;47.3;null;
2012-08-31;14;373.8;141.3;0;325.8;2.3;0;0;988.4;33.5;27.3;22.1;41.2;6.5;3.4;47.3;null;
2012-09-30;14;385.2;146.9;0;317.5;1.7;0;0;986.9;36.1;29.4;23.5;35.7;6.3;3.1;47.3;null;
2012-10-31;14;471.1;160.1;0;334.1;1.9;0;0;983.8;37.2;30.8;25.2;35.5;6.1;3.1;47.3;null;
2012-11-30;14;183.9;154.2;63.9;193.9;6.2;11;63.9;982.6;35.3;29.7;25;53.2;5;2.1;46.6;null;
2012-12-31;14;239.4;158.7;52.2;242.2;5;5;52.2;982.5;35.9;29.3;23.9;52.2;5.6;2.1;47.3;null;
2013-01-31;5;156.9;153.5;153.5;158.8;6.4;12;160.8;984.8;33.5;28;23.8;69.1;6;1.7;36.5;null;
2013-02-28;14;207.2;142;6.4;247.2;4.6;2;.9;982.9;36;29.4;23.5;50.1;5;2.2;48.4;null;
2013-03-31;5;214.4;154.3;73.6;222.6;5.5;9;72.6;983.6;35.4;29.3;24.5;59.7;4.6;2;47.3;null;
2013-04-30;9;161.7;139.2;103.3;226.4;4.9;7;103.1;984.8;32.9;27.3;22.9;67.9;6.1;1.9;47.3;null;
2013-05-31;9;255.6;145.5;1;256.8;4.4;2;.6;985.4;34.8;28.6;23.5;52.5;5.8;2.5;47.3;null;
2013-06-30;14;326.4;139.4;.1;283.3;2.2;null;0;986.2;34.6;28.5;23.5;46.7;6.3;2.8;47.3;null;
2013-07-31;14;349.1;142.2;.2;288;2.5;1;.2;988.1;34;27.9;22.8;46.7;6.6;3.2;41;null;
2013-08-31;14;343.6;145.6;0;326;2;null;0;986.5;34.5;28.4;23.2;41.8;5.6;3.1;47.3;null;
