Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;375;229;11.5;251.5;5.7;3;11.5;971.6;34.5;28.8;23.8;45.1;7.8;4;59.1;null;
2012-02-29;14;292.9;176.1;117.7;232.6;6.1;4;117.7;971.5;33.1;27.7;22.8;52.9;8;3.8;61.1;null;
2012-03-31;14;326.9;162.8;41.2;299.1;4.1;3;16.8;972.9;34.3;28.3;23;53.8;8.3;3.7;47.2;null;
2012-04-30;14;341.5;173;0;270.2;3.7;0;0;972.7;34.2;28.3;22.9;47.8;8.1;3.6;54.3;null;
2012-05-31;14;302.5;171.4;11.8;270.4;4.4;2;11.8;974;32.6;26.9;22.2;51.8;7.5;4.1;59.3;null;
2012-06-30;14;278.4;120;3.4;237.9;3.7;3;3.4;976.6;31.4;26;21.3;58.8;7.1;3.8;47.6;null;
2012-07-31;14;255.8;119.4;15.5;211.5;5.2;7;15.5;976.4;29.7;24.4;20.1;60.7;9.8;4.7;58.5;null;
2012-08-31;14;298.5;121.2;8.7;241.8;4.5;9;8.7;977.4;30.3;24.3;19.6;57;8;5.4;59.3;null;
2012-09-30;14;386.6;137.1;1;281.2;2.8;2;1;976.6;32.2;26.3;20.6;49.3;9.5;5.3;55.2;null;
2012-10-31;14;402.7;194.1;0;306;3.3;0;0;973.3;33.5;27.6;22;46.5;9.1;5.3;59.3;null;
2012-11-30;14;374.4;256.6;7.9;274;5.6;3;7.9;970.7;35.8;30;24.4;40.6;7.1;3.3;60.2;null;
2012-12-31;14;401.2;252.3;.8;293.9;5.2;1;.8;970.7;35.2;29.6;24.2;41.9;8.8;3.5;59.4;null;
2013-01-31;14;null;226.3;49.3;210.9;6.4;9;49.3;971.8;34.3;28.8;24.1;50.5;7.8;3.5;59.3;null;
2013-02-28;14;null;231.7;0;250.6;4.5;null;0;971.4;35.1;29.5;24.2;43;8.3;4.2;59.3;null;
2013-03-31;14;489.1;249.2;.8;266.1;5.3;null;.8;971.7;35.5;29.9;24.8;46;7;3.5;60.1;null;
2013-04-30;14;339.8;191.1;58.2;215.6;5.6;null;57.9;972.5;33.9;28.3;24;55.3;6.3;3.6;64.6;null;
2013-05-31;14;326.8;163.1;5;220.8;5.6;null;5;973.9;32.1;26.8;22.7;58.7;6.6;3.9;59.3;null;
2013-06-30;14;336.1;116.7;.8;223.5;4.3;null;.8;975.8;31.6;26.3;22;60.5;6.5;3.8;48.8;null;
2013-07-31;14;317.2;126.1;14.1;220.3;5.1;null;14.1;975.8;30.2;24.9;20.7;60.7;7;4.3;59.3;null;
2013-08-31;14;388.8;136.9;1.8;244.1;4.3;null;1.8;975.5;30.8;25.3;20.8;56.5;7.5;4.8;59.3;null;
2013-09-30;14;466.6;148.3;0;274.8;3.1;null;0;975.9;32.9;27;21.4;51;7.1;4.9;48.8;null;
2013-10-31;14;494.4;208.7;5.2;298.8;3.9;null;5.2;973.4;34.2;28.2;22.8;45.1;7.6;4.6;59.1;null;
2013-11-30;14;471.1;212.9;1.3;245.7;5.3;null;1.3;971.3;33.9;28.6;23.5;45.2;7.5;4.3;59.3;null;
2013-12-31;14;353.3;213.9;null;234.3;5.9;null;200;971.3;34;28.4;23.7;52.4;7.5;3.1;61.7;null;
2014-01-31;14;444.3;215.7;6.8;309.1;4.7;null;6.8;972.3;34;28.5;23.6;46.9;7.5;3.6;60.9;null;
2014-02-28;14;332.9;176.4;28.4;204.3;6.4;null;28.4;971.7;33.3;27.9;23.4;53.8;7;3.5;59.3;null;
2014-03-31;14;352;206.5;12.6;230.4;6.1;null;12.6;972.2;33.9;28.4;24;53.4;6.6;3.3;59.3;null;
2014-04-30;14;243.5;164.7;48.7;192.6;6.4;null;48.7;972.9;32.5;27.1;23.2;63.4;5.1;2.8;61;null;
2014-05-31;14;261.3;145.1;19.9;196.9;6.1;null;19.9;973.9;31.2;26;22.1;62.8;6.5;3.4;59.1;null;
