Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;179;157.6;91.9;237.2;4.2;8;91.2;936.4;31.3;24.5;19.6;70.2;8;4;53.3;null;
2012-02-29;14;162.4;108.4;8.2;247.5;4.2;5;7.7;936;31.1;24.3;19.4;71.5;7.3;3.6;54;null;
2012-03-31;14;207.9;118.9;24.4;282.7;3.2;2;10;936.6;32.3;24.9;19.4;68.1;7.7;3.8;53.6;null;
2012-04-30;14;188.5;109.1;38.8;290.1;2.9;2;38.7;936.6;31.5;24.6;19;69.7;6;3.3;54.2;null;
2012-05-31;14;166.7;102.5;43.7;267.1;3.5;6;43.7;938.2;30.4;23.8;18.7;75;5.5;3.3;53.3;null;
2012-06-30;9;125.8;83.5;27.3;215.4;3.8;7;27.3;940.4;28.2;22.5;18.4;75;5;2.9;45.4;null;
2012-07-31;14;98.1;69.1;60.3;203.3;5.1;15;59.3;940;26.3;20.7;17;86.2;5.6;3.3;53.3;null;
2012-08-31;14;130.2;71;37.9;264.2;4.5;15;37.9;941.1;27;20.8;16.8;81.9;8;3.9;52.8;null;
2012-09-30;14;203.9;86.8;5.9;284.9;2.7;5;5.9;940.4;29.8;22.5;17.1;75.4;7;4.2;53.6;null;
2012-10-31;9;219.7;104;7.7;292.7;3.1;1;7.7;937.7;31.2;23.8;18.6;72.9;6.6;4.1;53.3;null;
2012-11-30;5;233.6;130.3;10.9;279.4;2.4;2;10.9;935.6;33.5;25.7;19.5;67.7;8.3;4;53.3;null;
2012-12-31;9;243.9;132.8;.9;288.1;3.5;1;.9;935.7;33.2;25.6;20;68.6;7.6;3.6;53.3;null;
2013-01-31;9;234.9;139.5;3.2;244.6;2.1;3;3.2;937.7;33;26.1;20.6;66;8.3;4;45.6;null;
2013-02-28;14;221.2;123;1.4;264.4;3.7;2;1.4;936.1;33.3;26;20.5;69.3;6.3;4.3;53.3;null;
2013-03-31;18;242;138;17.4;276.8;3.5;1;17.4;936.5;33.2;26.3;21.2;69.4;8.3;4.1;53.3;null;
2013-04-30;18;174.9;119.1;97.2;234.8;4.4;12;98;937;31.5;25.4;20.7;75.4;6.3;3.6;53.3;null;
2013-05-31;18;91;91.4;56.4;204.4;5;9;56.4;938.2;28.3;23;19.3;82.9;5.6;3;53.3;null;
2013-06-30;18;71.1;77.6;60.4;197.1;4.6;15;60.4;939.9;26.9;21.9;18.6;82.8;5.5;2.8;46.2;null;
2013-07-31;14;65.4;67.3;67.3;193.8;5.5;20;117.1;940.2;25.2;20.5;17.4;88.7;6.6;3.2;53.3;null;
2013-08-31;18;81.8;71.9;48;238;4.4;13;31.4;939.8;26.6;20.9;17.1;84.6;5;3.4;53.3;null;
2013-09-30;18;153.9;86.7;29.4;267.5;3.3;4;11.9;939.4;29.8;22.5;17.6;76.3;7.5;4.3;53.3;null;
2013-10-31;18;190.5;108.8;29.3;291.1;2.9;4;20;938;31.6;24.1;18.7;72.8;8.3;4.4;53.3;null;
2013-11-30;18;180.9;110.7;13.9;211.4;4.3;3;9.8;936.1;31.5;24.3;19.2;74.4;9;4.4;53.8;null;
2013-12-31;9;183.2;127.3;91.4;231.6;4;6;90.7;936.1;31.7;25.1;19.9;72.1;8.3;3.9;53.2;null;
2014-01-31;18;211.2;122.8;4.1;279;3.8;null;3;937;32;24.9;19.6;71.5;8.3;4.3;53.3;null;
2014-02-28;14;151.3;107;66;188;4.9;null;65.8;936.2;31.3;24.6;19.9;74.9;7.6;3.9;53.3;null;
2014-03-31;18;163.3;121.6;17.8;244.8;3.7;null;17.6;937.1;31.9;25.1;20.2;76.3;6.6;4.1;51.5;null;
2014-04-30;18;119.5;108;86.3;226.9;4.3;null;86.3;937.2;30.5;24.5;19.9;79.9;6.6;3.5;53.3;null;
2014-05-31;18;60.3;84;84;181.6;5.4;null;129.4;938;26.9;22.2;18.9;88.2;5;3;53.3;null;
2014-06-30;18;70.6;73.8;65;201.6;5.3;null;59.6;940.2;27;21.5;17.8;83.6;5.8;3.2;45;null;
2014-07-31;14;76.6;71.8;50.7;210;4.3;null;55.9;941.9;26.8;21;17;86.1;6.6;3.9;48.6;null;
