Nome: GARANHUNS
Codigo Estacao: 82893
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2022-11-11
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;5;null;921.6;27.5;null;null;null;7;null;null;null;
2012-03-31;9;121.5;109;4.9;148.5;6.9;3;3.8;921.8;28.5;null;null;null;7.6;4.2;70.3;null;
2012-04-30;14;98.8;97.5;37.2;137.8;7.2;5;37;921.9;27.7;null;null;null;6.6;3.4;68.3;null;
2012-05-31;14;88.7;93.3;64.8;133;7.5;12;64.8;923.1;26.8;null;null;null;6.6;4;68.1;null;
2012-06-30;14;53.7;75;73.3;86.4;8.9;22;72.7;924.5;24.5;null;null;null;6.3;3;67.3;null;
2012-07-31;14;40.5;72;72;60.2;9.1;29;90.1;924.7;22.6;null;null;null;5.6;3.2;64.9;null;
2012-08-31;14;43.4;83.3;83.3;126;7.7;22;115.5;925.8;23.2;null;null;null;5.8;2.8;66.3;null;
2012-09-30;14;62.5;78.9;35.8;144.5;7.1;8;11;925.3;25.5;null;null;null;6;3.5;69.5;null;
2012-10-31;14;89.2;113.6;27.7;114.8;7.1;8;7.5;922.6;27.1;null;null;null;6.6;3.2;68.4;null;
2012-11-30;9;138.1;110.8;7.5;167.2;5.6;1;1.4;920.7;30;null;null;null;9.6;4.1;70;null;
