Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;91.1;144.2;144.2;171.6;7;20;198.6;1013.1;1012.1;30.2;26.3;22.3;74.4;5;2.1;45.2;
2012-02-29;14;103.3;133.1;133.1;194;6.6;13;189.8;1012.5;1011.6;29.9;26.5;22.6;73.6;7.5;2.5;46.7;
2012-03-31;14;104.7;143.4;143.4;225.4;5.8;14;138.8;1013.1;1012.2;30.6;26.8;22.4;73.1;4;2.2;47.5;
2012-04-30;14;90.7;129.4;106.3;237.2;5.7;13;55.8;1013;1012.1;30.5;26.3;21.7;74.1;4;2.1;46.7;
2012-05-31;14;71;121.7;121.7;220.9;6.2;20;190.2;1014.5;1013.6;29.8;25.6;21;75.6;4.2;1.7;48;
2012-06-30;14;57.2;100.7;100.7;165;6.8;23;296.5;1015.8;1014.9;28.7;24.6;20.7;82.4;5;1.5;46.7;
2012-07-31;18;74.2;100.2;100.2;192.9;6.5;24;261.7;1016.3;1015.3;28;24.3;20.7;80;5;1.9;47;
2012-08-31;14;73.2;94.7;94.7;203.6;6.6;24;163.5;1017.7;1016.8;27.5;23.7;20.3;80.2;5;2.3;46.5;
2012-09-30;14;106.2;111.8;79.9;163.6;6.5;8;19.7;1017.2;1016.4;28.6;25.1;21.1;71.6;4.7;2.6;46.7;
2012-10-31;14;128.7;129.2;75.4;187.2;6.6;13;54.4;1014.8;1013.9;29.2;25.8;22.1;71.4;5;2.7;47.5;
2012-11-30;14;126;146.2;23.9;230.6;6;5;9.9;1012.7;1011.8;31;27;22.7;66.1;4;2.6;46.7;
2012-12-31;9;144.2;162;28.7;219.5;6.1;11;25.1;1012.4;1011.5;31.1;27.3;23.7;67.6;4.3;2.5;46.7;
2013-01-31;9;131.1;157.4;96.3;227.5;6.2;13;95.7;1013.1;1012.1;31.2;27.2;22.9;70.4;5.3;2.3;46.5;
2013-02-28;14;137.2;151.1;48.1;205.2;6.2;13;47.7;1012.5;1011.5;31.7;27.8;23.5;68.7;4.5;2.6;47.6;
2013-03-31;14;122.6;162.5;98.9;201.4;6.3;3;98.8;1012.7;1011.8;31.6;27.7;23.8;71.4;4;2.2;46.6;
2013-04-30;14;96.4;141.5;141.5;212;5.8;null;229;1012.8;1011.8;31.6;27.2;22.7;74.4;3.7;1.8;46.8;
2013-05-31;14;65;125;125;202.8;6.3;null;316.9;1013.8;1012.9;29.8;25.8;22.3;80.8;4.7;1.4;46.8;
2013-06-30;14;36.4;105;105;183.3;7;null;491.4;1014.8;1013.9;28.8;24.9;21.7;86.3;3.3;1.3;46;
2013-07-31;14;43.8;98.8;98.8;151.2;7.4;null;416.4;1016.3;1015.3;28;24.3;21.3;84.6;3.3;1.3;46.2;
2013-08-31;14;58.6;105.9;105.9;179.4;7;null;225.3;1016;1015;28.1;24.6;21.6;80.5;5;1.9;46.2;
2013-09-30;14;62.3;111.7;111.7;142.2;7.2;null;146;1016.1;1015.2;28.5;25.1;22;78.9;4.2;2.3;46.4;
2013-10-31;14;81.8;132.5;132.4;164.7;6.1;null;129.2;1014.9;1013.9;29.5;26;22.8;75.5;4.2;2.2;46.7;
2013-11-30;9;107.6;138.9;121.2;139.1;6;null;76.5;1012.9;1011.9;30;26.5;23.2;77;5;2.2;47.5;
2013-12-31;9;112.2;154.1;154.1;156.4;6.5;null;177.3;1012.7;1011.8;30.7;27;23.2;74.5;5;2.4;46.7;
2014-01-31;14;99.4;144.2;130.5;182.8;6.5;null;108.9;1013.4;1012.5;30.4;26.5;22.6;73.9;4.7;2.2;47;
2014-02-28;14;69.3;130.1;130.1;116.4;7.1;null;148.2;1012.4;1011.4;30.5;26.5;22.6;77.6;3.3;1.8;46.5;
2014-03-31;14;73.6;145.4;145.4;164.3;6;null;252.4;1012.7;1011.8;30.9;26.9;23.2;79.4;3.3;1.8;46.7;
2014-04-30;14;76.7;141.5;141.5;209.8;6.1;null;268.5;1012.8;1011.9;31.3;27;23.2;77.1;3.5;1.5;47.1;
2014-05-31;0;48.1;117;117;194.5;7.1;null;315.1;1013.4;1012.5;29.6;25.5;22.3;83.3;4;1.3;47.3;
2014-06-30;14;58.5;104.9;104.9;193.4;7;null;322.8;1015.3;1014.4;28.6;24.9;21.6;82.1;5;1.7;46.9;
2014-07-31;14;67.6;100.2;100.2;182.8;7.6;null;278.9;1017.7;1016.7;28.2;24.4;21.2;82.3;4.5;1.8;46.5;
2014-08-31;18;71.6;97.4;97.4;179.3;7.2;null;162.2;1017.3;1016.4;28;24;20.7;80.7;4.7;1.9;46.7;
2014-09-30;14;74.9;107.3;107.3;133.2;6.7;null;248.9;1016.3;1015.3;28.5;24.8;21.4;80.3;5;1.9;46.3;
2014-10-31;14;96.9;125.8;125.8;193.6;7.6;null;146.5;1015.3;1014.4;29.1;25.7;22.6;78.3;6.7;2.1;47.1;
2014-11-30;14;95.3;135.4;110.8;233.9;6.1;null;56;1013.5;1012.6;30.5;26.3;22.5;73.3;3.8;1.9;47.3;
2014-12-31;9;108.6;148.4;95.6;224.4;6.9;null;71.3;1014;1013;30.8;26.7;22.8;73.4;4.2;2;46.7;
2015-01-31;14;109.5;155.5;77.8;254.1;6.5;null;65.4;1014.5;1013.6;30.9;26.9;22.7;71.4;4.3;2.2;46.4;
2015-02-28;14;93.7;143.9;61.2;229.2;6.4;null;56.2;1013.3;1012.4;31.6;27.4;23.3;71.4;5;2;46.7;
2015-03-31;14;77.4;145.4;145.4;205.9;6.6;null;341.2;1012.9;1012;30.6;26.8;22.8;76.6;5;1.6;46.5;
2015-04-30;14;77.7;145;109.9;258.7;5.4;null;74.6;1012.9;1012;31.6;27.2;22.4;73.6;3.8;1.6;46.3;
2015-05-31;14;78;135;135;241.6;6.4;null;178.9;1014.2;1013.3;30.8;26.4;22.2;77.3;4.5;1.4;46.7;
2015-06-30;14;48;106.4;106.4;170.5;7.1;null;460.5;1016;1015;29;25;21.6;83.5;3;1.1;47;
2015-07-31;14;42.4;100.2;100.2;141.4;7.8;null;446.3;1016.7;1015.8;28.1;24.2;21.3;86;6;1.5;45.3;
2015-08-31;14;74.9;104.4;104.4;214.9;6.8;null;116;1016.9;1016;28.5;24.5;20.9;79.8;3.5;1.9;46.5;
2015-09-30;14;99.5;119.4;92.1;239;5.8;null;35.1;1016.2;1015.3;29.8;25.7;21.6;73.7;5;2;48.4;
2015-10-31;14;126.5;139.5;47;246.7;6.6;null;16.6;1015.7;1014.8;30.1;26.4;22.6;70.4;4;2.3;46.7;
2015-11-30;14;133.7;149.9;39.4;278.4;5.5;null;30.6;1013.5;1012.6;31.4;27.1;22.8;68.7;4.3;2.3;47.1;
2015-12-31;14;125.6;158;93.5;220.7;6.5;null;91.8;1014.7;1013.8;31.2;27.2;23.6;69.7;3.7;2.1;46.6;
2016-01-31;14;91.7;159.4;126.6;185.6;6.8;null;124;1013;1012.1;31.3;27.2;23.8;73.2;5;1.6;46.7;
2016-02-29;14;null;143.5;69.9;205.9;6.5;null;70;1013.4;1012.6;31.4;27.4;23.9;74.4;3.8;1.7;46.8;
2016-03-31;14;88.8;156.5;156.5;201.6;6.6;null;265.1;1013.7;1012.8;31.4;27.4;23.8;75.8;3.3;1.7;47;
2016-04-30;14;67.3;137.9;137.9;191.1;6.9;null;293.6;1013;1012.1;30.7;26.8;23.7;79.2;5;1.6;46.7;
2016-05-31;0;59;121.7;121.7;188;6.8;null;478.3;1015;1014.1;29.6;25.7;22.5;82.1;3.7;1.2;46.5;
2016-06-30;null;60.5;106.4;106.4;224.3;6;null;148.5;1016.8;1015.9;29.1;25;21.3;80.9;2.5;null;47.2;
2016-07-31;null;69.5;103;103;201.2;6.8;null;111.3;1016.8;1015.9;28.4;24.4;20.8;81.3;null;null;46.7;
2016-08-31;null;87.7;107.4;96.8;211.2;6.3;null;58.3;1016.8;1015.9;28.9;24.7;20.6;77.3;null;null;46.7;
