Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2023-08-14
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;41.3;124.2;124.2;88.9;8.2;25;404.4;1010.8;992.8;29.5;25.3;22.4;89.6;4;1;40.5;
2012-02-29;0;38.5;null;null;83.5;8.1;24;452.4;1010.7;992.4;29.9;25.1;21.9;88.6;5;1;42.5;
2012-03-31;0;49.6;124.3;124.3;153.2;7.8;19;316.8;1011.9;993.6;30.9;25.5;22;87.4;5;1;42.5;
2012-04-30;0;47.8;121.9;121.9;160.1;7;17;162.5;1011.5;993.3;31.5;25.8;22.4;87.1;5;1.1;43.9;
2012-05-31;0;54;110.2;110.2;207.8;5.7;13;127.2;1013;994.7;31.2;24.9;20.6;85.9;5;.8;45.3;
2012-06-30;0;52.3;96.3;96.3;206.6;5.3;10;182;1014.3;996;30.4;24.2;19.9;86.2;4;1.1;44;
2012-07-31;0;79.9;88.5;85.6;280.5;3.7;3;63.1;1014.6;996.2;31.5;23.4;17.7;80.2;5;1;44.8;
2012-08-31;0;134.6;105.8;103.4;266.5;3.8;6;96.7;1014;995.7;33.5;24.7;18.5;75.3;7;1.1;46;
2012-09-30;0;118.2;126.8;88.8;223.4;5.2;6;51.3;1013;994.8;34.4;26.3;21;79.1;3.2;.9;45;
2012-10-31;0;70.4;139.1;139.1;189.8;7;16;188.3;1010.3;992.5;33;26.6;22.3;84;5;1.4;44.9;
2012-11-30;36;46.3;137.2;137.2;148.7;7.6;22;372.3;1009.5;991.4;31.9;26.6;23.2;87.6;5;1.5;44.1;
2012-12-31;0;29.4;134.5;134.5;136.7;7.7;20;272.4;1009.7;992;31.2;26.1;22.9;87.9;6;1.4;43.5;
2013-01-31;0;43.7;137.3;137.3;134.5;8.1;22;315.1;1011.3;993.1;31.5;26.2;23;89.1;3;1.1;41.5;
2013-02-28;0;41.4;122;122;97.5;7.5;21;217.6;1010.5;992.6;30.6;26.1;23.1;89.3;5;1.4;43.8;
2013-03-31;0;42.9;127.5;127.5;102.5;8;23;411.2;1011.4;993.2;31;25.9;22.9;90.5;5;1.2;44.7;
2013-04-30;0;67.7;121.9;110.4;207.5;5.8;11;69.6;1012.3;994.1;32.2;26;21.8;84.6;5;.9;45.6;
2013-05-31;0;48.6;114.5;66.9;168.3;6.7;2;34.2;1012.9;994.7;31.1;25.4;21.5;87;5;1.1;44.9;
2013-06-30;0;54.2;115.3;115.3;204.3;6.1;null;138.1;1013.3;995;32;25.8;21.8;86;5;1;44.3;
2013-07-31;0;126.1;92.2;66.8;235.8;4.8;null;49.7;1015.1;996.8;31.3;23.7;18.5;82.8;5;.9;44.3;
2013-08-31;0;225.9;93.8;60.2;259.2;3.7;null;48.4;1013.9;995.5;32.5;23.8;17.5;74.7;9;1.3;46.5;
2013-09-30;0;88.9;123.6;87.8;233.1;4.9;null;80.6;1012.5;994.3;34.1;25.9;20.4;76.9;4;1.2;45.8;
2013-10-31;0;60.5;134;134;145.5;7.2;null;156.4;1011.3;993.1;32.5;26.1;22.4;85.5;5;1.3;45.5;
2013-11-30;0;52.3;130.6;130.6;126.2;7.2;null;241.2;1009.4;991.2;31.7;26.1;22.3;87.3;3;1.3;44.7;
2013-12-31;0;49.1;141.3;141.3;145;7.5;null;284.2;1010.1;991.9;31.7;26.3;22.7;88;5;1.3;45.4;
2014-01-31;0;41.6;129;129;101.9;8.3;null;512.2;1011;993;30.8;25.7;22.7;90.3;4;1.1;43.9;
2014-02-28;0;39.5;114.6;114.6;90.2;7.7;null;228.6;1010.5;992.4;30.9;25.7;22.6;89.2;4;1.1;43.8;
2014-03-31;0;37.1;127.5;127.5;107;7.5;null;383.1;1011;992.8;30.7;25.9;22.9;90.2;6;1.3;44.1;
2014-04-30;0;41.6;120.4;120.4;164.8;7.5;null;244.1;1012.2;994.1;31.4;25.9;22.6;89.5;5;.8;44.8;
2014-05-31;0;39.6;113.1;113.1;158.8;7.1;null;205.6;1012.6;994.4;30.6;25.2;21.7;89.8;5;1;46.7;
2014-06-30;0;48;100.2;83;186.1;5.4;null;35.3;1013.8;995.7;30.5;24.5;20.7;88.2;5;1.1;46.8;
2014-07-31;0;null;87.3;39.8;173.4;5.4;null;12.2;1016.2;997.7;30;23.1;18.4;84.5;5.1;1.1;95.5;
2014-08-31;0;null;111.4;86;256.9;3.8;null;79.2;1014.1;995.7;33.3;24.9;19.6;77.7;5.1;.9;96.3;
2014-09-30;0;null;136.3;136.3;220.6;5.4;null;221.3;1011.7;993.7;34.3;26.7;22.4;81.6;3.1;1;96.2;
2014-10-31;0;null;144.1;141;176.8;6.2;null;118.1;1011.5;993.4;33.1;26.7;23;85.5;5.1;1.2;96.2;
2014-11-30;0;null;138.8;138.8;169.1;7.1;null;195.6;1010.1;992.2;32.2;26.5;23.2;85.2;3.1;1.4;96.1;
2014-12-31;0;null;136.2;136.2;120.2;7.2;null;165;1010.5;992.5;31.4;26;22.8;87.5;4.1;1.2;96.1;
2015-01-31;0;null;127.4;127.4;101;8;null;240.4;1012.5;994.3;30.3;25.3;22.5;89.9;4.1;1.1;96;
2015-02-28;0;null;114.6;114.6;89;8;null;287.9;1011.4;993.2;30.6;25.6;22.7;90.4;4.1;1;96;
2015-03-31;0;null;124.4;124.4;116.8;7.8;null;282.1;1011.4;993.3;30.8;25.5;22.8;90.8;4.1;1.1;96.1;
2015-04-30;0;null;123.5;123.5;158.8;7.4;null;212.2;1012.1;993.9;31.6;26.2;22.9;88.7;7.2;.9;96.1;
2015-05-31;0;null;116;116;137.8;7.4;null;170.2;1013.2;994.9;30.4;25.3;22.4;90.3;5.1;1.2;96.1;
2015-06-30;0;null;105.5;101.1;206.3;4.1;null;57.5;1014.6;996.2;31.6;24.9;20.7;85.4;5.1;.7;95.9;
2015-07-31;0;null;106.7;52.4;220.6;5.2;null;5.9;1014.2;995.9;31.9;24.8;20.2;82.7;7.2;1;96.3;
2015-08-31;0;null;142.6;63.3;219.3;5.1;null;46.8;1012.1;994.1;34.9;26.9;22;77;3.1;.8;96.3;
2015-09-30;0;null;151.6;109.2;242.4;4.6;null;105.4;1011.2;993.1;35.5;27.6;22.9;77.3;5.1;1.1;96.3;
2015-10-31;0;null;154.8;100.6;203.1;6;null;97.8;1011.2;993.2;34.5;27.2;23;78.4;5.1;1.3;96.3;
2015-11-30;0;null;156.3;156.3;188.2;6.6;null;327.1;1009.8;991.7;33.4;27.4;23.8;81.4;5.1;1.2;96.3;
2015-12-31;0;null;150.1;150.1;162.4;6.5;null;179.1;1011.4;993.3;32.3;26.7;23.5;85.1;7.2;1.7;96.3;
2016-01-31;0;null;156.8;143.1;133.9;8;null;96.3;1010.6;992.6;32.6;27.1;24;91.2;2.1;.5;96;
2016-02-29;0;null;140.9;140.9;130.2;7.5;null;220.6;1010.6;993;32.2;27;23.9;90.4;5.1;.7;96;
2016-03-31;0;null;142.2;142.2;118.7;7.7;null;227.5;1012.5;994.2;31.5;26.5;23.6;88.1;8.2;1.4;96.4;
2016-04-30;0;null;128;128;160.6;6.8;null;318.3;1012;993.7;32.2;26.4;22.8;86.5;4.1;1.1;96.3;
2016-05-31;18;null;114.5;112.5;180.4;6.1;null;94;1014.5;996.2;31.2;25;21.4;86.8;5.1;1;96.3;
2016-06-30;18;null;91.3;50.1;204;4.9;null;2;1016.1;997.7;30.7;23.8;19.1;81.6;5.1;1.2;96.3;
2016-07-31;0;null;113.8;33;257.5;3.2;null;11.7;1014.2;995.9;34.9;25.2;18.7;74;7.2;1;96.3;
2016-08-31;0;null;129.5;38.1;223.1;4.3;null;30.6;1013.1;994.8;35.7;26.2;19.8;68.7;8.7;1.3;96.2;
2016-09-30;0;null;123.7;81.8;178.3;6;null;80.2;1013.8;995.4;33.7;25.8;20.8;76.4;5.1;1.3;96.2;
2016-10-31;0;null;144.2;144.2;175.8;6.9;null;211.3;1010.6;992.5;33.8;26.6;22.8;81.4;4.1;1.2;96.3;
2016-11-30;0;null;137.2;137.2;160.1;7;null;169.9;1009.7;991.6;32.7;26.4;22.7;84.6;4.1;1.2;96.3;
2016-12-31;0;null;141.3;141.3;132.3;7.9;null;219.3;1010.2;992.3;31.5;26.1;23.2;87.8;4.1;1.2;96.4;
2017-01-31;0;35.2;125.8;125.8;101.7;8.7;null;405.2;1011.8;993.7;30.3;25.5;22.7;94.5;3;.5;40.1;
2017-02-28;36;null;117.5;117.5;112;7.4;null;236.5;1011;992.8;31.3;25.7;23;94;4.1;1;94.7;
2017-03-31;0;null;130.7;130.7;149.2;8.1;null;419.8;1011.2;993.1;31.6;25.9;23.1;89.7;4.1;.9;96.2;
2017-04-30;0;null;117.5;117.5;145.8;7.4;null;205.3;1012.3;993.9;31.4;25.6;22.5;88.9;4.1;1;96.3;
2017-05-31;0;null;126.6;123.7;175.6;6.7;null;101.6;1012.5;994.3;32.1;26.1;23;88.4;3.1;.8;96.2;
2017-06-30;0;null;93.8;64;194.5;4.7;null;25.4;1014;995.6;31.1;24;19.5;86.4;7.2;.9;96.2;
2017-07-31;0;null;91;43.7;244.7;2.3;null;24.6;1015.8;997.4;33;23.4;17.3;78.2;5.1;.8;96.4;
2017-08-31;0;null;131.1;73.4;223.3;4.4;null;63.4;1012.5;994.3;34.7;26.2;20.7;76.5;5.1;1.1;96.4;
2017-09-30;0;null;134.6;88.5;170;6;null;84.4;1012.5;994.3;34.4;26.4;22;78.3;5.1;1;96.2;
2017-10-31;36;null;144.1;112.7;193.4;6.5;null;110.9;1010.6;992.5;33.8;26.8;22.9;81.6;5.1;1.3;96.3;
2017-11-30;36;null;142.2;142.2;143.9;7.9;null;213.2;1009.4;991.3;32.5;26.6;23.3;85.6;10.3;1.3;96.3;
2017-12-31;36;null;137.9;137.9;121.7;8.1;null;354.2;1009.9;991.7;31.6;26;23.2;87.3;7.2;1.3;96.3;
2018-01-31;0;null;132.3;132.3;132.7;8.4;null;286.6;1011.1;992.9;31.4;25.9;22.9;94;2.1;.5;96;
2018-02-28;0;null;117.5;117.5;90.5;7.9;null;467.7;1011;992.6;31;25.8;23.1;94;3.1;1.1;96;
2018-03-31;0;null;132.3;130.8;159.4;7.5;null;104.1;1010.7;992.8;31.8;25.9;22.7;88;3.1;1.1;96.3;
2018-04-30;0;null;120.4;120.4;140.5;7.6;null;359.2;1012.1;994.2;31.6;25.8;22.6;88.7;5.1;1;96.2;
2018-05-31;0;null;110.2;110.1;175.6;5.8;null;105;1013.7;995.4;30.9;24.9;21.5;87.5;5.1;1.1;96.3;
2018-06-30;0;null;75.2;63.2;157.4;5.9;null;26.7;1016.4;997.8;29;22.4;18.1;85.8;5.1;1;96.4;
2018-07-31;0;null;97.3;36.3;256;3;null;0;1014.7;996.3;32.7;24;18.2;76.1;7.2;.9;96.4;
