Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;69.7;143.8;143.8;102.2;7.8;21;209.4;978.4;30.3;25.2;21.9;82.1;4.3;1;53.1;null;
2012-02-29;0;68;129.2;129.2;117.3;7.2;17;213.9;978.1;30.8;25.1;21.6;83;3.5;.9;56.9;null;
2012-03-31;0;66.8;140;140;160.4;5.9;21;172.8;978.4;32.2;25.8;21.8;82.5;2.3;.8;60.1;null;
2012-04-30;0;88.5;136.3;113.7;218.7;4;8;54.5;978;33.6;26.6;21.5;75.4;3.6;.9;61;null;
2012-05-31;14;137;136.7;72.7;253.4;3.6;4;44.5;979.3;34;26.2;20.4;68.8;3.6;1.1;62.7;null;
2012-06-30;0;177;138.8;14;273.5;3;0;0;980.5;34.4;25.2;17.9;64.3;3.1;.9;62.3;null;
2012-07-31;14;215.4;132;3.4;302.8;2;0;0;980.7;34.8;24.7;16.3;58.4;5;1.3;63.2;null;
2012-08-31;9;272.5;136.9;.9;null;2.8;0;0;981.7;34.9;25.7;17.8;48.8;4.6;1.9;62.7;null;
2012-09-30;null;308;142.2;.2;156.2;5.1;0;0;979.9;37.5;27.8;19.6;46;7.3;1.7;53.8;null;
2012-10-31;0;254.5;157.5;24.7;244.9;5.3;4;26.8;976.9;38;30;23.5;52.8;4.6;1.6;61;null;
2012-11-30;18;93.8;143.6;143.6;121.5;7.9;21;245.3;977.3;32.7;26.8;23.2;79.3;4.6;1.2;57.6;null;
2012-12-31;36;91.4;155.2;155.1;196;5.8;15;151.7;977.1;33.7;27.1;22.5;75.3;3.1;1;59.8;null;
2013-01-31;18;73.6;147.3;147.3;150.7;6.7;21;286.7;978.6;31.6;26.1;22.5;81.9;5;1;57.4;null;
2013-02-28;0;87.6;134.2;105.7;173.9;5.4;10;47.8;977.3;33.3;27;22.7;78.6;4;.8;60.8;null;
2013-03-31;0;75;145;145;178.7;6.3;1;190;978.1;33;26.8;22.8;80.7;3.3;.9;58.7;null;
2013-04-30;0;71.9;136.1;127;184.2;5.3;null;101.7;979;32.5;26.5;22.4;80.3;4;.9;60.1;null;
2013-05-31;0;110;139.3;83.9;247.7;4.2;null;46.5;979.5;33.4;26.6;21.7;77;3.3;1.1;62.2;null;
2013-06-30;0;133.7;131.6;37.3;267.8;3.1;null;21;980.1;34.1;26;20;71.5;5.3;1.1;62.4;null;
2013-07-31;0;177.8;146.5;6.2;295.7;2.2;null;0;981;34.5;25.5;18.1;59.4;5;1.4;64.3;null;
2013-08-31;14;228.6;141.5;1.4;304;2.6;null;0;979.8;36;26.2;17.3;52;4.6;1.5;63.3;null;
2013-09-30;14;248.5;145.3;1.3;275.7;4.1;null;9.2;978.6;37.6;28.7;20.9;46.9;4.1;1.6;56.8;null;
2013-10-31;9;189.7;153.2;69.6;221.4;5.6;null;69.2;978;35.8;28.7;22.7;57.9;4.3;1.6;60;null;
2013-11-30;14;118;145;145;187.6;6.4;null;181.7;976.8;33.7;27.1;22.4;71.3;4.6;1.3;57.8;null;
