Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;113.5;146.4;43.6;210.5;6.1;10;43.6;953.5;32.6;25.6;19.9;69.5;3.3;1.6;29.9;null;
2012-02-29;9;115;132.7;45.3;219.1;5.1;11;45.3;953.5;32.2;25.2;19.2;71;3.3;1.6;31.4;null;
2012-03-31;9;154.5;148;4.7;296.3;2.6;4;5.2;953.6;34.9;27.3;20.2;59.6;3.3;1.6;31.5;null;
2012-04-30;9;172.5;140.4;0;306.3;1.9;0;0;953.7;35.4;27.4;19.5;55.6;3.3;1.7;30;null;
2012-05-31;9;177.5;139.8;0;301.2;1.9;0;0;955.4;34.2;26.6;18.9;57.3;3.3;1.7;30;null;
2012-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-07-31;9;173;133.1;2.2;326.6;1.6;0;0;957.1;32.1;24.7;17.2;63.7;3.3;2;29.7;null;
2012-08-31;9;178.5;132.4;.6;318.9;2;0;0;958.4;31.6;24.2;16.5;63.3;4;2.3;30;null;
2012-09-30;9;174;137.8;.2;315;1.9;0;0;957.2;34.4;26.6;18.4;58.8;4;2.1;30.7;null;
2012-10-31;9;179;151.7;0;321.4;1.9;0;0;954.1;35.4;28.3;20.6;58.7;3.3;2;31.7;null;
2012-11-30;9;137;142.2;78.8;201.8;7.5;11;75.2;953.3;32.5;26.2;20.7;74.3;3.3;1.4;29.3;null;
2012-12-31;9;147;151.2;28.2;277.8;4;3;28.2;952.8;34;26.9;19.8;65;3.3;1.4;29.4;null;
2013-01-31;9;121;145.6;145.6;170.5;6.7;16;182.2;954.1;31.7;25.4;20.2;81.3;4;1.3;31.8;null;
2013-02-28;9;161;136.3;28;263.4;3.5;1;.8;952.9;34.2;27.2;20;63;3.3;1.4;30;null;
2013-03-31;9;160.5;145.4;117.3;221.3;5.6;9;114.8;953.8;33.4;26.5;20.6;75.3;3.3;1.2;31.7;null;
2013-04-30;9;130;132.7;86.6;215.1;4.8;7;83.9;954.9;31.2;25.2;19.7;71.9;3.3;1.2;30;null;
2013-05-31;9;136.3;135.1;18.6;251.9;2.9;1;15.6;955.8;32.3;25.4;18.9;64.3;3.3;1.4;30;null;
2013-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-07-31;9;168;132.6;1.8;291.2;2.1;1;1.8;957.6;32;24.6;16.9;58.7;3.3;1.7;30.3;null;
2013-08-31;null;null;null;null;null;null;null;null;956.9;32.7;25;16.9;56.4;3.3;null;null;null;
2013-09-30;9;206.5;139.2;0;305.8;1.8;null;0;956.1;34.6;26.9;19.1;53.5;4;2;32.8;null;
2013-10-31;9;216;148.5;50.6;298.2;3.9;3;50.6;954.9;34.7;27.5;20.1;53.7;3.3;2;30;null;
2013-11-30;9;153;142.5;111.4;215.1;4.8;9;111.4;953.3;33.4;26.3;19.5;65.8;3.3;1.8;30.7;null;
2013-12-31;9;103.5;142.1;142.1;173.6;6.4;15;253.8;953.9;29.9;24.5;19.2;79.5;3.3;1.1;29.8;null;
2014-01-31;9;148;145.9;77.8;255.1;3.8;null;1.4;954.1;32.6;25.6;18.4;65.8;3.3;1.5;30;null;
2014-02-28;9;127;129.7;114.7;158;6;null;110.6;953.7;31.6;25.4;19.7;71.4;3.3;1.3;31.3;null;
2014-03-31;9;126.5;137.1;89.9;216.2;6.3;null;81.6;954.3;30.7;24.5;19;78.6;3.3;1.1;29.4;null;
2014-04-30;9;131;129.1;129.1;232.3;4.2;null;185.4;955.1;30.4;24.2;18.4;77.8;3.3;.9;31.2;null;
2014-05-31;9;155;129.7;61.7;264.3;3.3;null;15.8;955.5;30.9;23.8;16.8;68.2;3.3;1.1;31.2;null;
2014-06-30;9;170.5;126.1;15.5;288;2.3;null;0;956.9;32.2;24.1;15.7;60.5;3.3;1.5;34.9;null;
2014-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-08-31;9;195;133.8;1.9;318.7;1.9;null;1.2;957.8;32.7;24.6;16;54.9;3.3;1.5;30.3;null;
2014-09-30;9;260;137.7;.2;284;1.9;null;0;956;34.5;26.5;18.1;55.3;3.3;1.5;29.8;null;
2014-10-31;9;266;148.1;12.2;280.9;3;null;12.2;955.2;34.5;27.4;19.7;58.9;3.3;1.6;30;null;
2014-11-30;9;174.5;141.7;83.2;231.2;5.4;null;83.2;954.1;32.9;26.2;19.2;68.8;3.3;1.1;30;null;
2014-12-31;9;157.5;142.9;87.3;211.3;5.6;null;87.3;954.7;30.7;25.2;20.9;77.6;2;1;30;null;
2015-01-31;9;179.5;149.4;35.6;294.9;3.3;null;35.6;955.3;33.9;26.9;21.5;65.9;2;1.3;30;null;
2015-02-28;9;132;129.3;72;204.2;6.2;null;72;955;32;25.4;19.3;69.3;2;1.1;30;null;
2015-03-31;9;153;139.7;50.3;216.6;5.4;null;51;954.7;31.7;25.1;18.9;69.4;2;1;30;null;
2015-04-30;9;171;134.5;101.7;242;3.8;null;101.7;955;32.9;25.7;19.5;69.5;2;1;30;null;
2015-05-31;9;173;134.7;30.8;261;4;null;30.8;956.4;32;25.2;18.9;64;2;1.3;30;null;
2015-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-07-31;9;178;134.4;7.4;285.2;2.8;null;0;957.9;32.4;25.1;18.3;54.5;3.3;1.5;31.5;null;
2015-08-31;9;187.5;136.7;1.9;310;2;null;0;957.5;33.1;25.4;18.1;49.5;2.7;1.3;29.1;null;
2015-09-30;9;225;140.9;.5;314.8;1.7;null;0;956.1;35.7;27.4;18.4;44.4;2;1.3;30;null;
2015-10-31;9;266;152.3;21.7;302.7;2.6;null;21.6;955.5;36;28.5;19.8;46.8;2;1.4;30;null;
2015-11-30;9;240;150.3;61.8;258.2;3.9;null;61.8;953.6;35.9;28.4;20.3;48.1;2;1.2;29.3;null;
2015-12-31;9;232;158;4.4;284.5;3.7;null;4.4;954.7;36.2;28.6;20.1;43.9;2;1.3;30;null;
2016-01-31;9;121.5;142.3;142.3;112.8;7.5;null;295.7;955.1;29.6;24.5;19.4;74.6;2;.9;30;null;
2016-02-29;9;158;133.5;97.4;282.5;3.3;null;34.6;955.6;31.6;25.2;18;64.6;2;1.2;31.3;null;
2016-03-31;9;203.5;147.1;46;256.6;3.5;null;19.2;955.6;34.7;27.1;19.3;54.6;2;1.2;29.4;null;
2016-04-30;9;187.5;139.2;14.5;253.1;2.6;null;6.9;956.3;34.9;27;18.9;50.5;2;1.2;30;null;
2016-05-31;9;192;138.6;2.1;260.9;2.2;null;0;956.2;34.2;26.3;17.8;49.1;2;1.3;31.2;null;
2016-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
