Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.62583332
Longitude: -42.07722221
Altitude: 397.39
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;null;180.7;8.2;263.2;5;2;8.2;965.1;32.9;28.2;24;57;6.6;2.2;48.3;null;
2012-02-29;0;null;149.5;79.3;237.9;4.7;7;79.3;965.2;31.6;27.3;23.4;62.1;6.5;1.9;48.3;null;
2012-03-31;0;null;188.4;15.6;296.6;3.5;2;15.6;965.2;33.5;28.8;24.1;55.4;4.6;1.7;48.5;null;
2012-04-30;0;null;180.4;0;308.6;2.6;0;0;965.5;33.7;28.9;24.3;52.5;5.1;1.3;49.1;null;
2012-05-31;0;null;154.1;0;299.1;3.1;0;0;967.1;32.2;27.6;23.5;56.8;6.6;1.9;48.5;null;
2012-06-30;0;null;128.7;0;299.5;2.5;0;0;968.7;31.1;26.6;22.9;57.2;5.3;1.6;48.5;null;
2012-07-31;14;null;114.2;0;317.4;2.5;0;0;969.3;30.6;25.6;21.3;57.3;5.8;2.2;48.3;null;
2012-08-31;0;null;109.5;0;304.8;2.7;0;0;970.4;30.7;25.1;20.3;54.5;6;2;48.5;null;
2012-09-30;0;null;146.1;0;295.1;2.3;0;0;969.1;33;27.2;22.2;47.8;5;1.3;48.3;null;
2012-10-31;14;null;183.6;0;324.9;2.1;0;0;966.1;34.3;28.5;23.3;45.6;9.1;3.2;48.3;null;
2012-11-30;14;null;167.3;106.4;188.6;5.4;9;106.4;964.2;32.9;27.9;23.8;64.1;6;2.5;49.1;null;
2012-12-31;null;null;179;16.1;null;3.6;3;null;964.3;34.1;28.1;23.2;59.2;null;null;46.9;null;
2013-01-31;null;null;173.6;47.4;187.5;6;7;47.4;964.8;33;27.8;24;65.6;null;null;48.3;null;
2013-02-28;null;null;169.2;0;278.2;3.7;0;0;964.3;35.1;29.1;24.6;55.4;null;null;48.3;null;
2013-03-31;null;null;193.4;78.3;263.5;4.4;6;78.3;964.6;34.7;29;24.4;58.7;null;null;48.5;null;
2013-04-30;null;null;148.1;89.1;238.8;4.9;7;87.1;965.8;32.5;27.6;23.6;63.8;null;null;49;null;
2013-05-31;null;null;144.1;0;251;4.8;null;0;967;32.2;27.1;23.4;61.1;null;null;48.3;null;
2013-06-30;null;null;128.8;0;279.8;3.4;null;0;968;31.7;26.6;22.5;59.3;null;null;49;null;
2013-07-31;null;null;117.5;1.6;293.2;2.9;2;1.6;969.2;31.5;25.7;21.3;58.6;null;null;51.6;null;
2013-08-31;null;null;116.1;0;322.3;2.5;null;0;968.4;31.9;25.9;21.1;58;null;null;48.7;null;
2013-09-30;null;null;142.1;0;318.2;2.3;null;0;968.1;33.6;27.1;22.2;55.2;null;null;48.3;null;
2013-10-31;null;null;178.7;9.8;316.8;3.3;3;9.8;null;34.6;28.3;23.5;51.3;null;null;48.3;null;
2013-11-30;null;null;165;68.4;243.1;4.7;7;68.7;null;33.3;27.8;23.4;57.3;null;null;48.3;null;
2013-12-31;null;null;134.2;134.2;189.6;5.9;13;219.9;964.9;30.2;25.9;22.3;74.7;null;null;48.3;null;
2014-01-31;null;null;164.6;69.2;296.6;3.7;null;0;965.7;32.5;27.6;23.4;60.9;null;null;49;null;
2014-02-28;null;null;146.3;77.2;199.3;5.1;null;68.2;965.2;32;27.5;23.6;64.6;null;null;47.6;null;
2014-03-31;null;null;156.7;79.6;248;5.1;null;75.4;965.6;32.1;27.4;23.6;67.5;null;null;48.5;null;
2014-04-30;null;null;130.8;130.8;241.5;4.5;null;173.7;966.2;30.6;26.5;22.7;70.8;null;null;48.3;null;
2014-05-31;null;null;127.1;33.6;277.9;3.8;null;.4;967.7;30.2;26.2;22.6;65.9;null;null;49.5;null;
2014-06-30;null;null;110.1;8.7;277.2;3;null;0;969.6;30.5;25.5;21.6;63;null;null;48.3;null;
2014-07-31;null;null;106.1;6;281.1;3.7;null;3.2;971.6;29.9;25.1;21.3;62.2;null;null;49;null;
2014-08-31;null;null;111.1;4.6;328.6;2.3;null;3.6;970.8;30.6;25.3;20.8;58.2;null;null;46.8;null;
2014-09-30;null;null;138.2;.4;304;2.6;null;0;969.1;32.9;26.9;22;56;null;null;48.5;null;
2014-10-31;null;null;162.9;.1;299.7;3.7;null;0;967.9;33.3;27.7;23.3;55.1;null;null;48.3;null;
2014-11-30;null;null;158.5;61.8;244.3;4.8;null;61.8;966.3;32.9;27.5;23.2;63.7;null;null;48.6;null;
2014-12-31;null;null;144;144;205.2;5.3;null;151;967.3;31.2;26.5;22.7;67.5;null;null;48.5;null;
2015-01-31;null;null;171.3;6.4;298.9;4.1;null;1.3;967.9;33.6;27.9;23.3;57.4;null;null;48.3;null;
2015-02-28;null;null;144.3;38.5;181.7;6.1;null;37.5;967.2;33;27.5;23.5;64.1;null;null;49.1;null;
2015-03-31;null;null;174.3;26.5;256;5.2;4;26.8;966.9;33.5;28.3;23.7;58.5;null;null;48.3;null;
2015-04-30;null;null;156.3;81.5;265.1;4.5;null;81.4;967.2;33.1;27.9;23.4;62.9;null;null;48.5;null;
2015-05-31;null;null;144.1;.5;271.2;4.9;null;.5;968.6;32.3;27.1;22.6;59.4;null;null;48.3;null;
2015-06-30;null;null;116.6;.1;270.1;3.7;null;.1;970.5;31.4;26;21.5;57.5;null;null;48.3;null;
2015-07-31;null;null;114.2;1.8;295.7;3.3;null;1.8;970.7;31.4;25.6;20.7;55.9;null;null;48.3;null;
2015-08-31;null;null;119.5;0;326;2.5;null;0;970.4;31.8;25.8;20.8;50.7;null;null;48.3;null;
