Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;null;174.9;.3;271.9;5.2;0;0;982.2;35;28;22.7;57.6;9;4.5;50.6;null;
2012-02-29;9;null;149.6;57.5;239.3;5.3;2;57.5;982.3;33.7;27.4;22.5;62.4;7.7;4.5;49.1;null;
2012-03-31;14;null;164.7;0;289.8;4.2;0;0;982.8;34.6;27.8;22.6;59.5;7.5;4.5;50.6;null;
2012-04-30;14;null;150.1;0;285.4;4.2;0;0;982.8;34;27.5;22.3;59.4;7;4;50.3;null;
2012-05-31;14;null;134;18.4;262.3;5.1;5;18.4;984.7;32.1;26.5;21.7;64.9;6.7;3.8;49.2;null;
2012-06-30;14;null;105.2;20.3;212.4;5;8;20.3;986.1;30.8;25.3;21.2;68.5;6.7;4.4;49;null;
2012-07-31;14;null;84.4;41;164.7;6.3;15;41;987.2;28;23.2;19.7;77;8;3.9;45.7;null;
2012-08-31;9;null;89.7;27.1;228.6;5.8;19;27.4;988.5;28.8;23.2;19.3;73.3;8.3;4.5;49.4;null;
2012-09-30;9;null;108.2;14.9;257.3;4.3;5;14.9;987.2;31.4;24.9;19.8;63.3;8.3;4.8;50.7;null;
2012-10-31;9;null;null;null;272.4;4.4;2;1.6;984.3;32.5;25.9;21;62.8;8.7;4.6;49.5;null;
