Nome: PAO DE ACUCAR
Codigo Estacao: 82990
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.86
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-02-29;14;null;141.1;60.2;202.1;6.6;2;48.1;1010.3;35.2;28.3;23.2;72.4;5;2.6;65.9;null;
2012-03-31;14;null;151.2;9.7;231.4;6.3;2;3.6;1010.2;36.7;28.9;23;67.3;5;2.2;66.7;null;
2012-04-30;14;null;143.2;3.5;null;6;2;null;1010.3;36.5;29;23;66.3;5;1.5;68.2;null;
2012-05-31;14;null;141.7;38.8;null;6.6;8;38.5;1012.7;33.6;27.5;21.9;71.3;5;2;62.4;null;
2012-06-30;0;121.3;131.6;41.1;154.8;7.2;6;41;1014.5;31.2;26;20.9;79.4;5;1.2;60.9;null;
2012-07-31;0;86.5;130;71;128.4;7.6;18;71;1014.5;29.3;23.9;20;86.9;3;.9;51.1;null;
2012-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-09-30;14;175.5;138.3;50;201.2;6.5;7;21;1014.9;33.7;26.4;20.1;68.9;5;1.7;66.3;null;
2012-10-31;14;null;149.3;16.3;219.5;6.4;3;6.4;1012.4;34.5;27.7;21.4;63.4;5;2.1;64.8;null;
