Nome: MACEIO
Codigo Estacao: 82994
Latitude: -9.55138888
Longitude: -35.77083332
Altitude: 84.12
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-04-07
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;149;149;null;7.6;12;189.9;1004.3;30;26.2;22.5;81.2;null;null;83.6;null;
2012-02-29;null;null;132.1;85.5;null;7.7;10;67.8;1003.8;29.8;26.4;22.8;80.1;null;null;83.2;null;
2012-03-31;null;null;136.6;136.6;null;7.5;6;139.9;1004.3;30.4;26.4;22.8;79.6;null;null;82.2;null;
2012-04-30;null;null;125.9;85.5;null;7.2;10;56.6;1004.4;30.1;26.2;22.2;80.5;null;null;84;null;
2012-05-31;null;null;127.6;110.6;null;7.4;12;85.3;1005.4;30;26.1;22.6;81.6;null;null;84;null;
2012-06-30;null;null;110.2;110.2;null;8;23;272.8;1007;28.2;24.9;22.3;84.7;null;null;83;null;
2012-07-31;null;null;109.9;109.9;null;7.9;22;271.3;1007.3;27.8;24.4;22;85.5;null;null;83.1;null;
2012-08-31;null;null;101.6;101.6;null;7.6;21;154.4;1009.1;27.6;24.1;21.2;85.1;null;null;83.4;null;
2012-09-30;null;null;106.2;81.7;null;7.1;9;27;1008.5;28.3;25.1;21;81.7;null;null;84;null;
2012-10-31;null;null;129.8;90.2;null;7.2;11;69.8;1005.9;29;25.6;21.8;81.5;null;null;84;null;
2012-11-30;null;null;147.2;19.1;null;7.2;null;0;1003.6;31.3;27;22.7;77.1;null;null;84;null;
2012-12-31;null;null;155.3;18.1;null;7;6;13.8;1003.5;31.1;26.9;22.9;78.3;null;null;84;null;
2013-01-31;null;null;149;64.2;null;7;8;63.6;1004;31.3;26.8;22.7;79.1;null;null;83.4;null;
2013-02-28;null;null;146.2;12.8;null;7.2;4;12.4;1003.8;31.9;27.5;23.2;76.9;null;null;84;null;
2013-03-31;null;null;156.8;30.2;null;6.8;1;25.6;1003.8;32.1;27.5;23.4;77;null;null;84;null;
2013-04-30;null;null;139.3;139.3;null;7.1;null;174.4;1004.2;31.1;26.8;23.3;80.5;null;null;84;null;
2013-05-31;null;null;119.7;119.7;null;7.7;null;266.3;1005.3;29.3;25.6;22.5;83.5;null;null;82.9;null;
2013-06-30;null;null;107.3;107.3;null;7.5;null;252.3;1006.3;28.8;25.2;22.2;85.1;null;null;83.3;null;
2013-07-31;null;null;118.9;118.9;null;8;null;388.8;1007.4;27.5;24.3;21.7;88.1;null;null;81.6;null;
2013-08-31;null;null;105.8;105.8;null;7.7;null;174.9;1007.4;27.7;24.4;21.6;85.9;null;null;83.8;null;
2013-09-30;null;null;109.1;107.5;null;7.5;null;97.4;1007.8;28.5;25;21.6;80.3;null;null;83.6;null;
2013-10-31;null;97.5;126.4;126.4;203.4;7.4;null;218.6;1006.4;29.6;25.5;21.8;80.7;null;null;74.5;null;
2013-11-30;null;95.3;123.1;122.3;217.5;7.5;null;111.7;1004.7;29.6;25.6;21.9;83;null;null;64.4;null;
2013-12-31;null;102.7;135.2;74.1;234;6.9;null;11.4;1003.7;31;26.3;22.4;82.2;null;null;65.7;null;
2014-01-31;null;115.6;143.5;67.5;249.9;7.7;null;52.1;1004.8;30.8;26.4;22.3;78.9;null;null;63.4;null;
2014-02-28;null;null;132.5;118.8;null;7.8;null;117.4;1003.5;30.7;null;null;null;null;null;82.5;null;
2014-03-31;null;96.2;149.2;58.9;null;7.5;null;53.5;1004.2;30.9;null;null;null;null;null;84;null;
2014-04-30;null;98.2;130.9;130.9;null;7.7;null;152.9;1004.2;30.8;null;22.9;null;null;null;83.2;null;
2014-05-31;null;87.6;115;115;162.1;8.4;null;396.4;1004.9;29;25.4;22.3;85.7;null;null;73.4;null;
2014-06-30;null;78.3;107.3;107.3;184.7;8.3;null;181.4;1006.7;29;25.1;22.2;86.2;null;null;70.1;null;
2014-07-31;null;82.3;105.5;105.5;198.7;8.2;null;223.3;1008.9;27.9;24.5;21.9;85.9;null;null;69.2;null;
2014-08-31;null;83.8;110.2;110.2;null;7.8;null;162.6;1008.7;28.4;24.9;21.7;83.9;null;null;75.6;null;
