Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 347.1
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;131.7;131.7;null;null;14;197.4;null;28.1;null;19.8;null;null;null;null;null;
2012-02-29;null;null;118.6;84.1;null;null;5;22.2;null;31.2;null;20.9;null;null;null;null;null;
2012-03-31;null;null;120.6;120.6;null;null;11;244.9;null;29.1;null;20;null;null;null;null;null;
2012-04-30;null;null;110;110;null;null;10;124;null;26.6;null;19.3;null;null;null;null;null;
2012-05-31;null;null;108;108;null;null;12;277.9;null;24.2;null;16.3;null;null;null;null;null;
2012-06-30;null;null;101.7;101.7;null;null;12;281.6;null;24.4;null;17.3;null;null;null;null;null;
2012-07-31;null;null;106.4;106.4;null;null;8;112.2;null;24.1;null;16.2;null;null;null;null;null;
2012-08-31;null;null;111.3;83.5;null;null;3;26.2;null;24.1;null;15.7;null;null;null;null;null;
2012-09-30;null;null;114.1;114.1;null;null;6;202.7;null;25.2;null;16.6;null;null;null;null;null;
2012-10-31;null;null;124.6;124;null;null;6;113.1;null;28.3;null;18.6;null;null;null;null;null;
2012-11-30;null;null;126.1;126.1;null;null;18;182.4;null;25.3;null;18.6;null;null;null;null;null;
2012-12-31;null;null;133;102.8;null;null;7;43.7;null;31.9;null;21.9;null;null;null;null;null;
2013-01-31;null;null;131.7;131.7;null;null;21;582.1;null;27.9;null;20.2;null;null;null;null;null;
2013-02-28;null;null;114.5;112.9;null;null;7;96.2;null;30.7;null;21.9;null;null;null;null;null;
2013-03-31;null;null;120.8;120.8;null;null;19;448.6;null;27.7;null;20.6;null;null;null;null;null;
2013-04-30;null;null;110.2;110.2;null;null;8;140.6;null;25.8;null;18.2;null;null;null;null;null;
2013-05-31;null;null;108.2;108.2;null;null;11;315.2;null;24.3;null;16.7;null;null;null;null;null;
2013-06-30;null;null;101.8;101.2;null;null;8;91;null;24.2;null;16.9;null;null;null;null;null;
2013-07-31;null;null;106.3;106.3;null;null;12;353.5;null;22.6;null;14.9;null;null;null;null;null;
2013-08-31;null;null;111.1;110.9;null;null;8;105.9;null;24.1;null;15.6;null;null;null;null;null;
2013-09-30;null;null;113.9;113.9;null;null;10;205.9;null;25;null;16.7;null;null;null;null;null;
2013-10-31;null;null;124.4;124.4;null;null;12;155.4;null;25.1;null;17.8;null;null;null;null;null;
2013-11-30;null;null;126;126;null;null;14;251.3;null;26.5;null;18.7;null;null;null;null;null;
2013-12-31;null;null;133;133;null;null;12;332.8;null;27.9;null;20.2;null;null;null;null;null;
2014-01-31;null;null;131.7;122.5;null;null;null;85.5;null;32.4;null;21.6;null;null;null;null;null;
2014-02-28;null;null;114.5;104.5;null;null;null;91.5;null;32;null;21.9;null;null;null;null;null;
2014-03-31;null;null;120.8;107.4;null;null;null;96.7;null;29.3;null;20.8;null;null;null;null;null;
2014-04-30;null;null;110.2;110.2;null;null;null;289.4;null;26.7;null;18.5;null;null;null;null;null;
2014-05-31;null;null;108.2;108.2;null;null;null;134.2;null;25.2;null;16.8;null;null;null;null;null;
2014-06-30;null;null;101.8;101.8;null;null;null;154.2;null;24.8;null;16.8;null;null;null;null;null;
2014-07-31;null;null;106.3;106.3;null;null;null;229.4;null;22.9;null;15.6;null;null;null;null;null;
2014-08-31;null;null;111.1;111.1;null;null;null;160.2;null;24.3;null;15.3;null;null;null;null;null;
2014-09-30;null;null;113.9;102.4;null;null;null;62.2;null;26.5;null;17;null;null;null;null;null;
2014-10-31;null;null;124.4;77.6;null;null;null;55.5;null;27.7;null;17.4;null;null;null;null;null;
2014-11-30;null;null;126;111.1;null;null;null;106.3;null;27.2;null;19;null;null;null;null;null;
2014-12-31;null;null;133;119.4;null;null;null;115.9;null;30.7;null;20.7;null;null;null;null;null;
2015-01-31;null;null;131.7;121.6;null;null;null;119.4;null;33;null;21.9;null;null;null;null;null;
2015-02-28;null;null;114.5;114.5;null;null;null;155.9;null;30.6;null;21.4;null;null;null;null;null;
2015-03-31;null;null;120.8;120.8;null;null;null;217.1;null;28.3;null;20.4;null;null;null;null;null;
2015-04-30;null;null;110.2;110.2;null;null;null;124.4;null;26.3;null;18.8;null;null;null;null;null;
2015-05-31;null;null;108.2;107.1;null;null;null;92.8;null;24.5;null;17;null;null;null;null;null;
2015-06-30;null;null;101.8;101.8;null;null;null;260.3;null;23.9;null;16.5;null;null;null;null;null;
2015-07-31;null;null;106.3;101.2;null;null;null;72.5;null;24.9;null;16.9;null;null;null;null;null;
2015-08-31;null;null;111.1;66.9;null;null;null;26;null;26.1;null;16.5;null;null;null;null;null;
2015-09-30;null;null;113.9;113.9;null;null;null;190.7;null;26.7;null;18.5;null;null;null;null;null;
2015-10-31;null;null;124.4;123;null;null;null;107.2;null;27.4;null;19.1;null;null;null;null;null;
2015-11-30;null;null;126;126;null;null;null;199.7;null;27.3;null;20.3;null;null;null;null;null;
2015-12-31;null;null;133;132.7;null;null;null;125.9;null;30.8;null;21.7;null;null;null;null;null;
2016-01-31;null;null;131.7;131.7;null;null;null;392.7;null;27.6;null;20.8;null;null;null;null;null;
