Nome: MUNIZ FREIRE
Codigo Estacao: 83013
Latitude: -20.46583333
Longitude: -41.41194444
Altitude: 530
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2024-04-27
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;78;null;null;null;null;12;129.5;null;29.5;null;18.5;null;null;null;null;null;
2012-02-29;null;140.5;null;null;null;null;4;26.4;null;32.2;null;18.5;null;null;null;null;null;
2012-03-31;null;93.5;null;null;null;null;11;99.3;null;30.8;null;18.6;null;null;null;null;null;
2012-04-30;null;72.1;null;null;null;null;12;102.3;null;29.3;null;17.6;null;null;null;null;null;
2012-05-31;null;48.4;null;null;null;null;12;97;null;24.8;null;15;null;null;null;null;null;
2012-06-30;null;65.2;null;null;null;null;4;34.9;null;26.1;null;15;null;null;null;null;null;
2012-07-31;null;107;null;null;null;null;1;5;null;26.2;null;13.2;null;null;null;null;null;
2012-08-31;null;80.9;null;null;null;null;11;64.6;null;24.8;null;13.5;null;null;null;null;null;
2012-09-30;null;134.4;null;null;null;null;5;43.7;null;28.4;null;14.6;null;null;null;null;null;
2012-10-31;null;150.8;null;null;null;null;7;92.1;null;29.7;null;17;null;null;null;null;null;
2012-11-30;null;85.2;null;null;null;null;18;290.2;null;26.6;null;17.5;null;null;null;null;null;
