Nome: MARIA DA FE
Codigo Estacao: 83015
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.36
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;47.5;null;null;146.3;8.2;22;287.1;null;25.5;18.8;14.3;83.2;3;1.7;null;null;
2012-02-29;9;57.9;null;null;202.9;7;11;74.1;null;27.7;20;14;79;3;1.3;null;null;
2012-03-31;36;40.8;null;null;203.6;6.5;17;141.7;null;26.5;18.9;12.8;80;3;1.3;null;null;
2012-04-30;36;41.7;null;null;163.6;5.9;9;108.8;null;25.3;17.9;12.7;82.2;3;1.3;null;null;
2012-05-31;0;37;null;null;170.1;4.9;7;78.5;null;21.4;13.5;7.6;83;2;.8;null;null;
2012-06-30;9;34;null;null;127.4;6.2;9;94.6;null;21.4;14.2;9.3;86.6;3;1.3;null;null;
2012-07-31;0;49.1;null;null;210.8;3.4;4;41.8;null;22.2;12.1;5.4;80.9;3;.9;null;null;
2012-08-31;0;60.3;null;null;233.4;3.2;1;1.3;null;23.1;13.2;5.9;74.5;3;1.3;null;null;
2012-09-30;9;78;null;null;204.6;4.6;5;43.6;null;26;16.1;8.6;70.2;3;1.3;null;null;
2012-10-31;27;81.2;null;null;232.1;6.2;11;61.1;null;28.3;19.5;12.8;70;3;1.6;null;null;
2012-11-30;27;61.3;null;null;177.5;7;16;108.8;null;26.1;18.9;13;77.5;3;1.7;null;null;
2012-12-31;9;55.3;null;null;169.3;8.2;20;251;null;28.2;21.1;16;80.3;3;1.6;null;null;
2013-01-31;27;45;null;null;126;8.8;24;397.8;null;25.9;19.6;14.9;83.4;3;1.8;null;null;
2013-02-28;9;43.5;null;null;154;8.1;null;286.7;null;27.5;20.4;15.2;82.6;3;1.5;null;null;
2013-03-31;27;42;null;null;133;8;null;274.2;null;25.7;19.3;14.8;84;3;1.6;null;null;
2013-04-30;27;40.5;null;null;155;6.3;null;93.2;null;24;16.4;10.6;82.2;3;1.4;null;null;
2013-05-31;27;42;null;null;175.6;5.6;null;61.7;null;22.6;14.3;8.3;82.6;2;1.2;null;null;
2013-06-30;0;32.5;null;null;137.7;5.6;null;38.1;null;22.1;14.3;9;86.5;3;1.2;null;null;
2013-07-31;0;43.2;null;null;200.5;3.9;null;75.9;null;21.7;12.7;6.5;82.2;3;.9;null;null;
2013-08-31;0;64.5;null;null;240.6;3.5;null;27.4;null;23.8;13.3;6;75.1;3;1.3;null;null;
2013-09-30;36;65.3;null;null;202.1;5.3;null;73.5;null;24.9;16.2;9.3;73.5;3;1.6;null;null;
2013-10-31;27;54.7;null;null;187;7.1;null;145.1;null;24.9;17.2;11.7;78.2;3;1.9;null;null;
2013-11-30;27;50.5;null;null;176.8;7.5;null;204.4;null;25.6;18.8;13.6;79.3;3;1.9;null;null;
