Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;71.4;119.2;119.2;96.1;8.1;24;378.8;978.6;30.4;24.9;21.4;84.8;4.2;.9;55.6;null;
2012-02-29;0;94.2;116.9;116.9;132.2;7.1;17;247.8;978;31.5;25.4;21.5;79.2;3.2;.5;56;null;
2012-03-31;0;88.6;133.6;132.9;143.4;6.2;17;121;978.4;32;26.1;22.4;82.7;4.2;.7;54.7;null;
2012-04-30;0;120.4;142.6;127.4;213.7;4.7;13;92.8;978;33.6;27.1;22.6;76.3;9.8;.9;57.4;null;
2012-05-31;0;158.2;144.3;93.1;241.4;4.6;10;63.3;979.4;34;26.9;21.7;69;5.4;1;55.6;null;
2012-06-30;0;180.6;138.2;26.1;246.7;2.8;4;8.8;980.4;34.9;27.2;21.1;61.4;8.6;1.2;56.2;null;
2012-07-31;0;268.9;141.7;5;294.9;1.7;0;0;980.4;35.9;27.1;19.9;47.5;4.8;1.6;59;null;
2012-08-31;9;345.2;164.3;1.3;300.9;1.4;0;0;981;36.4;28.2;22.1;38.6;9;2.4;54;null;
2012-09-30;5;363.2;205.9;.3;241.8;3.4;0;0;979.6;38.1;30.2;23.9;39.1;9.6;1.7;54.2;null;
2012-10-31;0;262.2;201.9;31;226.5;4.5;10;31.3;977.2;37;29.5;24;56;3.8;1.2;57.5;null;
