Nome: ITARANA
Codigo Estacao: 83034
Latitude: -19.87423
Longitude: -40.872959
Altitude: 232.75
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;104.4;null;null;null;null;13;239.7;null;31;null;21.8;null;null;null;null;null;
2012-02-29;null;138.4;null;null;null;null;9;14.9;null;32.8;null;20.7;null;null;null;null;null;
2012-03-31;null;147.2;null;null;null;null;7;27.3;null;33.2;null;21.1;null;null;null;null;null;
2012-04-30;null;104.9;null;null;null;null;7;25.8;null;32.2;null;20.4;null;null;null;null;null;
2012-05-31;null;94.4;null;null;null;null;5;15.5;null;29.2;null;18.1;null;null;null;null;null;
2012-06-30;null;101.5;null;null;null;null;2;2.7;null;30;null;18.8;null;null;null;null;null;
2012-07-31;null;129.6;null;null;null;null;1;4.8;null;29.4;null;16.7;null;null;null;null;null;
2012-08-31;null;109.7;null;null;null;null;11;45.9;null;28.5;null;16.6;null;null;null;null;null;
2012-09-30;null;148;null;null;null;null;4;28.7;null;30.3;null;18.6;null;null;null;null;null;
2012-10-31;null;172.4;null;null;null;null;8;19.6;null;32;null;19.9;null;null;null;null;null;
2012-11-30;null;88.1;null;null;null;null;17;321.7;null;29.8;null;21.1;null;null;null;null;null;
2012-12-31;null;162.9;null;null;null;null;6;64.2;null;34.3;null;22.9;null;null;null;null;null;
2013-01-31;null;127.9;null;null;null;null;18;234.7;null;32.7;null;22.5;null;null;null;null;null;
2013-02-28;null;122.6;null;null;null;null;null;49;null;33.4;null;22;null;null;null;null;null;
2013-03-31;null;87.1;null;null;null;null;null;121.3;null;32.6;null;22.2;null;null;null;null;null;
2013-04-30;null;87.2;null;null;null;null;null;16;null;29.6;null;19.7;null;null;null;null;null;
2013-05-31;null;97;null;null;null;null;null;55.6;null;29.1;null;17.9;null;null;null;null;null;
2013-06-30;null;82.2;null;null;null;null;null;20.1;null;28.8;null;17.8;null;null;null;null;null;
2013-07-31;null;108.8;null;null;null;null;null;0;null;29;null;17.8;null;null;null;null;null;
2013-08-31;null;138.5;null;null;null;null;null;17;null;29.6;null;16.8;null;null;null;null;null;
2013-09-30;null;137.2;null;null;null;null;null;26;null;30.1;null;18.8;null;null;null;null;null;
2013-10-31;null;117.4;null;null;null;null;null;105;null;29.1;null;19.7;null;null;null;null;null;
2013-11-30;null;115.4;null;null;null;null;null;141.7;null;30.4;null;20.7;null;null;null;null;null;

