Nome: RIO BONITO
Codigo Estacao: 83048
Latitude: -22.7125
Longitude: -42.64666666
Altitude: 62
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2019-05-05
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;14;217;null;31.3;null;21.4;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;5;36.5;null;35;null;21.8;68.3;null;null;null;null;
2012-03-31;null;null;null;null;null;null;14;164.4;null;33.6;null;21.5;72.3;null;null;null;null;
2012-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-05-31;null;null;null;null;null;null;14;127.4;null;27.5;null;17.1;83.3;null;null;null;null;
2012-06-30;null;null;null;null;null;null;11;89.5;null;27.9;null;18.3;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;5;55.6;null;27.7;null;15.7;84;null;null;null;null;
2012-08-31;null;null;null;null;null;null;6;30.4;null;28.1;null;16.7;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;7;112.7;null;29.5;null;17.6;null;null;null;null;null;
2012-10-31;null;null;null;null;null;null;6;66.9;null;32.2;null;20.3;65.3;null;null;null;null;
2012-11-30;null;null;null;null;null;null;18;148.3;null;29.1;null;21;75.4;null;null;null;null;
2012-12-31;null;null;null;null;null;null;12;191.4;null;35.6;null;23.2;68.7;null;null;null;null;
2013-01-31;null;null;null;null;null;null;21;269.7;null;31.2;null;22.4;78.9;null;null;null;null;
2013-02-28;null;null;null;null;null;null;8;90;null;34.2;null;22.9;74.1;null;null;null;null;
2013-03-31;null;null;null;null;null;null;21;312.3;null;31.3;null;22.6;81.5;null;null;null;null;
