Nome: AVELAR (P.DO ALFERES)
Codigo Estacao: 83049
Latitude: -22.34749999
Longitude: -43.41777777
Altitude: 507
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;142.5;142.5;null;null;14;257.7;null;28.5;null;18.7;null;null;null;null;null;
2012-02-29;18;96.5;131.4;131.4;null;3.7;6;139.5;null;31.2;23.2;17.7;75.3;2;1.4;null;null;
2012-03-31;18;83.3;132.4;130.8;205.2;5.4;7;113.9;null;30;22.6;17.8;78.6;2;1.4;null;null;
2012-04-30;18;60.7;118.7;107.5;182.5;5.3;9;82.2;null;28.2;21.4;17.2;82.3;2;1.3;null;null;
2012-05-31;18;47.6;107.7;86.5;186.6;4.4;7;67.5;null;24.8;17.6;12.5;84.2;2;1.4;null;null;
2012-06-30;18;46.9;107.8;93.1;165.8;5.1;5;77.1;null;25.3;18.3;13.9;85.4;2;1.4;null;null;
2012-07-31;18;66.2;105.9;37.3;223.9;2.8;3;19.5;null;25.1;16.4;10.4;82.3;2;1.4;null;null;
2012-08-31;18;85.5;108.8;20.9;237.4;3.5;4;12.9;null;25.6;16.5;10;78.9;3;1.4;null;null;
2012-09-30;18;116.2;118.3;59.1;199.7;3.8;4;56.8;null;27.9;19.2;13;71;3;1.3;null;null;
2012-10-31;18;138.9;136.2;45.5;233.8;3.9;4;43.9;null;30.6;22;15.9;68.9;3;1.3;null;null;
2012-11-30;18;86.5;134.9;121.8;160.8;6.8;14;121.3;null;27.9;21.5;17.3;79.3;3;1.3;null;null;
2012-12-31;18;113.3;154.8;154.8;null;4.9;10;176.3;null;32.7;24.8;19.9;76.1;2;1.2;null;null;
2013-01-31;18;79.1;145.5;145.5;null;7.7;15;235.2;null;29;23.1;19.5;81.8;2;1.2;null;null;
2013-02-28;18;88.9;129.8;129.3;null;4.1;7;130.8;null;31.2;24;19.3;78;2;1.2;null;null;
2013-03-31;18;71.3;134.2;134.2;144.1;7.3;15;256;null;29.1;22.9;19.3;82.4;2;1.1;null;null;
2013-04-30;18;66.9;114.2;103.7;159.3;5.9;7;64.6;null;26.5;20.1;16;81.7;2;1.1;null;null;
2013-05-31;18;69;108.7;69.3;185.9;4.7;7;38.6;null;25.4;17.7;12.2;82.4;2;1.1;null;null;
2013-06-30;null;null;null;null;null;null;2;null;null;null;null;null;null;2;null;null;null;
2013-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;null;null;null;24.8;16.7;10.6;76.6;2;null;null;null;
2013-09-30;18;128.6;116.6;109.6;null;5.2;null;107.4;null;26.3;18.7;13.4;76.9;3;1.4;null;null;
2013-10-31;18;124.8;128.6;97.9;null;7.3;null;90.7;null;26.2;20;15.6;77.8;3;1.2;null;null;
2013-11-30;18;114.5;134;134;null;6.3;null;170.6;null;27.7;21.4;17.1;80.8;2;1.3;null;null;
2013-12-31;18;110.4;148.8;140.6;null;6.6;null;132.9;null;29.4;23.4;19.6;80.4;3;1.2;null;null;
2014-01-31;18;176.4;150.6;108.9;null;1.9;null;88.2;null;32.8;24.3;18.1;73;3;1.1;null;null;
2014-02-28;18;174.9;null;null;null;2.5;null;58.2;null;32.6;23.7;17.7;71.3;2;1.2;null;null;
2014-03-31;18;122.5;131.9;111.5;null;5.5;null;96.7;null;29.8;22.4;17.6;80.3;2;1.2;null;null;
