Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;58.1;174.2;174.2;86.5;8.5;24;328.2;1010.2;983.3;30.7;null;null;85.7;5.8;1.1;55.4;
2012-02-29;0;71.7;160.1;160.1;134.6;7.4;22;373.9;1009.5;982.6;31.5;null;null;82.1;4;1;56.4;
2012-03-31;0;75.7;167.3;165;145.3;6.9;13;152.8;1010;983.1;32.2;null;null;82.1;3;1;58;
2012-04-30;0;95.3;157.7;157.3;224.4;3.7;11;155.4;1009.6;982.9;34;null;null;76.6;3;.8;55.8;
2012-05-31;0;121.8;159.5;122.5;255.5;3.8;7;79.4;1011;984.2;null;null;null;72.1;2.5;.7;58.3;
2012-06-30;0;142.7;152.6;42.3;278.7;1.8;1;16.2;1012;985.2;null;null;null;66.6;3.2;.6;59.6;
2012-07-31;0;207.4;158.5;7.1;318.7;.8;0;0;1012;985.1;null;null;null;55.9;3.8;.8;60.9;
2012-08-31;0;266.3;161.5;1.5;311.3;.9;0;0;1012.9;986.2;null;null;null;42.9;4;1.1;60.3;
2012-09-30;0;292.4;160.3;1.6;205.3;2.4;1;1;1010.9;984.2;null;null;null;45.1;4;1.2;43.8;
2012-10-31;0;209.7;169.8;70.7;206.1;4.5;8;76;1008.3;981.9;null;null;null;58.8;4.4;1.1;45.8;
2012-11-30;36;89.4;167.8;167.8;106.3;8;21;241.1;1008.5;982.1;null;null;null;78.8;4;1;52.1;
2012-12-31;0;96.2;175;125.4;176.7;6.5;13;80.4;1008.1;981.4;null;null;null;74.8;4.4;.9;59.2;
2013-01-31;0;80.6;174.2;174.2;123;6.9;19;344.8;1009.9;983.1;null;null;null;81.8;3.6;.7;55.9;
2013-02-28;0;78.3;154.6;154.6;172.1;7;18;264.2;1008.8;981.9;null;null;null;79.6;3.6;.9;57.5;
2013-03-31;0;69.9;167.4;167.4;155.6;6.8;22;387.3;1010.1;983.3;null;null;null;83.8;3.8;.7;56.1;
2013-04-30;0;91.1;157.9;142.5;181;4.9;11;96.9;1010.5;983.8;null;null;null;79.1;3;.8;55.6;
2013-05-31;0;128.4;159.6;87.8;266.2;2.9;5;52.5;1010.8;984.1;null;null;null;71.6;2.7;.5;59.3;
2013-06-30;0;164.9;141.2;16.5;263.5;2.4;3;2.6;1011.5;984.8;34.8;27.3;21.1;64.4;2.2;.6;62.7;
2013-07-31;0;220.6;154.4;3.6;314.9;1.4;0;0;1012.4;985.8;35.8;27.7;21.4;56.5;2.4;.7;63.2;
2013-08-31;0;279;172;.8;306;2.3;1;11;1010.8;984.3;37.4;28.6;20.8;47.2;3.2;.7;63;
2013-09-30;0;261;210.3;8.6;233;3.9;6;8.4;1009.5;983.1;38;30.3;24;49;3.6;1;60.3;
2013-10-31;0;197.7;190.1;103.5;172.2;6.6;13;103.4;1009.2;982.7;35.8;28.9;24;62.9;3.2;.9;50.4;
2013-11-30;18;103.3;147.1;147.1;161;7.2;16;181;1008.4;981.7;33.3;27;22.7;76.8;3;.9;53.7;
2013-12-31;0;74.8;135.9;135.9;108.3;8;25;514;1009.1;982.2;30.9;25.9;22.6;84.5;2.6;.6;54.5;
2014-01-31;0;83.4;135.3;135.3;149.8;7;23;225.7;1010.2;983.3;31.9;26.1;22.1;81.2;3.8;.6;57.6;
2014-02-28;0;57.8;112;112;80.9;8.8;24;306.8;1009.4;982.4;30.8;25.7;22.7;84.6;3.4;.6;56;
2014-03-31;0;67.1;111.4;111.4;133.9;7.3;26;226.4;1010.1;983.1;31.8;26.3;22.8;83.5;3.5;.7;54.8;
2014-04-30;0;86.5;140.4;131.8;196.2;5.3;14;96;1010.5;983.8;32.4;27.1;23.9;78.1;4.6;1;59.6;
2014-05-31;0;117.7;159.6;84.8;231.8;3.9;7;40.1;1010.6;983.7;null;null;23.6;72.1;5.7;.8;61.9;
2014-06-30;0;163.3;152.6;15.2;255;1.7;0;0;1012;985.3;null;null;21.7;62.4;2.5;.8;63.3;
2014-07-31;18;217.1;158.4;3.4;293.1;1.8;0;0;1013.5;986.8;null;null;21.5;54.2;3;.9;59.3;
2014-08-31;0;266;0;0;305.5;1.2;1;3.9;1012;985.5;null;null;21.7;46.6;4.3;1.1;61.6;
2014-09-30;36;205.4;160.2;67.1;242.4;3.7;7;71.1;1010.1;983.7;null;null;24.2;55.1;5.3;1.3;56.6;
2014-10-31;0;189.6;169.7;50;195.3;5.2;8;48.7;1009.7;983.3;null;null;24;60.8;3.3;1.3;51.8;
2014-11-30;18;108.2;167.7;140.6;146.8;6.5;17;185.5;1009;982.4;null;null;24.2;75.1;4.5;1.3;55.3;
2014-12-31;0;94.5;175;175;143.7;7;25;326;1009.8;983;null;null;23.5;78.7;4.6;1.1;57.1;
