Nome: GUARULHOS
Codigo Estacao: 83075
Latitude: -23.470981
Longitude: -46.533559
Altitude: 746.51
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2014-12-08
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;77.3;141.8;141.8;125.4;8.1;23;285;931.6;27.5;21.9;17.8;78.2;4;1.2;20;null;
2012-02-29;0;100.1;138.8;138.8;191.7;6.7;17;241.2;932.5;31.3;24.9;20.1;72.1;3;.7;20;null;
2012-03-31;23;101.9;134.3;134.3;196.9;6.5;11;151.8;933.5;29.1;22.9;18.4;73.5;5;1.2;20;null;
2012-04-30;0;73.5;119.5;119.1;141.9;7.7;13;109.8;933.4;26.9;21.6;17.9;78;5;1;20;null;
2012-05-31;0;65.7;110.4;98.5;167.1;6.4;8;66;936.8;23;18.3;14.5;77.3;4;1.1;20;null;
2012-06-30;0;48.6;105.3;105.3;107;7.7;11;208.9;936.6;22.4;17.9;14.3;82;3;.9;20;null;
2012-07-31;23;77.4;109.2;102.1;184;4.7;7;69.1;936.7;23.6;17.5;12.9;72.3;4;1.2;20;null;
2012-08-31;23;97.1;117.3;46.8;224.6;3.8;2;.7;939.5;25.4;18.9;14.1;66.2;5;1.2;20;null;
2012-09-30;23;116.6;124.1;33.4;185.6;5.3;5;19.9;935.9;27.3;20.4;15.5;65.1;8;1.5;20;null;
2012-10-31;0;110;139.7;113;190.1;6.4;11;111.2;933;29.7;22.4;17.5;69.4;6;1.4;20;null;
2012-11-30;23;88;135.6;85.8;140.9;8;12;83.6;931.7;26.9;21.2;17.3;74.8;6;1.9;20;null;
2012-12-31;0;95.6;157.6;157.6;148.5;7.7;18;423.4;931;30.8;24.9;20.7;74.8;4;1.1;20;null;
2013-01-31;23;75.4;144;141;100.3;8.8;19;118.4;932.6;27.1;22.4;18.9;77.9;6;1.5;20;null;
2013-02-28;0;82;130;130;150.2;7.7;18;258.1;932.8;30;23.8;19.5;74;5;.9;20;null;
2013-03-31;23;74.2;133;133;135.3;8.4;null;188.2;933.6;27.4;22.4;18.8;77;5;1.4;20;null;
2013-04-30;23;68;115.1;109.1;151.3;7.8;null;78.2;935;25.5;20.3;16.4;75.5;3;1.2;20;null;
2013-05-31;0;68.2;112.3;79.3;136;6.2;null;45.6;935.6;23.6;18.7;15;76;4;1.1;20;null;
2013-06-30;0;51;106.7;106.7;107.6;7.2;null;129.5;936.1;22.8;18.3;14.8;80.6;3;.9;19.9;null;
2013-07-31;0;58.8;104.6;100.3;151.7;6;null;94.9;937.8;21.8;16.1;12;78.4;4;1;19.8;null;
2013-08-31;0;91.1;112.8;42.5;190.3;5.2;null;8.2;936.6;24.9;17.8;12.4;67.2;6;1.2;20;null;
2013-09-30;23;98.2;120;68.6;156.2;6;null;60.2;935.7;25.6;19.5;14.8;69.2;6;1.3;20;null;
2013-10-31;23;87.1;130.9;112.1;135.5;8.2;null;110.2;934.4;25.6;20.2;16;72.5;5;1.5;20;null;
2013-11-30;23;95.1;138.8;98.7;154.5;7.2;null;95.8;932.6;27.6;22;17.7;72.3;4;1.1;20;null;
2013-12-31;23;110.6;151.2;126.1;174.8;7.5;null;124.8;930;29.5;23.5;19.4;71.6;5;1.6;20;null;
2014-01-31;0;133;157.4;138.6;249.4;6.2;null;137.9;933.1;32.9;25.7;20.5;65.3;5;.9;20;null;
2014-02-28;23;139.1;138.2;138.2;203.7;5.9;null;157;932.6;32.4;26.1;21.4;62.8;6;1.1;20;null;
2014-03-31;23;92.1;136.5;136.5;159.3;8;null;195.2;933.5;29.4;23.4;19.4;75;5;1.2;20;null;
2014-04-30;23;78.5;118.4;118.4;137.1;8.1;null;131.6;934.8;26.1;21.2;17.5;74.5;6;1.5;20;null;
2014-05-31;0;74.7;112.3;88;139.3;8.4;null;39.1;935.3;23.4;18.8;14.9;75;4;1.2;20;null;
2014-06-30;0;68.7;103;32.8;143.4;7.4;null;4.4;936.6;23;18.2;14.4;75;5;1;20;null;
2014-07-31;0;72.7;107.2;44.1;142.8;6.9;null;35.5;939;21.9;17;13.2;74.1;5;1.1;20;null;
2014-08-31;23;96.5;114.7;34.6;178.4;5.6;null;29.9;937.4;25.1;18.3;13.2;68.3;6;1.4;20;null;
