Nome: STa. R. DE CASSIA (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;140.2;129.3;115.1;197;8.5;13;70.8;961;32.4;25.5;20.4;72.4;5.3;1.6;43.3;null;
2012-02-29;9;144.3;120.2;102.5;211.6;7.7;12;86.6;961.1;33.2;25.7;20.2;69.3;4.3;1.6;43.3;null;
2012-03-31;9;200;149.1;34.6;243.6;6.8;6;4.2;961.2;35.2;27.1;21;61;4.3;1.7;43.3;null;
2012-04-30;9;229;140.5;76.2;278.6;5.2;5;71.6;960.7;35.9;27.1;20.3;56.2;5.5;1.7;43.3;null;
2012-05-31;9;252.5;131.2;8.6;269.8;5.7;1;5.2;962.9;null;null;19.3;52.8;5;1.8;43.3;null;
2012-06-30;9;264.8;null;null;291.7;4.4;0;0;964.1;null;null;16.6;49.8;4.9;1.6;43.9;null;
2012-07-31;9;256.5;130.3;0;322;3.7;0;0;964.3;null;null;15;47.7;4.6;1.8;44.8;null;
2012-08-31;9;291.6;132.8;0;323.7;4;0;0;965.9;null;null;14.7;45.3;5;2.3;43.5;null;
2012-09-30;9;350.7;132;0;291.5;4.6;0;0;963.8;null;null;18.1;38.7;5;2.2;43.6;null;
2012-10-31;9;363.7;187.1;21.4;279.5;5.5;5;21.4;960.8;36.7;29.1;21.1;39.3;5;1.9;43.3;null;
2012-11-30;18;122.8;130.5;130.5;133;8.7;24;236.7;960.6;32.2;25.8;21.3;74.2;9.1;1.5;43.3;null;
2012-12-31;9;200.7;159.7;147.2;274.4;5.4;5;105.2;960.1;34.4;27.3;20.6;54.5;4.5;1.5;43.3;null;
2013-01-31;9;149.4;135.6;135.6;162.1;8;15;194.5;961.3;32;25.9;21.4;71.4;7.1;1.6;43.3;null;
2013-02-28;9;null;142.5;84.6;246.8;5.8;5;11.6;960.4;34.2;27.2;20.9;60.7;5;1.6;42.7;null;
2013-03-31;9;164.4;149.2;133.7;239;6.8;null;128.7;960.7;34.4;27;21.1;62.7;8.3;1.7;44.1;null;
2013-04-30;9;139.7;132.9;121.4;239.3;6.4;null;118.4;961.9;32.4;26;20.6;69.3;3.3;1.5;42.7;null;
2013-05-31;9;170.2;121;52;290.7;5.1;null;41.6;962.5;33.2;25.7;19.3;63;4.3;1.5;43.3;null;
2013-06-30;9;243.1;113;5.8;285;4.8;null;0;963.2;33.7;25.3;17.8;54.8;4.3;1.6;42.6;null;
2013-07-31;9;282.3;110.5;2.1;300.5;3.7;null;.2;964.4;33.4;24.9;16.3;47.6;4.5;2;44.2;null;
2013-08-31;9;301.3;116.7;.6;315.1;2.9;null;0;963.4;34;25.3;16.4;42.3;3.8;1.6;43.3;null;
2013-09-30;9;371.7;155.8;.4;297.3;4.4;null;.3;962.5;36.3;28.2;20.1;38.4;6.6;2.4;43.2;null;
2013-10-31;9;348;178;20.1;284.2;5.8;null;20.1;961.2;36.4;28.5;21.3;45.3;5.3;2.3;44.7;null;
2013-11-30;9;220.4;149.6;149.6;223.3;7.1;null;258.8;960.1;34.1;27.3;21.1;57.2;5;1.6;43.3;null;
2013-12-31;9;85.9;120.9;120.9;156.3;8.5;null;385.4;960.8;30.6;24.8;20.4;79.2;5.3;1.5;43.9;null;
2014-01-31;9;184.8;143.6;85.4;262.5;6.5;null;12.3;961.7;33.1;26.4;20.1;62.8;3.6;1.3;43.3;null;
2014-02-28;18;144.3;118.9;61.6;179.1;7.8;null;48.3;961.3;32;25.7;20.1;68.9;5.1;1.4;43.3;null;
2014-03-31;9;108.9;125.6;125.6;213.2;7.2;null;130.6;962.1;31.7;25.5;20.1;75.3;3.6;1.5;43.4;null;
2014-04-30;9;129.4;115.6;81.3;267.1;6.1;null;75.9;962.6;32.3;25.6;19.8;70.8;4;1.5;44.7;null;
2014-05-31;null;178.9;118.2;15.4;269.1;6;null;8.6;963.2;32.6;25.3;18.5;60.9;null;null;43.9;null;
2014-06-30;null;204.2;101.4;6.2;300.2;4.9;null;3.9;964.6;32.8;24.5;15.7;48.8;null;null;44.5;null;
2014-07-31;null;257.9;106.5;.9;314.6;4.5;null;0;966.2;32.8;24.7;15.7;47.1;null;null;44.1;null;
2014-08-31;null;292.7;114;.3;327.3;3.7;null;0;965.6;34.2;25.2;15.3;39.1;null;null;43.9;null;
2014-09-30;null;349.2;157.5;.1;298;4;null;0;963.7;36.4;27.9;18.5;36.5;null;null;42.8;null;
2014-10-31;null;344.1;176.1;36.6;271.7;5.6;null;36.6;962.6;36.2;28.4;20;40.9;null;null;43.9;null;
2014-11-30;null;166.2;154.6;154.6;230.4;6.9;null;216.8;960.7;34.6;27.5;20.5;59.1;null;null;43.3;null;
2014-12-31;null;134.8;128.4;128.4;216.6;7.2;null;175.9;961.5;31.8;25.4;19.2;68.2;null;null;43.3;null;
2015-01-31;null;197.4;148.6;144.1;280.4;5.8;null;117;961.6;33.8;26.6;19.1;58.9;null;null;43.3;null;
2015-02-28;null;null;106.8;106.8;189.5;7.4;null;156.2;961.9;31.2;24.9;19;72;null;null;43.3;null;
2015-03-31;null;null;131.7;115.6;240.4;6.5;null;69.2;961.3;32.6;25.8;19.7;65.8;null;null;43.3;null;
2015-04-30;null;113.8;128.4;128.4;215.9;6.9;null;161.1;961.6;33.3;26.3;20.1;71.3;null;null;43.3;null;
2015-05-31;null;135.6;112.7;67.7;279.6;5.4;5;12.9;963.1;31.8;25.1;18;64;null;null;43.3;null;
2015-06-30;null;191.1;100.1;20.2;280.6;5.1;null;0;964.8;32.8;24.5;15.2;55.4;null;null;43.9;null;
2015-07-31;null;259.8;107.8;7.8;305.4;4.6;null;0;964.7;33.4;24.9;15.2;50.9;null;null;43.3;null;
2015-08-31;null;290.2;115.3;2.7;317.3;4.4;null;0;964;34.3;25.1;14.3;47.3;null;null;43.3;null;
2015-09-30;null;319;159.2;1;288.2;4.5;0;0;961.7;37.7;28.1;16.8;39.6;null;null;43.3;null;
2015-10-31;null;361.3;187.5;34.3;291.2;4.6;null;34.1;960.8;37.9;29.2;19.7;43.4;null;null;43.3;null;
2015-11-30;null;211.6;176;132.8;259.2;6.4;10;132.9;959.3;36.6;28.5;20.3;49.6;null;null;43.3;null;
2015-12-31;null;259;179.9;43.3;293.1;5.8;null;43.3;960.7;36.7;28.2;19.4;49.9;null;null;43.3;null;
2016-01-31;null;81.6;118.9;118.9;156.3;8.6;26;817.7;960.8;31.6;25;19.6;81.6;null;null;43.9;null;
2016-02-29;null;155.9;130.4;95.1;282.1;5.5;4;32.8;961.7;33.6;26.2;18.4;60.4;null;null;43.9;null;
2016-03-31;null;171.6;152.4;57.9;298.6;5.4;null;31.5;961.8;34.5;27.3;19.7;58;null;null;43.3;null;
2016-04-30;null;191.7;134.3;8.6;277.7;5.6;null;.3;961.5;34.6;26.7;17.8;52.5;null;null;43.3;null;
2016-05-31;null;204.3;120.9;2.1;296.3;5;null;0;963.4;34.6;25.7;15.8;52.6;null;null;43.3;null;
2016-06-30;null;210.5;106.4;.6;299.5;4.8;null;0;964.8;33.9;24.9;14.9;54;null;null;43.9;null;
2016-07-31;null;241.9;92.9;.2;322;4.1;null;0;965.1;33.1;23.6;12.4;50.4;null;null;43.3;null;
2016-08-31;null;291.9;123.9;.1;313.8;4.1;null;0;963.6;35.1;26.2;14.8;45.3;null;null;43.3;null;
2016-09-30;null;287.8;138.1;17.4;257.5;4.8;null;17.4;962.7;35.7;27.1;17.3;48.6;null;null;44;null;
2016-10-31;null;245.7;172.5;28.9;281.5;6;null;28.9;960.5;36.4;28.1;19.1;46.8;null;null;43.3;null;
2016-11-30;null;214.5;153;132.2;228.3;6.7;null;132.2;960.1;34.5;27.3;19;56.9;null;null;43.3;null;
2016-12-31;null;161.5;139.4;139.4;263.1;6.5;null;179.5;960.6;33.5;26.1;18.1;61.9;null;null;43.7;null;
2017-01-31;null;156.1;140.4;140.4;263.5;6.4;null;199.4;960.3;34;26.4;18.5;64.9;null;null;44.9;null;
2017-02-28;null;87.6;106.8;106.8;162.1;8;null;261.5;961.1;31.2;24.7;18.4;77.9;null;null;43.3;null;
2017-03-31;null;101.4;121.3;121.3;221.7;6.9;null;139.3;961.1;32.1;25.3;18.4;72.9;null;null;43.3;null;
2017-04-30;null;null;121.2;96.2;260.1;6.1;null;41.1;961.8;32.8;25.7;18.2;64.3;null;null;43.9;null;
2017-05-31;null;182;122.4;32.7;281.3;5.1;null;1.1;962.7;34.3;25.6;16.2;55.5;null;null;43.3;null;
2017-06-30;null;229.4;100.1;8.8;291.7;2.7;null;.4;964.2;33.6;24.4;13.5;53;null;null;43.3;null;
2017-07-31;null;238.6;85.9;2.8;313.9;2.3;null;0;967.2;31.4;22.7;11.7;51.7;null;null;43.3;null;
2017-08-31;null;255.7;118.1;1.4;322.5;2.2;null;0;963.8;34.6;25.1;13.7;48.6;null;null;43.3;null;
2017-09-30;null;349.1;127.4;.5;309.5;3.6;null;0;964.5;34.5;26.1;16.3;47.4;null;null;43.7;null;
2017-10-31;null;394.4;193.4;.2;306.9;3.9;null;0;960.7;37.9;29;18.3;42.8;null;null;43.3;null;
2017-11-30;null;186;139.8;69.7;197.2;7.6;null;69.7;960;34.2;26.7;18.7;56.7;null;null;43.3;null;
2017-12-31;null;147.1;139.4;139.4;213.2;7.3;10;176.9;960.4;33.2;26;18.3;62.7;null;null;43.3;null;
2018-01-31;null;154.1;146.9;61.4;251.9;7.3;null;45.9;960.6;34.1;26.1;17.9;59.1;null;null;43.3;null;
2018-02-28;null;106.3;108.1;108.1;165.4;8.3;null;189.1;961;30.9;24.6;17.6;73.6;null;null;43.3;null;
2018-03-31;null;92.4;115.6;115.6;223.5;7.7;17;125.7;961.3;31.3;24.9;17.7;73.8;null;null;43.9;null;
2018-04-30;null;112.6;112.9;104.2;258.4;6;null;68.2;962.5;31.3;25.2;16.8;65.2;null;null;43.3;null;
2018-05-31;null;198.3;116.8;44.6;301;5.5;2;1;963.4;33.3;25.3;15.1;53.2;null;null;43.3;null;
2018-06-30;null;231.3;88.3;12.7;299.2;4.7;null;1;965.1;32.9;23.5;12;51.5;null;null;43.3;null;
2018-07-31;null;246.2;87;4.9;321.8;3.1;null;0;964.9;33;23.2;10.8;47.6;null;null;43.3;null;
2018-08-31;null;284.2;125.3;16.7;304.8;4.9;null;14.4;964.2;35;25.7;14;42.8;null;null;43.3;null;
2018-09-30;null;308.1;155.8;.9;293.7;5;null;0;961.2;36.9;27.7;16.3;39;null;null;43.3;null;
2018-10-31;null;236.6;176.1;84.2;276.2;6.5;null;84.9;960.1;36.7;28.4;18.5;48;null;null;43.3;null;
2018-11-30;null;153.2;139.8;138.9;216.7;7.3;null;138.9;960.2;33.6;26.4;18;58.8;null;null;43.3;null;
2018-12-31;null;108.5;122.4;122.4;211.7;7.9;null;187.1;962.2;31.7;25;17.1;68.5;null;null;43.3;null;
2019-01-31;null;163.6;152;85.4;252.3;6.4;3;48.2;961.9;35;26.8;17.1;52;null;null;43.3;null;
2019-02-28;null;101.8;114.7;114.7;201.5;7.8;12;174.8;961;33;25.5;17.4;69.9;null;null;43.3;null;
2019-03-31;null;97.9;125.6;125.6;256.1;7.4;17;184;961.7;32.4;25.5;17.6;72.4;null;null;43.3;null;
2019-04-30;null;84.8;125.5;109;224.7;7;null;61.9;961.3;32.8;26.1;17.4;66.6;null;null;43.3;null;
2019-05-31;null;147.6;118.2;73.5;null;6;null;46.4;961.7;33.6;25.6;16.2;62.2;null;null;43.9;null;
2019-06-30;null;191.1;92.9;15.6;null;4.9;null;0;964.6;33.1;24;12.9;52.2;null;null;43.3;null;
2019-07-31;null;263.4;95.2;6.3;null;4.6;null;0;964.5;33.8;23.6;12;52;null;null;43.3;null;
2019-08-31;null;262.7;108.6;2.6;null;4.3;null;0;965.2;34.6;24.6;12.4;47.5;null;null;43.3;null;
2019-09-30;null;322.6;71.9;.7;null;4.2;null;0;962.2;37.2;27.3;15;42.5;null;null;43.3;null;
2019-10-31;null;243.1;191.5;37.7;null;6.4;null;37.2;960;37.7;28.7;18.4;43;null;null;43.3;null;
2019-11-30;null;67.6;177.9;106.2;null;7.1;9;106.1;957.6;37.4;28.6;18.5;47.5;null;null;43.3;null;
2019-12-31;null;197.5;null;null;null;6.4;7;41.1;959.1;36.5;28;17.8;52.1;null;null;43.9;null;
