Nome: MARICA
Codigo Estacao: 83089
Latitude: -22.920653
Longitude: -42.83
Altitude: 4.18
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;152.6;152.6;null;null;12;173.6;null;29.8;null;21.5;null;null;null;null;null;
2012-02-29;0;142.6;null;null;271.5;2.9;2;5.6;null;32.8;27.3;22.4;69.4;3;.8;null;null;
2012-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-04-30;0;107;127.9;93.4;180.6;5.4;8;31.5;null;29.3;24.8;20.6;78.4;4;.8;null;null;
2012-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
