Nome: MONTE SANTO
Codigo Estacao: 83090
Latitude: -10.44249999
Longitude: -39.33083332
Altitude: 465.84
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2020-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;158.2;140.3;1.3;213.7;6.2;1;1.3;960.2;34.1;26.1;17.8;66.5;5;2.4;69.9;null;
2012-02-29;14;134.1;119.3;10.3;220.3;6;5;10.3;959.5;32.9;25.4;17.8;63.5;5;3.1;69.2;null;
2012-03-31;14;172.8;134.9;1;290.6;4.9;1;1;959.9;34.3;26.2;17.9;60.1;4.6;2.7;70;null;
2012-04-30;14;151.4;125.9;.2;266;4.5;1;.2;960.4;33.9;26;17.4;61.7;5;2.6;70.2;null;
2012-05-31;14;114.9;102.2;13.9;220.6;6.2;8;13.9;962.2;31.1;24.1;16.6;72.4;5;2.4;66.1;null;
2012-06-30;9;106;88.8;19.3;181.5;5.7;6;19.3;963.2;29.9;23.3;16.1;74.1;4.6;2.3;69;null;
2012-07-31;9;80.1;74;35;143.1;6.7;13;35;964.2;27.8;21.6;15.2;78.9;4.6;2.4;63.8;null;
2012-08-31;9;84;74.4;48.6;205.4;6.5;17;49.5;965.3;27.8;21.4;15.6;80;5;2.6;62.7;null;
2012-09-30;9;128.2;122.3;14;230.8;4.9;6;14;963.7;30.6;23.8;19.1;67.5;5;2.9;66.6;null;
2012-10-31;9;128.8;149.4;2.2;237.4;5.1;3;2.4;961.4;32.5;25.3;20.6;66.6;5;2.7;68.1;null;
2012-11-30;9;108.7;150.7;69.5;200.4;6.5;5;68.6;958.8;33.4;27.1;22.4;63.2;3.8;2.3;68.3;null;
2012-12-31;14;148.4;200.9;1;248.9;5.6;1;1;958.9;34.8;27.8;22.6;58;5.5;2.4;69.9;null;
2013-01-31;14;139.3;179.2;32.4;192.1;6.5;5;32.4;959.8;34.3;27.7;23.5;60.8;5;2.4;67.6;null;
2013-02-28;14;155.1;149.6;0;247.3;4.9;0;0;959.5;35.1;27.8;22.8;56.8;5.8;3;69.9;null;
2013-03-31;9;167.5;194.3;0;274.7;5;1;.1;959.5;35.1;28.1;22.9;57.8;5;2.3;69.1;null;
2013-04-30;14;126.5;134.6;57.5;191.6;6.3;11;53.5;960.4;32.8;26.5;22;66;3.8;2.1;60.2;null;
2013-05-31;14;66;104.8;58.5;171.5;7.3;17;58.5;962;29.4;24.2;20.9;79.3;3.3;2;63.6;null;
2013-06-30;14;62.5;157.4;33.7;158.9;7;16;33.7;963.3;28.9;23.2;20;81.6;3.6;1.8;63;null;
2013-07-31;14;58.3;81.1;63.9;170.4;7;16;63.9;964.5;27.7;22.2;19.2;83.2;5.1;2.2;61.6;null;
2013-08-31;9;72.9;81.5;35.4;204.4;7.3;20;35.4;963.9;28.3;22.3;18.6;81.1;5.8;2.4;64.1;null;
2013-09-30;14;94.4;97.7;16.3;201.8;5.4;11;16.3;963.3;30.8;23.8;19.2;73.6;5;2.4;63.6;null;
2013-10-31;14;128.9;118;63.8;234.4;5.7;8;63.8;962;32;24.9;20.1;71.3;4;2.5;63;null;
2013-11-30;14;137.5;129.2;20.1;198.4;6.1;4;20.1;959.7;32.6;25.8;20.9;65.6;7;2.7;68.2;null;
2013-12-31;9;118.7;147.3;147.3;206.9;6.6;11;201.2;959.3;33;26.5;21.8;68.3;6.3;2.2;61.2;null;
2014-01-31;null;140.5;190.4;49.7;279.7;6.1;1;4.4;960.6;34;26.7;21;63;null;null;70;null;
2014-02-28;null;136.5;152.7;14.8;205.9;6.5;null;8.4;959.3;33.8;26.7;21.5;62.3;null;null;68;null;
2014-03-31;null;133.9;150.5;13.4;224.1;6.6;null;11.9;960.3;34;27;21.9;63.8;null;null;67.8;null;
2014-04-30;null;121.5;136;67.4;191.9;6.6;null;67.2;960.7;33.1;26.6;22;65.7;null;null;68.6;null;
2014-05-31;null;67;101.1;60.1;163;6.5;null;60;961.8;29.8;24;20.6;76.4;null;null;66.2;null;
2014-06-30;null;62;83.4;39.9;132;6.7;null;39.8;963.3;28.4;22.8;19.5;80.5;null;null;68.3;null;
2014-07-31;null;61.7;77;66.3;149.9;7.4;null;65.3;965.8;27.4;21.9;18.8;84.5;null;null;61.8;null;
2014-08-31;null;76.1;79.4;25.4;203.5;6.3;null;27.6;965;28.3;22;18.2;77.1;null;null;65.9;null;
2014-09-30;null;109.4;105;14.7;223.8;5.5;null;14.7;963.4;31.7;24.3;19.4;67.2;null;null;65.6;null;
2014-10-31;null;134.7;132.3;27.1;205.1;6.1;null;27.1;962.5;null;null;19.9;66;null;null;83.8;null;
2014-11-30;null;120.1;153.9;89.2;199;6.5;null;89.2;960.4;null;null;21;66.3;null;null;67.3;null;
2014-12-31;null;118.9;155.5;75.8;208.8;6.3;null;75.8;961.8;null;null;21.1;66;null;null;67.8;null;
2015-01-31;9;144.5;131.2;21.7;241.7;5.9;null;21.7;961.8;null;null;21.4;59.6;null;null;69.7;null;
2015-02-28;14;105.5;144.9;144.9;174.8;7.3;null;176.8;961.1;null;null;21.3;65;null;null;67.3;null;
2015-03-31;14;132.2;170.7;27.1;222.6;6;null;1.1;960.9;null;null;21.9;59.2;null;null;69.8;null;
2015-04-30;14;122.9;157.7;61.5;208.1;5.8;null;57.8;960.7;null;null;22.2;62.8;null;null;69.9;null;
2015-05-31;14;68.8;96.3;96.3;154.3;6.9;null;120.3;962.5;null;null;21.3;78;null;null;64.4;null;
2015-06-30;18;40.9;86.6;76.6;95.5;7.9;25;73.3;964.9;null;null;19.8;83.8;null;null;61.4;null;
2015-07-31;14;54.7;88.7;71;178.1;7.3;null;66.7;965.3;null;null;18.9;82.8;null;null;58.3;null;
2015-08-31;14;83.8;97.3;49.4;206.3;6.6;null;41.5;965;null;null;18.4;79.2;null;null;63.4;null;
