Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21388888
Longitude: -36.84222221
Altitude: 18.46
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;null;157;9.8;115.1;4.3;5;7.7;1010.2;33.2;27.2;22.7;63.8;6.1;3.3;46.7;null;
2012-02-29;14;null;144.4;52.2;173.3;4;6;61.4;1009.9;32.5;27.1;22.9;65.2;6;3.1;46.7;null;
2012-03-31;14;null;147.3;45.3;224.9;3.1;7;45.1;1010.4;32.5;27;23;66.2;6.6;2.8;46.7;null;
2012-04-30;9;null;139.1;8.6;235.7;3.4;5;8.5;1010.4;32.9;27;22.9;66.2;7.8;2.7;46.7;null;
2012-05-31;9;null;127.2;73.1;231.2;3.7;9;73.1;1012;31.7;26.2;22.5;70.3;5;2.3;46.5;null;
2012-06-30;14;null;104;104;176.5;4.2;16;110;1013.7;29.7;25;22.5;80.3;5;2;46;null;
2012-07-31;14;null;88.9;88.9;135.4;5.2;23;120;1014.4;27.8;23.5;20.8;81.8;4.8;1.9;46.7;null;
2012-08-31;14;null;89.2;89.2;169.8;5.1;19;98.4;1015.9;28.2;23.4;20;76.3;5.8;2.3;46.7;null;
2012-09-30;14;null;100.4;69.9;118;4.4;11;52.6;1015;29.6;24.4;21.2;76.2;6;2.5;47;null;
2012-10-31;9;null;110.7;58.1;108.6;4.3;10;41.4;1012.2;30.1;25.2;22;75.3;7;2.9;47.9;null;
