Nome: IGUABA GRANDE
Codigo Estacao: 83114
Latitude: -22.84694444
Longitude: -42.18555555
Altitude: 5.6
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2024-04-10
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;134.5;151.3;151.3;200.5;6.5;14;193.3;null;29.6;25.1;22.1;80.2;null;null;77.8;null;
2012-02-29;null;214.6;143.8;34.6;314;2.6;1;3.5;null;32.5;27;22.9;70.4;null;null;80.5;null;
2012-03-31;null;157.3;144.2;80.5;235.7;4.7;9;75.4;null;31.8;26.4;22.5;75.8;null;null;73.8;null;
2012-04-30;null;122.5;129.4;19.8;207.2;5.8;4;16.3;null;30;25.5;21.9;78.5;null;null;77.6;null;
2012-05-31;null;87.2;118;104.9;198.5;5.6;12;103;null;26.9;22.1;18.6;81;null;null;76.2;null;
2012-06-30;null;74.7;114.3;114.3;182.6;5.2;11;115.6;null;26.9;22.8;19.5;80.3;null;null;76;null;
2012-07-31;null;125.1;116.5;34.8;213.3;4;7;27.8;null;26.7;21.9;18.2;76.7;null;null;77.6;null;
2012-08-31;null;145.6;121.5;51;249.2;4.2;15;44.5;null;26.5;21.9;19;77.3;null;null;77.5;null;
2012-09-30;null;169.7;125.1;105.8;212.2;4.4;7;108;null;27.6;22.3;18.5;73.4;null;null;77.6;null;
2012-10-31;null;165;143.3;29;254.3;4.1;5;27.8;null;29.5;24.3;21;75.3;null;null;79.3;null;
2012-11-30;null;65.2;142;103.8;164.4;7.7;17;102.3;null;27.9;23.8;21.3;82.2;null;null;74.4;null;
2012-12-31;null;141.5;null;null;301.9;3.8;5;45.4;null;33.6;27.9;24.1;73.6;null;null;77.8;null;
2013-01-31;null;161.3;156.8;155.2;158.7;7.3;15;135.9;null;31.2;26.3;22.8;77.3;null;null;76;null;
2013-02-28;null;170.7;140;124.2;242.9;5.5;null;117.7;null;32.6;27.4;23.9;73.8;null;null;77.4;null;
2013-03-31;null;116;143.7;143.7;174.4;7.3;null;183.8;null;30.5;26.1;22.9;80.3;null;null;77.1;null;
2013-04-30;null;122.8;124.3;89.1;203.4;5.2;null;34.9;null;28.7;24;20.3;78.6;null;null;71.1;null;
2013-05-31;null;128.2;119.9;58.6;211.5;4.2;null;37.6;null;27.6;22.7;19.3;76.2;null;null;77;null;
2013-06-30;null;106.2;114;41.9;181.5;4.3;null;32.8;null;27;22.6;19.4;78.9;null;null;77.4;null;
2013-07-31;null;124;114.3;64.6;202.5;4.4;null;61.6;null;26;21.2;17.6;76.8;null;null;78.1;null;
2013-08-31;null;145.3;121.3;47.5;219.3;4.9;null;45.2;null;27.2;21.9;17.8;73.7;null;null;76.8;null;
2013-09-30;null;174.6;127.8;65.4;217.7;5.2;null;64.5;null;28;23;19.7;75.1;null;null;78.2;null;
2013-10-31;null;149.4;138.3;62.9;166.6;7.4;null;62.3;null;27.5;23.1;20.1;76.1;null;null;77.8;null;
2013-11-30;null;157.1;143.9;143.9;197.8;5.9;null;242.7;null;28.4;24.2;21.1;78.3;null;null;75.7;null;
2013-12-31;null;110.9;156;156;172.3;7.1;null;194;null;29.5;25.7;22.7;81.1;null;null;77.5;null;
2014-01-31;null;213.1;161.8;91;347.1;1.8;null;13.7;null;33.7;27.5;23.8;72.4;null;null;80.8;null;
2014-02-28;null;274.1;141.4;38.4;298;1.9;null;22.6;null;33.5;27.8;24.2;68.2;null;null;71.3;null;
2014-03-31;null;163.3;null;null;219.8;5.6;null;49.9;null;31.6;26.6;23.2;74.2;null;null;76.2;null;
2014-04-30;null;109.7;126.1;114.8;213.7;5.3;null;114.5;null;29.2;24.5;21.4;79.4;null;null;78;null;
2014-05-31;null;104.1;119.2;87.4;202.9;5.3;null;86.7;null;27.2;22.5;19.1;80.1;null;null;76.8;null;
