Nome: BARRA
Codigo Estacao: 83179
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;null;176.9;36.6;228.1;5.6;6;36.6;964.4;34.1;28;22.6;53.4;5.8;2.2;50;null;
2012-02-29;5;null;146.2;30.7;221.9;5.4;8;30.7;964.6;33.9;27.3;22.1;58.3;4.6;1.9;50;null;
2012-03-31;5;null;192.8;69.9;292;4;3;69.9;964.2;35.7;29;22.6;51.8;5;1.9;51.3;null;
2012-04-30;5;null;172.7;.3;296.4;3;1;.3;964.4;35.7;28.6;21.9;46.4;4.5;1.9;50;null;
2012-05-31;5;null;147.2;4;272.7;3.3;1;4;966.1;34.3;27.3;21;51.3;4;1.8;48.5;null;
2012-06-30;5;null;126.4;0;292;1.5;0;0;969;33.8;26.5;19.1;51.2;3.3;1.7;40;null;
2012-07-31;5;null;107.7;0;317.5;.9;0;0;969.5;32.8;25.2;17.3;null;6.1;1.8;40;null;
2012-08-31;5;null;109.8;0;313.3;1.7;0;0;971;32.4;25.1;17.3;null;4.3;2.2;40;null;
2012-09-30;5;null;154.2;0;306.9;.7;0;0;969.2;35.3;27.7;20.1;null;6;2.7;40;null;
2012-10-31;5;null;200.8;0;309.2;1.8;0;0;965.9;36.4;29.4;22.5;null;6.6;2.9;40;null;
2012-11-30;5;null;145.2;119.5;142.3;7.7;11;119.5;965;32.8;27.2;22.7;null;3.3;1.5;38;null;
2012-12-31;5;null;192.1;27.8;266.8;3.9;6;27.8;964.3;35.6;28.7;22;null;4;1.8;39.4;null;
2013-01-31;null;null;157;133.8;186.8;6.2;12;133.8;965.8;33.6;27.6;22.8;null;null;null;39.4;null;
2013-02-28;5;null;192.2;1.2;267.7;3.4;1;1.2;964.6;36.2;29.6;23;null;4.7;1.9;40;null;
2013-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-04-30;5;null;142;87.1;227.9;4.6;7;86.8;966.6;33.7;27.9;22.6;null;4;1.6;40.6;null;
2013-05-31;5;null;155.4;2.3;263.8;3.8;1;1.4;967.4;34.4;27.8;21.4;null;5.1;1.8;40;null;
2013-06-30;5;null;131.7;.2;278.4;2.3;null;0;968.6;33.8;26.8;19.9;null;4.1;1.9;40;null;
