Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;null;144.9;38.8;230.8;6.9;3;38.8;928.8;31.7;24.7;18.1;50.7;6.3;3.1;43.3;null;
2012-02-29;14;null;132.1;91.9;209.8;7.6;6;91.9;928.9;31.5;24.5;18.5;56.9;6.6;3.5;43.9;null;
2012-03-31;9;null;144.7;0;283.3;5.3;0;0;929;34.1;26.4;19.3;44.3;6.6;3.6;44.9;null;
2012-04-30;9;null;135.6;0;272.8;3.9;0;0;929.1;33.8;26;19.1;47;7;3.9;43.9;null;
2012-05-31;14;null;131;10.6;227.8;6.4;1;10.6;931.1;30.9;24.1;18.4;56.3;7.1;3.8;43.3;null;
2012-06-30;9;null;124.8;1.2;236.8;3.9;1;1.2;932.4;30.2;23.3;17.6;56.1;6.6;4;45;null;
2012-07-31;9;null;124.5;.8;261.4;4.8;2;.8;933;29;21.7;15.8;58.3;7.7;4.1;43.3;null;
2012-08-31;14;null;124;0;275.5;4.7;0;0;934.2;28.3;21.3;15;52.8;8.6;4.6;43.9;null;
2012-09-30;9;null;130.4;0;298.9;4.9;0;0;932.9;31.9;23.8;16;43.8;7.6;4.2;43.3;null;
2012-10-31;9;null;142.2;0;302;2.9;0;0;929.8;33.2;25.3;17.4;41.7;6.6;4.2;43.3;null;
2012-11-30;14;null;137.8;137.8;137.1;9.1;13;156;928.5;30.6;24.4;19;64.5;4.6;2.6;43.2;null;
2012-12-31;9;null;150.4;26.4;273.9;6.2;5;12.8;928;33.6;25.9;18.7;50.4;6.5;3.1;43.3;null;
2013-01-31;9;null;144;118.5;194.9;7.4;9;117.4;928.7;31.6;24.6;18.8;59.8;8;2.9;43.9;null;
2013-02-28;9;null;131.7;2.6;267;6;0;0;928.7;33.2;25.8;18.4;48.4;7.3;3.6;43.9;null;
2013-03-31;9;null;146.3;1;288.8;6.1;2;.3;928.9;34.3;26.7;19.2;49.1;6.6;3.2;42.8;null;
2013-04-30;14;null;133.1;17.6;210;7.4;2;17.4;929.6;32;25.3;19;57.5;7.3;3.3;44.4;null;
2013-05-31;9;null;132;.3;217.5;7.5;1;.2;930.8;31.2;24.3;18.5;59.1;6.1;3.4;43.9;null;
2013-06-30;9;null;123.3;3;227.8;5.8;1;3;932.1;29.6;23;17.1;64.4;7.5;3.9;44.6;null;
2013-07-31;9;null;125.6;.6;256.7;5.1;1;.6;933.3;29.1;22.1;16.2;64.1;7.1;4.1;43.6;null;
2013-08-31;9;null;127.3;0;278.2;4.1;null;0;932.6;29.8;22.1;15.7;62.6;7.5;4.2;43.9;null;
2013-09-30;9;null;131;0;289.2;5;null;0;931.9;31.7;24;16.8;61.2;7.5;4.3;45;null;
2013-10-31;9;null;141.3;35.4;276.2;5.5;3;26.2;930.4;32.6;25.1;18.3;54.6;7.2;4;83.2;null;
2013-11-30;9;null;138.9;138.9;231.4;7.6;6;160.3;928.4;31.5;24.6;18.5;58.2;7.6;3.7;44.2;null;
2013-12-31;9;null;140.4;140.4;167.8;8.2;17;241.3;928.6;29.2;23.5;18.7;74;null;null;43.2;null;
2014-01-31;14;null;143.2;76.7;262.1;5.6;null;.7;929.8;31.7;24.2;17.6;60.7;null;null;43.3;null;
2014-02-28;null;null;126.7;34.6;198.5;8.5;null;18.7;929;31.3;24.7;18.5;63.4;null;null;43.3;null;
2014-03-31;null;null;139.1;24.5;230.9;7.1;null;18.8;929.4;32;24.8;18.5;64.2;null;null;43.3;null;
2014-04-30;null;null;129.6;120.5;222.3;6.4;null;120.3;929.9;31.1;24.3;18.4;67.1;null;null;46.3;null;
2014-05-31;null;null;126.6;12.5;231.8;6.5;null;11;930.9;29.3;22.8;16.6;69.8;null;null;44.1;null;
2014-06-30;null;null;119.8;.9;265.2;5.6;null;.4;932.5;29.1;22;15.2;68.5;null;null;44.2;null;
2014-07-31;null;null;123;1.5;234.2;6.4;null;1.4;934.6;28.4;21.4;14.9;68.7;null;null;41.9;null;
2014-08-31;null;null;124.6;0;286.9;3.4;null;0;933.5;29.7;21.8;14.3;66.3;null;null;42.5;null;
2014-09-30;14;null;130.2;0;279;3.8;null;0;932;31.9;23.7;15.8;60.3;null;null;41.3;null;
2014-10-31;14;null;139;17.7;287;6.7;null;17.7;931.1;32.2;24.4;16.6;59;null;null;43.8;null;
2014-11-30;14;null;136.2;120.1;205.7;7.3;null;119.9;929.1;30.8;23.9;17.4;65;null;null;43.4;null;
2014-12-31;14;null;140.4;65.7;195;8.3;null;65.7;929.7;30.2;23.5;17.3;69.5;null;null;43.9;null;
2015-01-31;14;null;145.2;28.4;261.6;6.3;null;28.4;930.4;32.4;24.8;17.5;58;null;null;43.9;null;
2015-02-28;14;null;124.3;116.4;175.8;8.3;null;116.4;929.9;30.8;23.7;17.5;69.9;null;null;43.3;null;
