Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.54749999
Longitude: -41.15111111
Altitude: 1001.66
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;181.1;99.5;36.2;234.7;5.6;7;36;902.8;28;22;17.4;66.1;7;3.7;56;null;
2012-02-29;14;159.4;90.5;58;187.4;6.2;9;57.9;902.8;28;21.9;17.5;67.9;6;3.5;56.4;null;
2012-03-31;14;217.9;102.7;12.1;286.7;3.9;3;12.5;902.9;29.9;22.8;17.6;58;6;3.3;56.7;null;
2012-04-30;14;173.5;90.6;.1;254.2;3.9;1;.1;903.2;28.7;22.1;17.6;63.8;7;3.5;56.3;null;
2012-05-31;14;117.8;76.8;24.8;177.8;5.9;13;25;904.9;25.8;20.3;17;77;5;3.3;55.9;null;
2012-06-30;14;119.1;67.6;19;205.6;5.2;9;19;906.1;24.8;19.4;16.4;78.6;6;3.5;55.9;null;
2012-07-31;14;109.1;60.2;20.6;204.2;5.7;15;20.6;906.3;23.3;18.1;14.8;76.3;7;3.6;54.9;null;
2012-08-31;14;120.6;58.7;30.1;200.2;5.9;19;30.1;907.5;23.1;17.7;14.3;74.2;7;4.4;54.6;null;
2012-09-30;14;188.4;75;.6;238.8;4.3;3;.6;906.4;26.3;20;15.4;61.6;7;3.9;56.7;null;
2012-10-31;14;218.4;90.6;1.9;263;4.5;5;1.9;903.8;27.9;21.3;16.5;59.5;7;3.9;56.6;null;
2012-11-30;14;105.3;92.2;92.2;107.6;7.8;12;145;901.9;26.4;21.7;18.4;74.3;5;3.1;55.6;null;
2012-12-31;14;200.3;104.7;53.4;266.4;4.2;3;24.2;902;28.8;22.6;17.7;59.3;6;3.1;56.8;null;
2013-01-31;14;156.4;106.1;106.1;193;6.3;9;142.5;902.7;28.3;22.7;18.5;71.3;7;3.3;55.9;null;
2013-02-28;14;169.1;92.4;37.2;225.7;4.9;3;1.4;902.7;28.3;22.5;18.4;65.7;6;3.2;56.8;null;
2013-03-31;14;196.9;109.4;21;251.6;4.5;2;5.4;902.8;29.6;23.5;18.9;61.3;6;3.3;56.7;null;
2013-04-30;14;124.6;89;59.5;168.5;6.2;11;57.2;903.7;27.2;21.9;18.3;71.5;5;3.1;56.3;null;
2013-05-31;14;101.3;81.7;23.2;172.6;6.6;16;20.4;904.6;25.7;20.8;17.7;75.3;6;3.7;55.5;null;
2013-06-30;14;71.2;64.8;38.4;144.4;6.5;23;37.6;905.5;23.5;19.2;16.8;82;5;3.5;54.2;null;
2013-07-31;14;79.7;62.3;30.6;181.3;6.5;18;29.9;906.6;23.2;18.4;15.6;80.4;5;3.2;54.2;null;
2013-08-31;14;84.8;64.9;20;228.3;5.8;15;19.5;906;24.1;18.6;15.3;75.6;6;3.4;55.9;null;
2013-09-30;14;119.5;76.5;13.6;240.7;5.4;10;13.4;905.5;26.6;20.3;16.1;69.1;6;3.6;56.1;null;
2013-10-31;14;147.3;92.3;22.3;240.5;5;7;22;904.1;28.1;21.5;16.9;63.6;7;3.4;56.6;null;
2013-11-30;14;134.7;92.2;57;212.1;5.6;13;56.9;902.2;27.6;21.7;17.4;66.5;6;3.3;55.9;null;
2013-12-31;14;94.5;100;100;155.3;6.6;12;150.6;902;26.8;22;18.8;75.1;5;2.8;55.9;null;
2014-01-31;14;134.7;100.4;41.6;267.9;5.3;null;11.7;903.5;28.1;22.1;17.9;67.7;6;3.5;56.7;null;
2014-02-28;14;99.2;85;46.5;161.9;6.8;null;40.7;903.2;27.2;21.7;17.9;75.5;6;3.1;56;null;
2014-03-31;14;94;92.8;74.9;205.5;6.1;null;72.5;903.1;27.2;21.7;18.3;74.5;5;3.1;56.5;null;
2014-04-30;14;91.1;87.4;87.4;206.4;5.9;null;100;903.5;27.3;21.9;18.6;74.5;5;2.9;56.2;null;
2014-05-31;14;63.7;74.6;47.2;167;6.5;null;40.2;904.4;24.5;20;17.3;81.1;6;3.3;55.9;null;
2014-06-30;14;66.2;62.7;40;170.9;6.2;null;36.8;906;23.3;18.8;16.1;81.3;6;3.6;55.8;null;
2014-07-31;14;67.9;60.9;38.6;163.1;7.2;null;36;907.9;22.8;18.2;15.6;81.7;6;3.8;55.8;null;
