Nome: SERRINHA
Codigo Estacao: 83190
Latitude: -11.66805554
Longitude: -39.00194444
Altitude: 362.39
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2024-06-05
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;158.5;139.8;9.5;218;6.2;6;9.4;972;33.9;25.9;20.7;64.7;5;3.3;68.7;null;
2012-02-29;14;130.8;126.9;17.2;224;6.4;9;18;971.4;33.5;25.9;20.8;64.5;5;2.8;73.1;null;
2012-03-31;14;174;136.7;4.6;240.7;5.6;3;4.6;972;34.5;26.3;20.6;61;5;3;75.2;null;
2012-04-30;14;144.2;123.1;10.9;227.7;6;4;10.9;972.2;33.5;25.8;20.4;65.4;5;2.5;72.9;null;
2012-05-31;14;110;105.1;30.5;163.9;7.2;16;30.8;974.1;31;24.4;20;74.3;4.1;2.4;67.1;null;
2012-06-30;14;80.5;87.2;46.4;132.9;7;16;46.2;975.5;29;23.1;19;75;8.8;2.4;63.4;null;
2012-07-31;14;83.1;79.1;44.4;160.3;6.5;17;44.5;976.3;27.8;22;17.9;76.8;4.5;2.3;63.9;null;
2012-08-31;14;95.1;77.7;49.7;189.6;7;16;49.7;977.8;28.1;21.7;17;73.7;5;2.6;64.5;null;
2012-09-30;9;134.7;94.3;27.2;211.7;7.1;7;27.2;976.4;30.2;23.3;18.5;66.9;4.5;3;67.1;null;
2012-10-31;9;165;113.9;11.5;234.2;6.1;6;11.5;973.6;32;24.4;18.9;63.5;5;3.1;71.9;null;
2012-11-30;9;155;134.6;56.8;203.9;7.8;5;57.1;970.8;33.2;25.8;21.1;66.4;7.8;3.1;71.6;null;
2012-12-31;9;187.9;148.2;0;248.8;6;0;0;971;34.6;26.5;21;56.9;5;3;75.1;null;
2013-01-31;14;149;147.4;113.5;215.5;7.2;8;114;971.6;34.1;26.5;21.5;64.7;5.3;2.8;73.5;null;
2013-02-28;9;165.7;134.8;2.6;251.6;6.7;7;2.6;971.6;34.6;26.8;21.5;61.4;5.5;3;71.7;null;
2013-03-31;9;188.4;158.2;7.3;275.2;5.6;3;7.3;971.5;35.6;27.7;22.8;59.9;5;3;75.8;null;
2013-04-30;14;117.1;121.9;88.1;166.2;7.4;13;88.1;972.4;31.9;26;22;72.4;5;2.4;62.6;null;
2013-05-31;14;53.7;101.6;71.8;138.9;7.8;14;74.3;973.8;28.9;24;21.2;82.7;3.8;2;59.1;null;
2013-06-30;14;47.9;87.3;87.3;138.4;7.5;23;91.9;974.9;28.4;23.2;20.2;83.5;4;1.8;56.8;null;
2013-07-31;14;51.9;83.1;83.1;143.5;7.3;21;111.6;976.4;27.1;22.2;19.1;84.2;3.5;1.8;59.9;null;
2013-08-31;14;52.5;77.6;62.4;163.1;7.8;22;56.3;975.9;27.3;21.8;18.5;84.3;4;1.9;63.8;null;
2013-09-30;14;93.2;93.1;35.1;204.8;6.2;13;22;975.4;29.5;23.2;19.2;74.4;5.5;2.5;67.3;null;
2013-10-31;14;121;109.9;73.4;216.7;5.8;10;69.4;973.8;30.4;24.1;20;72.7;8.5;3;66.2;null;
2013-11-30;9;146.9;123.2;42.5;167.7;7;8;37.7;971.6;31.3;25;20.7;70;7.4;3.2;69.1;null;
2013-12-31;5;146.8;142;28.7;174.4;7;9;30.6;970.8;32.5;26;21.9;69.6;5.3;2.8;69.4;null;
2014-01-31;9;180.1;144.3;3.3;257.5;6.8;null;2.4;972.4;33.6;26.3;21.1;61.1;5.5;2.9;70.8;null;
2014-02-28;null;119;118.6;57.7;165.9;7.3;null;57.4;971.6;32;25.6;21.4;73.2;null;null;69.6;null;
2014-03-31;null;132;135.3;13.7;198;7.1;null;13.4;972;32.4;26.1;21.7;70.9;null;null;69.7;null;
2014-04-30;null;119.4;125.9;55.2;198.4;6.8;null;55.2;972.3;32.5;26;21.8;74;null;null;60.4;null;
2014-05-31;null;80.1;99.3;62.4;152.3;7.1;null;62.4;973.5;29.1;24;20.5;83.1;null;null;62.5;null;
2014-06-30;null;63.2;81.1;62;140.1;7.1;null;60.1;975.5;27.6;22.7;19.1;84.9;null;null;61.6;null;
2014-07-31;null;50.2;65.8;65.8;129.6;7.2;null;91.1;977.4;null;null;18.6;86.4;null;null;60.9;null;
2014-08-31;null;79.7;116.6;79.2;167.4;6.4;null;69.9;977;null;null;17.8;81.4;null;null;64;null;
