Nome: CIPO
Codigo Estacao: 83192
Latitude: -11.10138888
Longitude: -38.52416666
Altitude: 143.53
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;203.6;157.6;8.3;254.6;4.4;7;8.3;996.1;34.7;27.1;21.4;55.5;8.1;3.4;46.7;null;
2012-02-29;14;154.3;132.9;64.1;243.6;4.3;9;63.9;996.3;33.5;26.4;20.9;63.3;6.9;2.9;45.5;null;
2012-03-31;14;195.8;145.7;13.7;288.5;2.9;5;13.7;996.5;34.7;26.8;20.3;59.2;6.8;3.1;45.8;null;
2012-04-30;14;180.6;135.6;1.4;269.5;3;5;1.5;996.5;34.4;26.7;20.3;57.7;6.6;3;46.6;null;
2012-05-31;14;155.4;116.5;22;193.8;4.6;14;22;998.4;31.9;25.4;20.4;67.1;7.1;3.1;44.4;null;
2012-06-30;14;123.1;96.4;18.6;197.1;4.7;9;18.6;1000;30.4;24.3;19.2;69.3;6.2;3;44.6;null;
2012-07-31;14;113;84.9;45.7;176;4.8;13;45.7;1000.7;28.8;23.1;18.2;74.8;7.1;2.8;44.4;null;
2012-08-31;14;139.1;83;56;234.2;4.4;19;56.1;1002.2;29;22.8;17.5;71.4;6.6;3.4;44.4;null;
2012-09-30;14;189.5;101.5;40.4;233;4.4;6;33.1;1001.1;31;24.3;18.5;65.4;8.7;3.5;44.8;null;
2012-10-31;14;195.2;121.1;13.3;251.3;4;6;13.3;998.2;32.4;25.2;19.7;63.2;6.6;3.3;44.2;null;
2012-11-30;14;192;149.9;27.9;210.5;4.8;4;27.9;995.3;34.8;27.1;21.8;62.6;6.2;3;45.4;null;
2012-12-31;14;234.1;166;1.2;277.6;3.9;1;1.2;995.4;35.4;27.5;21.6;58.6;6.2;3;50.3;null;
2013-01-31;14;200.1;171.2;21.3;236.5;4.8;10;21.3;995.9;35.3;27.8;22.4;56.6;7.2;3.2;45.4;null;
2013-02-28;14;210.2;157.2;3.1;260.7;3.8;2;3.1;995.9;35.9;28;21.9;53.2;7;3.2;46.7;null;
2013-03-31;14;237.7;174.1;14.7;284.6;3.3;3;14.7;995.7;36.1;28.3;22.4;55.4;6.2;3.2;46.7;null;
2013-04-30;14;202.5;144.2;49;214;5.2;9;63;996.7;33.6;27.4;22.4;64.4;8.6;3.1;44.4;null;
2013-05-31;14;105.6;112.1;65.7;168;6.2;6;65.7;998.3;30.3;25.1;21.2;77.2;7.5;2.5;44.4;null;
2013-06-30;14;105.6;92.6;45;184.8;4.5;20;46.1;999.4;29.6;24.1;19.5;78.9;5.6;2.6;45;null;
2013-07-31;14;93.6;81.4;81.4;162.5;5.7;null;91.4;1000.8;28.3;22.8;17.8;81.3;7;2.4;40.7;null;
2013-08-31;14;97.8;82.9;68.7;203.5;5.6;null;67.3;1000.6;28.5;22.7;17.8;77.3;7.1;2.7;43.1;null;
2013-09-30;14;131.3;93.5;43.6;236.1;4.2;null;40.1;1000;30.5;23.7;18;70.4;7.5;2.9;45.5;null;
2013-10-31;14;162.5;117.9;52;244.3;4.7;null;49.3;998.5;31.9;25;18.8;67.4;7.6;3.1;43;null;
2013-11-30;9;185.5;132.5;20.8;226.2;5;null;19.1;996.2;33;26;20;64.3;7.1;3.2;44.5;null;
2013-12-31;14;172.8;150.8;138.8;224.5;5.1;null;138.7;995.3;34;26.7;21.1;64.7;5.5;2.8;45.4;null;
2014-01-31;14;205.2;150.1;6.9;297.7;3.9;null;6.3;996.8;34.6;26.7;19.7;60.2;7.1;3.2;46.7;null;
2014-02-28;14;134.4;131.5;31.7;181.6;5.1;null;31.6;996.1;33.4;26.6;20.4;67.5;5.5;2.9;46.7;null;
2014-03-31;14;137.1;142.3;49.1;223.4;4.6;null;49.1;996.3;33.8;26.7;20.6;66.8;6.1;3;44.5;null;
2014-04-30;14;129.5;137.4;64.1;221.4;4.7;null;64.1;996.6;33.7;26.8;21;67.2;7.6;2.7;44;null;
2014-05-31;14;96.3;107.8;82.6;184;5.3;null;82.6;998;30.7;24.8;19.4;71.7;7.2;2.5;45.7;null;
2014-06-30;14;85.9;86.5;63.6;155.3;5.4;null;65.9;1000.1;29.3;23.5;18;78.1;4.8;2.5;43.4;null;
2014-07-31;14;69.2;81.4;81.4;149.7;5.8;null;95.9;1002.2;28.4;22.7;17.9;80.4;5.6;2.4;41.1;null;
2014-08-31;14;96.2;81.8;52.1;231.3;4.6;null;49.8;1001.7;29.5;22.7;16.5;72.8;5.7;2.8;46.1;null;
2014-09-30;14;159.3;104.1;32.5;241.6;4.4;null;28.5;1000.1;31.7;24.5;18.4;63.8;7.2;3.1;46.4;null;
2014-10-31;14;null;116.4;40;230.2;4.5;null;38.1;999.2;32.2;25;19;63.9;7.2;3.4;44.7;null;
2014-11-30;14;152;132.5;107.4;197.8;5.1;null;112.4;996.6;33;26.1;20.6;65.6;7.2;3;45.1;null;
2014-12-31;14;146.4;141.8;51.2;200.7;5.5;null;41.2;997;33;26.2;20.5;63.9;5.6;3;46;null;
2015-01-31;14;182.5;155.7;18.1;271.9;3.6;null;17.7;997.6;35.2;27.1;20.6;58.3;5.1;2.9;46;null;
2015-02-28;14;150.2;138.1;95.1;195.9;5.6;null;98.7;996.6;34.5;27.2;21.8;63.4;7.6;2.9;45.6;null;
2015-03-31;14;179.7;164.3;8.7;246;4;null;8.6;996.3;35.2;27.5;21.4;58.7;5.3;2.6;46.8;null;
2015-04-30;14;144.8;149.4;32.9;210.3;4.4;8;32.9;996.5;34.7;27.4;21.8;66.7;7.6;2.8;46.1;null;
2015-05-31;14;105.4;121.1;112.1;170.6;5.7;15;112.1;998.4;31.3;25.7;21;73.1;5.1;2.5;46.6;null;
2015-06-30;14;64.8;87.7;87.7;137.4;6.5;null;89.9;1000.8;28.6;23.5;19.3;79.1;5.1;2.2;42.8;null;
2015-07-31;14;73;83.7;72.1;169.6;5.7;22;72.2;1001.2;28.9;23;18.1;74.9;7.1;2.5;44.7;null;
2015-08-31;14;86.4;78.3;71.4;172.1;5.6;null;78;1001.3;28.9;22.5;16.8;76.1;7.5;2.6;44.2;null;
2015-09-30;14;145.6;112.7;12.8;257.4;3.6;null;12.4;999.5;32.9;25.1;18.4;66.7;6.1;2.9;46.7;null;
2015-10-31;14;180.2;134;27.9;238.4;3.9;null;27.7;998.7;33.5;26;19.8;63.9;6.4;3.1;45.5;null;
2015-11-30;14;202.2;162.8;3.7;294.3;2.5;null;3.6;995.9;37;27.8;20.9;59.4;7.1;2.9;46.7;null;
2015-12-31;14;202.2;168;19;255.8;3.8;7;34.6;997.7;35.6;27.6;21.1;61;6.1;3;46.7;null;
2016-01-31;14;117.4;159.5;154.3;187.5;6.7;null;154.3;996.5;33.6;27.2;22;68.7;5.2;2.5;45.6;null;
2016-02-29;14;151.7;146.5;22.9;254.2;4.1;6;22.7;997.4;34.6;27.1;20.9;65.5;6.6;3.2;46.1;null;
2016-03-31;14;202.9;164.2;10.9;289.7;3.1;null;10.9;997.4;35.5;27.8;21;60.7;5.7;3;46.9;null;
2016-04-30;14;184.4;140.6;23.4;251.6;3.9;5;22.1;997.3;34.5;27;20.4;64.1;6.2;3;46.7;null;
2016-05-31;14;138.2;113.5;110.4;182.2;4.8;null;110.4;999.5;31.6;25.3;19.5;72.1;7.6;2.6;43.7;null;
2016-06-30;14;94.2;91.4;50.3;182.2;4.4;10;51.3;1001.1;30;23.9;18.3;77.1;6.5;2.6;44.8;null;
2016-07-31;14;108.8;82.6;34;236;3.3;null;34;1001.7;29.3;22.9;16.8;82.6;6.6;2.7;45.4;null;
2016-08-31;14;132.5;89.1;28.3;231;3.9;null;28.3;1001.2;30.7;23.4;16.4;79;6.1;2.7;45.5;null;
2016-09-30;14;168;107;18.2;225.2;4.4;11;18.2;1000.3;32;24.6;18.1;73.5;5.5;3.1;46.2;null;
2016-10-31;14;209.1;140.9;21.4;281.9;3.8;null;21.4;997.8;34.4;26.4;20;65.9;6.5;3.1;46.7;null;
2016-11-30;14;223.5;153.5;17.5;257.4;3.8;null;17.5;996.4;35.3;27.3;20.8;64.3;8;3.1;46.1;null;
2016-12-31;14;224.5;168;27.5;253.1;4;9;27.7;996.1;35.7;27.5;21.3;63.3;5.1;2.9;45.9;null;
2017-01-31;14;233.2;167.2;0;293.1;3.5;null;0;996.5;36;27.6;20.6;62.3;8;3.1;46.7;null;
2017-02-28;14;194.8;150.1;16.6;215.3;4.2;null;16.6;995.9;35.5;27.7;20.8;60.4;6.1;3.3;46.7;null;
2017-03-31;14;198.8;160.5;29.1;242.4;4.4;null;28.7;995.8;35;27.6;20.9;64;5.6;3.1;46.9;null;
2017-04-30;14;118.3;132.4;49.2;214.1;4.8;null;49.2;996.8;32.9;26.5;20.6;68.4;5.5;2.9;46.2;null;
2017-05-31;14;126.2;118;47.7;186.6;5.2;null;48.6;998.3;31.5;25.4;19.6;73.9;5.6;3;46.6;null;
2017-06-30;14;109.7;91.4;81.3;147.7;5.6;null;81.3;1000.1;29.7;23.9;18.5;81.9;5.6;2.6;42.9;null;
2017-07-31;14;89.5;73.5;73.5;164.7;6.4;26;96.2;1003.3;27.1;22;16.9;85.2;6;3;45.3;null;
2017-08-31;14;122.8;90.3;35.6;180.8;5.4;null;25.5;1000.9;29.7;23.4;17.4;79.5;6;3;46.4;null;
