Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-03-14
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;54.6;141.6;141.6;112.1;8.6;29;587.5;977.8;30;24.3;21.2;90.4;4;1.5;44.1;null;
2012-02-29;0;74.6;131.8;131.8;149.1;8.2;25;388.7;977.6;31.3;24.7;20.9;85.7;4;1.5;46.5;null;
2012-03-31;0;null;139.3;139.3;185.7;7.9;18;257.7;978.3;31.8;25.1;21.3;85.4;6;1;50.9;null;
2012-04-30;0;84.3;133.9;130.4;220.6;7.3;14;106.2;977.9;32.6;25.9;21.9;84;4;.9;50.2;null;
2012-05-31;9;112.5;134;86.8;235.5;5.8;8;40.8;979.4;32.3;25.4;20.4;78.4;6;1.6;49.6;null;
2012-06-30;9;162.5;127.5;26.2;268.2;4;3;5.1;980.4;33.2;25.1;19.3;72.5;6;1.5;49.7;null;
2012-07-31;14;307.5;130.3;6.4;318.2;2.3;0;0;980.2;34.3;24.6;16.8;59.8;5;1.7;45.6;null;
2012-08-31;9;493.4;135.3;1.8;329.3;1.5;0;0;980.3;35.8;25.4;16.5;47.7;6;2.5;42.3;null;
2012-09-30;0;204;138.8;84.3;233.4;4.5;6;84.4;979.1;36;26.8;20.3;63;6;1.8;33.5;null;
2012-10-31;0;106.2;143.3;143.3;228.3;6.8;22;236.2;977;33.4;25.8;21.4;79.6;7;1.3;43;null;
2012-11-30;0;72;139.8;139.8;136.3;8.6;21;351.4;976.6;31.3;25.3;22;85.3;6;1.4;44.9;null;
2012-12-31;0;null;146.5;146.5;183.9;7.2;26;223.8;976.6;32;25.5;21.5;85.1;5.1;1.3;94.7;null;
2013-01-31;0;52.5;144.4;144.4;112.7;8.3;24;430;977.9;30.3;25;21.8;90;4;1;46.4;null;
2013-02-28;0;71.3;128;128;131.3;8.3;21;292.7;977.3;31.1;24.9;21.3;87.1;3;.8;46.7;null;
2013-03-31;0;77.7;141.3;141.3;161.5;8;24;471.7;977.6;31.9;25.6;21.7;86.6;4;1;46.6;null;
2013-04-30;0;80.3;132.6;132.6;168.3;7.9;20;305.1;978.6;31.4;25.5;21.8;86.9;8.8;1.3;45.2;null;
2013-05-31;0;141.4;135.5;89.6;249.4;6.2;2;21.6;979.2;32.9;25.8;20.8;79.2;4;1.2;44.4;null;
2013-06-30;14;137.6;129.9;23.3;285.5;4.2;null;0;979.7;33.7;25.7;19.8;71.3;3;1.4;45.8;null;
2013-07-31;14;249.7;134.2;6.4;311.3;2.7;null;0;980.5;34.3;25.2;17.8;60.6;4;1.4;47;null;
2013-08-31;9;383.2;138.1;1.7;304.9;3.2;null;0;979.1;35.8;26.2;18;49.7;4;1.6;45.5;null;
2013-09-30;0;170.5;136.1;99.2;187.3;6.3;null;99;978.5;34.5;26.4;20.7;70;4;1.1;42;null;
